native,quick,fastsort,countingObj,countingObj2,countingObj3,gnome,shaker,lodash,bucket,merge,bubble,sbubble,insertion,selection
1.689,4.077,4.503,0.611,0.694,1.156,41.491,31.483,6.78,7.214,5.51,56.843,20.801,17.997,18.041
1.38,3.073,2.327,0.707,0.623,0.817,37.913,28.889,9.688,15.4,6.976,197.511,19.89,13.479,15.149
1.181,4.619,2.446,0.634,0.622,0.864,27.718,25.811,5.17,5.339,4.58,62.291,22.171,60.702,16.646
0.967,3.021,2.037,0.537,0.577,0.555,26.835,21.558,5.438,5.334,3.605,52.346,16.875,13.81,13.563
1.074,3.076,2.824,0.702,0.656,0.644,27.452,28.46,5.324,5.551,4.057,56.806,23.511,13.553,12.872
0.975,3.295,2.011,0.709,0.751,0.695,30.119,25.598,5.64,5.824,3.599,50.051,17.064,14.498,13.205
0.993,3.252,2.094,0.488,0.477,0.468,24.567,22.196,5.536,5.201,6.376,52.278,18.27,13.269,11.99
1.117,2.719,2.984,2.182,0.558,0.587,27.215,21.085,5.127,5.174,5.218,49.851,18.46,13.09,13.883
1.041,2.974,2.295,0.449,0.465,0.443,27.625,25.224,6.649,5.516,3.655,51.12,17.67,14.662,14.422
1.019,3.321,2.673,0.758,0.589,0.628,30.43,22.843,5.772,5.952,5.678,51.009,17.657,15.661,13.476
1.202,2.758,1.976,0.478,0.437,0.5,33.898,23.304,8.393,7.853,5.541,49.937,17.277,14.146,16.155
1.006,2.802,2.092,0.552,0.548,0.581,25.863,21.667,4.797,5.577,4.562,49.515,18.731,14.875,13.525
0.978,2.593,2.599,0.551,0.581,0.546,57.74,41.736,4.716,6.866,4.707,57.716,23.345,38.544,18.204
1.119,3.155,2.252,0.734,0.661,0.758,32.431,21.199,5.034,10.406,6.511,51.221,16.637,16.073,63.146
0.996,4.207,3.444,0.568,0.589,0.675,28.769,27.917,5.037,7.7,4.505,51.181,17.637,13.528,12.348
0.999,2.632,2.891,1.319,0.549,0.591,73.922,25.207,8.257,5.623,3.685,50.306,17.566,13.545,13.564
1.027,2.829,2.753,0.487,0.558,0.47,30.64,24.443,8.477,11.337,4.611,54.189,18.431,14.567,14.202
1.188,2.796,3.124,0.638,0.707,0.661,26.651,25.026,5.2,5.96,5.897,50.254,17.615,13.23,14.187
1.049,2.946,2.61,0.565,0.608,0.586,27.868,22.74,4.531,5.524,4.636,50.18,18.198,12.517,14.779
0.961,2.867,1.987,0.612,0.708,0.563,26.947,21.719,4.912,5.264,6.014,50.083,18.596,13.904,13.83
0.983,2.622,2.357,0.585,0.896,3.667,26.618,23.208,5.212,6.175,6.807,51.229,16.914,13.941,14.081
0.987,3.307,2.251,0.507,0.597,0.512,26.659,22.791,4.938,5.371,4.556,51.6,18.598,14.061,15.058
0.99,2.841,2.129,0.49,0.488,0.482,32.605,27.486,7.638,5.404,3.88,51.113,17.722,14.747,13.944
1.264,4.577,1.975,0.589,0.581,0.586,27.027,22.358,4.767,7.837,5.225,61.538,20.81,14.009,14.779
0.959,2.704,2.23,0.562,0.553,0.558,31.727,21.092,5.93,5.961,5.573,51.313,19.464,15.312,14.844
1.277,4.132,2.084,0.566,0.484,0.462,26.703,21.418,4.208,5.753,4.348,47.678,18.209,13.857,13.622
0.991,3.204,1.996,0.558,0.548,0.548,25.971,21.032,5.116,7.058,5.967,48.212,18.382,14.868,13.916
0.995,3.198,4.513,0.65,1.699,0.584,26.356,37.572,5.177,5.309,6.075,50.432,19.555,13.99,12.641
1.281,4.047,2.089,0.591,0.576,1.339,44.651,22.836,4.017,7.756,6.945,57.509,16.761,13.625,14.023
1.292,4.476,2.512,0.559,0.585,0.675,25.404,22.407,4.635,8.335,5.561,48.835,18.759,15.027,12.001
0.96,2.798,2.335,0.474,0.552,0.44,25.301,22.219,4.495,5.644,6.031,52.935,18.672,17.818,15.88
0.934,2.838,2.456,0.478,0.457,0.463,25.218,23.747,5.332,5.684,5.562,49.104,21.732,22.31,14.037
0.961,3.558,1.972,0.511,0.47,0.489,35.02,30.239,4.255,18.709,67.566,65.716,22.986,23.891,18.248
1.207,3.013,3.527,0.571,0.623,0.609,45.355,24.911,8.903,10.731,16.884,85.728,39.15,24.498,15.57
0.989,3.972,1.902,0.656,0.694,0.791,27.117,21.795,4.918,5.819,8.909,56.488,16.563,13.737,14.376
1.064,7.922,2.441,0.552,0.577,0.575,29.011,218.028,9.726,6.144,5.827,60.129,33.075,16.353,15.548
1.007,4.457,1.805,0.654,0.66,0.665,27.288,21.306,5.326,5.677,4.531,50.869,16.626,13.842,13.571
1,3.173,2.179,0.964,0.437,0.442,25.4,25.341,4.33,5.696,3.573,49.191,16.843,13.952,13.216
1.314,3.617,1.869,0.764,0.676,0.783,32.595,21.42,5.829,7.158,5.086,58.534,18.146,15.38,14.722
1.099,4.339,2.391,0.719,0.606,0.596,26.161,25.51,10.305,5.278,4.075,49.929,19.223,15.491,14.574
1.177,3.379,2.02,0.445,0.803,0.611,27.161,23.762,6.988,5.198,8.654,49.508,18.491,13.468,20.105
7.396,2.921,1.797,0.559,0.555,0.622,40.338,28.182,6.149,5.3,4.113,54.579,16.738,15.668,13.333
0.939,4.047,1.691,0.473,0.496,0.469,25.773,21.802,4.647,5.917,4.428,50.68,16.844,14.266,13.205
1,3.536,2.129,0.581,1.142,0.645,28.675,21.627,4.046,5.724,7.438,53.222,18.762,14.565,13.798
4.256,4.147,2,0.497,0.433,0.465,27.2,22.031,8.731,9.652,3.712,52.301,17.662,14.014,13.695
1.32,2.662,2.22,0.601,0.55,0.756,31.429,24.194,5.441,6.823,3.692,53.133,18.394,13.135,12.149
1.109,4.175,2.046,0.555,0.672,0.601,27.177,20.96,6.984,5.549,6.032,187.369,17.746,13.305,12.844
0.992,3.192,1.981,0.662,1.25,0.616,26.905,21.911,4.678,5.546,7.719,54.299,121.536,15.176,25.158
0.973,4.262,2.841,0.574,0.552,0.771,25.993,20.898,6.088,6.049,5.583,53.55,17.982,17.847,13.328
0.984,4.038,2.551,0.565,0.645,0.557,24.349,23.722,6.091,8.368,5.915,54.556,16.924,12.846,15.411
0.944,4.392,2.066,0.549,0.593,0.605,26.413,23.109,5.229,5.741,3.692,52.245,18.745,13.385,13.45
0.983,3.43,2.574,0.64,0.867,0.594,27.14,23.569,5.171,5.467,4.828,49.667,16.746,13.745,12.666
0.975,4.539,2.717,0.554,0.569,0.58,25.739,23.398,5.42,5.247,3.53,50.689,16.805,13.204,12.835
0.997,3.535,2.462,0.449,0.439,0.438,25.314,24.697,5.073,5.974,4.422,48.751,18.95,14.058,12.818
0.979,2.622,1.958,0.604,6.204,1.023,32.016,22.937,4.959,5.322,4.919,49.719,20.161,13.618,14.597
0.999,3.029,1.89,0.56,0.588,0.554,35.167,21.701,7.185,6.263,8.785,49.075,18.412,13.256,12.5
1.141,2.657,1.782,0.495,0.435,0.436,30.168,21.407,6.919,5.726,3.518,49.907,18.55,14.008,14.227
0.998,2.832,2.026,0.462,0.441,0.431,45.68,36.269,4.66,6.212,15.782,75.995,18.616,27.607,17.068
1.006,16.523,2.041,0.592,8.087,0.918,36.329,39.402,13.307,11.394,13.223,146.126,33.213,15.508,15.097
