native,quick,fastsort,counting,counting1,counting2,counting3,heap,radix,shell,gnome,shaker,lodash,bucket,merge,bubble,sbubble,insertion,selection
1.12,10.952,2.919,4.542,0.36,0.401,0.409,6.647,2.931,3.658,10.093,11.789,9.119,5.319,4.274,16.091,6.276,2.953,17.533
0.714,1.992,3.341,1.192,10.659,0.542,0.498,6.068,2.842,3.12,9.947,15.11,8.649,3.711,4.426,14.453,7.086,3.09,14.405
0.674,2.253,2.76,0.358,0.444,0.511,0.81,6.144,2.823,4.345,9.1,7.297,5.796,3.576,3.364,13.76,5.423,3.515,43.276
0.666,1.977,2.779,0.435,6.728,0.503,0.456,6.145,3.215,3.022,8.788,7.348,6.972,3.624,3.465,12.966,4.642,2.978,15.086
2.497,1.845,4.414,0.347,0.529,0.409,0.358,6.643,2.56,3.303,9.645,7.49,7.839,3.471,3.295,11.834,5.187,3.183,14.685
0.67,4.433,2.474,0.347,0.506,0.399,0.368,5.705,2.683,2.91,9.194,7.209,7.929,5.379,4.175,12.17,4.704,2.892,14.849
0.691,1.831,2.928,0.322,0.402,0.413,0.402,5.24,2.453,2.931,8.413,6.768,11.79,3.578,3.63,14.109,4.86,4.219,14.586
0.648,1.867,3.867,0.305,0.786,0.419,0.931,3.489,2.447,3.122,10.676,7.379,5.293,4.616,3.619,13.523,4.653,2.804,15.853
1.052,1.905,2.458,0.436,0.45,0.417,0.386,5.457,2.322,2.818,11.073,7.299,5.725,9.168,3.467,11.841,4.446,2.653,16.353
0.689,2.347,3.668,0.345,0.328,0.373,0.455,6.568,2.425,2.845,8.749,6.936,7.868,5.333,3.34,12.705,5.592,4.657,14.857
0.645,2.035,2.691,0.345,0.362,0.309,0.293,10.876,4.702,2.991,8.213,7.104,6.189,3.486,4.003,20.355,4.47,2.628,13.612
0.646,2.035,2.401,0.329,0.553,0.406,0.389,3.708,2.392,3.789,8.527,7.07,5.371,3.517,7.824,13.168,4.782,2.837,15.262
0.647,1.838,2.449,0.53,0.292,0.303,0.284,5.152,2.79,40.988,10.472,7.549,8.987,3.762,3.352,29.366,5.045,2.681,16.595
0.678,2.06,2.695,0.361,0.465,0.49,0.471,7.95,3.105,2.933,11.265,7.303,5.942,3.515,5.854,16.843,4.486,2.861,18.038
0.661,1.873,4.256,1.762,0.448,0.444,0.493,5.724,2.949,3.289,9.249,7.415,7.133,3.7,4.062,11.728,6.831,2.838,16.184
0.694,1.907,3.698,0.304,0.293,0.305,0.297,21.36,3.054,3.749,70.045,16.53,6.542,3.876,3.776,12.077,6.262,2.679,15.241
0.648,3.094,2.2,0.32,0.407,0.415,0.511,18.866,2.987,6.351,34.161,7.456,119.215,12.851,5.446,13.318,4.603,3.763,16.323
0.774,1.974,3.029,0.55,0.368,0.421,0.359,4.626,2.69,8.228,8.508,6.951,5.816,3.544,3.239,13.418,4.445,2.866,13.918
0.646,2.503,3.349,0.324,0.646,0.396,0.409,4.272,2.426,2.789,9.161,7.418,5.338,3.43,4.437,13.314,5.307,3.109,13.583
0.661,1.712,4.335,0.338,0.439,0.422,0.423,3.843,2.598,3.294,8.839,7.527,5.457,3.468,6.302,12.333,6.075,2.597,13.55
0.652,3.228,3.093,0.321,0.298,0.286,0.298,6.058,2.553,4.306,18.044,6.814,5.504,3.676,6.36,14.021,4.814,2.673,17.564
0.649,1.749,3.821,2.339,0.369,0.305,0.296,11.55,4.085,4.571,8.544,7.269,6.19,4.004,3.779,13.223,4.643,2.902,14.337
0.805,2.211,3.056,0.307,0.294,0.309,0.282,3.787,2.444,3.114,9.715,7.126,5.376,3.569,7.815,12.385,5.163,2.65,15.632
0.655,2.005,2.565,0.325,0.328,0.317,0.3,9.966,2.972,2.789,8.74,7.554,8.146,3.84,3.77,17.666,4.471,2.652,13.95
0.902,3.235,3.036,0.31,0.417,0.432,0.401,3.947,2.343,3.075,8.815,6.832,6.652,4.37,3.169,12.929,4.889,2.898,14.82
0.668,4.482,2.759,0.318,0.305,0.412,0.287,3.816,2.386,3.199,8.334,6.792,5.765,3.793,7.416,12.644,4.489,2.612,13.865
