native,quick,fastsort,countingObj,countingObj2,countingObj3,gnome,shaker,lodash,bucket,merge,bubble,sbubble,insertion,selection
1.099,2.978,2.328,0.65,0.581,0.547,23.844,19.171,4.825,5.284,3.668,48.09,16.396,13.458,18.314
0.962,2.902,2.041,0.471,0.476,0.669,26.68,19.249,4.431,5.307,4.975,43.698,15.656,12.271,13.093
0.973,2.651,2.01,0.554,0.574,0.531,23.395,20.133,4.655,5.198,4.366,46.72,15.974,13.278,13.107
0.988,2.715,2.957,2.945,0.551,0.576,23.5,19.986,4.813,5.287,3.674,49.829,27.669,18.631,12.695
1.017,2.72,2.012,0.488,0.45,0.553,23.735,19.537,4.765,7.01,12.812,47.535,16.114,12.361,12.113
1.2,2.936,4.227,0.49,0.493,3.424,23.801,20.556,4.673,5.443,4.244,48.062,15.885,13.917,12.17
1.618,4.173,3.1,0.557,0.522,0.53,23.435,20.557,4.734,5.394,4.396,50.247,15.62,12.513,12.378
