native,quick,fastsort,countingObj,countingObj2,countingObj3,gnome,shaker,lodash,bucket,merge,bubble,sbubble,insertion,selection
0.403,1.574,1.321,0.334,0.366,0.362,9.172,7.576,3.749,4.275,2.54,15.177,7.221,5.417,5.368
0.395,1.417,1.305,0.315,0.259,0.273,10.552,7.967,2.751,4.537,1.742,15.524,6.572,5.543,5.819
0.37,1.462,1.429,0.303,0.258,0.25,8.341,8.08,3.842,3.975,5.822,16.386,6.097,5.761,5.859
0.403,6.168,2.446,0.265,1.053,0.264,9.741,8.968,4.136,5.381,6.501,17.839,40.225,6.368,12.726
0.455,1.281,1.574,0.26,0.271,0.265,22.198,16.731,5.072,7.683,3.139,19.995,9.179,5.525,6.876
0.377,1.426,1.477,0.265,0.298,0.251,9.172,11.554,13.103,6.006,2.735,15.953,7.213,6.256,5.413
0.373,2.476,1.426,0.267,8.664,0.281,11.745,9.682,5.645,20.714,2.218,17.029,6.324,5.456,5.177
0.4,1.49,1.651,0.263,0.804,0.303,10.405,12.128,6.538,6.62,1.982,25.264,7.261,8.256,5.44
0.891,9.777,2.946,0.266,0.321,0.261,11.672,9.042,3.69,6.955,1.718,28.118,7.962,7.643,5.75
0.39,2.059,1.946,0.265,0.267,1.39,9.636,10.453,3.775,4.936,3.828,15.047,7.944,6.489,5.147
1.045,1.427,1.989,0.278,0.553,0.311,13.979,13.976,6.798,7.967,2.379,17.937,7.849,8.072,6.663
0.409,1.496,1.318,0.276,0.276,0.281,10.813,9.517,4.033,5.964,2.873,15.045,7.303,5.498,6.02
0.389,1.067,2.115,0.263,0.258,0.49,9.737,9.352,3.417,8.661,2.85,14.878,6.585,5.119,5.884
0.388,1.095,1.498,0.252,0.257,0.259,9.454,9.036,3.804,4.877,2.698,16.237,6.637,4.926,4.629
0.393,1.427,1.317,1.435,0.263,0.264,9.672,8.871,4.173,5.921,2.229,14.813,7.061,6.549,5.738
0.397,1.707,1.871,0.265,0.262,0.357,8.597,7.973,3.886,5.157,1.923,16.624,7.086,6.544,6.202
0.371,1.498,1.302,0.253,0.269,0.245,11.062,37.148,3.457,128.637,5.765,32.896,7.636,6.34,4.615
