native,quick,fastsort,counting,counting1,counting2,counting3,heap,radix,shell,gnome,shaker,lodash,bucket,merge,bubble,sbubble,insertion,selection
0.339,1.713,2.145,0.214,0.48,0.246,0.238,3.34,5.58,1.957,3.356,4.975,9.198,3.475,2.201,7.517,4.729,2.347,8.052
0.35,0.874,1.908,0.174,0.148,0.163,0.156,2.817,0.942,2.169,3.585,4.234,6.082,3.406,1.979,5.777,2.675,2.343,7.011
0.307,0.878,3.196,0.234,0.15,0.155,0.174,2.988,1.24,2.856,3.503,5.111,4.961,4.816,4.74,4.426,4.011,2.104,7.34
0.319,0.641,6.877,0.184,0.173,0.168,0.162,4.268,0.944,2.5,7.992,6.305,5.494,3.443,4.416,5.491,2.677,2.38,12.945
0.326,1.071,2.997,0.173,0.161,0.164,0.158,29.745,0.985,4.065,13.556,6.81,7.52,3.28,2.479,5.382,5.012,4.274,12.448
0.385,2.474,2.018,0.168,0.159,0.321,0.159,4.723,0.902,4.198,6.16,5.607,10.867,4.999,1.927,5.511,3.03,3.787,9.318
0.307,0.674,2.136,0.167,0.577,1.337,0.154,4.813,1.387,4.673,6.719,7.877,8.319,3.667,4.311,4.415,3.075,2.342,8.643
0.361,1.796,3.426,0.16,0.149,1.593,0.155,4.13,0.901,2.072,3.576,5.371,5.623,10.083,3.884,6.343,2.862,5.463,16.782
0.395,0.669,5.063,0.271,0.159,0.17,0.203,3.228,1.261,2.082,3.894,4.585,5.023,3.942,3.354,4.547,3.264,2.582,9.233
0.325,0.969,2.882,0.169,0.161,0.167,0.161,4.999,2.074,4.153,4.304,7.314,6.537,5.232,6.89,4.606,3.778,2.174,7.82
0.332,2.049,3.299,0.17,0.251,0.356,0.169,4.72,0.973,2.047,3.897,5.465,10.989,5.661,4.874,9.584,3.009,2.312,11.75
0.34,0.704,4.186,0.175,0.166,0.175,0.163,4.83,0.997,2.202,4.624,5.001,4.726,3.718,1.965,4.717,2.948,2.206,6.879
0.323,0.665,2.72,0.17,0.156,0.168,0.158,5.264,0.945,2.043,5.83,4.436,5.328,3.517,5.615,6.368,2.763,2.159,6.683
0.322,1.01,1.819,0.165,0.154,0.165,0.156,4.038,0.934,2.324,3.848,4.041,5.234,6.164,7.509,4.622,3.384,3.177,7.806
0.321,0.893,3.065,0.171,0.155,0.167,0.152,2.996,0.957,1.959,3.696,4.092,4.715,3.256,2.725,5.134,2.621,2.108,6.706
0.327,1.294,2.057,0.166,0.173,0.169,0.16,2.856,0.967,2.129,4.191,4.216,4.356,4.585,3.346,4.418,2.594,3.485,7.554
0.309,1.187,1.983,0.159,0.148,0.153,0.148,4.571,2.308,3.464,3.64,5.062,5.782,5.67,2.864,5.193,3.112,2.807,6.949
0.307,0.68,2.012,0.161,0.152,0.156,0.156,2.927,0.929,1.912,5.296,4.009,4.186,3.166,7.794,5.185,2.774,2.237,6.188
0.309,3.287,1.964,0.173,0.153,0.157,0.158,3.229,0.944,2.266,3.612,5.634,4.935,3.134,1.922,5.801,2.602,2.095,11.289
0.342,0.699,2.106,0.165,0.154,0.164,0.157,3.968,1.48,1.987,4.992,4.472,7.367,3.715,9.608,4.711,3.901,2.097,6.483
