native,quick,fastsort,countingObj,countingObj2,countingObj3,gnome,shaker,lodash,bucket,merge,bubble,sbubble,insertion,selection
0.187,0.581,0.972,0.253,4.418,0.265,3.79,4.82,3.38,0.596,0.861,5.184,5.779,3.02,2.738
0.17,0.472,1.137,7.901,0.158,0.138,4.271,4.623,4.22,0.54,0.875,5.424,4.092,7.842,3.031
0.228,0.813,1.326,0.168,0.166,0.195,5.534,4.758,3.169,4.577,0.873,6.988,3.748,3.433,3.03
0.221,0.483,1.232,0.29,0.162,0.152,3.933,4.879,1.972,0.543,1.721,4.968,3.894,3.824,2.663
0.171,0.49,1.098,0.153,0.165,0.147,3.869,4.985,2.002,0.547,0.767,5.421,4.679,3.28,2.668
0.174,0.485,0.935,0.156,0.157,0.149,3.864,4.676,4.767,0.544,0.771,4.83,3.338,3.168,2.707
0.173,0.489,1.209,0.159,0.155,0.143,3.917,4.565,5.773,0.543,0.769,4.814,3.616,3.625,2.632
0.171,0.488,0.975,0.166,0.162,0.147,4.431,4.571,2.217,0.544,0.77,5.063,3.459,2.986,2.716
0.178,0.496,1.092,0.161,0.16,0.145,3.769,4.515,2.402,0.577,0.827,5.474,3.227,3.187,2.89
0.189,0.579,1.165,0.158,0.156,0.144,4.614,4.825,3.648,0.551,0.828,4.927,4.261,3.054,2.77
0.235,0.484,1.4,0.159,0.158,0.151,3.946,5.301,2.556,1.013,0.777,6.264,7.252,4.314,2.916
0.277,0.552,1.574,0.165,0.148,0.152,4.112,4.938,2.018,0.739,0.766,8.881,15.136,9.095,6.916
0.176,1.486,0.947,0.16,0.175,0.14,5.657,6.376,2.008,0.614,0.767,5.401,3.425,4.434,3.437
0.183,0.504,1.026,0.165,0.16,0.15,4.317,4.909,1.938,0.549,0.775,5.172,4.531,4.071,2.843
0.187,0.53,2.209,0.163,0.175,0.15,10.51,9.302,7.762,0.569,0.896,12.783,8.42,5.68,4.048
0.183,0.519,0.966,0.164,0.155,0.19,5.453,6.149,8.385,0.608,0.845,12.785,7.638,3.072,3.971
0.179,0.588,1.659,0.162,0.156,0.192,5.019,8.877,2.391,0.548,0.794,7.224,4.333,3.791,4.72
0.174,0.484,1.189,0.154,0.156,0.145,4.347,4.51,3.335,0.54,0.889,5.065,4.534,4.668,3.613
0.175,0.489,1.169,0.155,0.14,0.134,4.315,4.513,2.371,0.544,0.765,4.955,5.497,2.992,2.998
0.173,0.494,1.161,0.164,0.158,0.153,4.013,4.583,1.98,0.6,0.802,6.135,4.133,3.398,3.292
0.2,0.733,1.024,0.162,0.159,0.148,4.028,4.463,2.682,0.626,0.809,4.793,3.402,3.52,2.802
0.171,0.62,0.943,0.163,0.158,0.18,3.996,4.816,2.197,0.545,0.766,5.015,3.704,2.986,2.742
0.173,0.488,1.303,0.179,0.159,0.147,4.338,4.566,2.62,0.556,0.778,5.234,4.46,3.066,2.697
0.175,0.502,1.2,0.16,0.145,0.14,6.603,4.418,2.02,0.54,0.805,5.48,4.06,3.686,2.715
0.2,0.522,0.978,0.207,0.152,0.161,4.094,4.818,2.953,0.568,1.139,5.542,3.649,3.141,2.704
0.17,0.478,1.123,0.161,0.161,0.142,3.789,4.605,3.417,0.546,0.782,5.189,3.625,2.927,2.811
0.184,0.505,0.931,0.16,0.164,0.174,3.84,4.841,1.981,0.543,0.766,5.097,3.412,4.097,2.796
0.19,0.557,2.91,0.162,0.154,0.151,4.267,5.722,2.862,0.605,0.823,4.849,3.283,3.035,4.252
0.169,0.572,1.178,0.164,0.151,0.147,5.252,4.498,2.143,0.55,0.784,5.041,3.671,3.158,3.768
0.172,0.493,1.184,0.163,0.153,0.148,4.425,6.653,2.147,0.553,0.782,4.857,4.125,4.758,2.59
0.187,0.491,0.938,0.16,0.153,0.155,4.99,5.099,2.028,0.552,0.827,4.735,3.311,3.423,2.686
0.173,0.491,1.17,0.155,0.159,0.149,5.006,6.118,2.556,0.553,0.768,5.175,3.714,3.049,2.87
0.177,0.493,1.179,0.16,0.151,0.144,4.043,4.71,3.549,0.547,0.827,5.541,3.783,3.259,2.721
0.17,0.498,1.227,0.16,0.149,0.145,4.594,4.522,2.075,0.566,0.861,5.798,3.817,3.032,3.58
