native,quick,fastsort,countingObj,countingObj2,countingObj3,gnome,shaker,lodash,bucket,merge,bubble,sbubble,insertion,selection
0.077,0.252,0.224,0.153,0.146,0.187,3.882,4.014,0.746,0.266,0.368,2.881,0.759,2.261,3.811
0.061,0.183,0.21,0.086,0.074,0.087,6.091,3.977,0.552,0.235,0.288,3.191,1.307,2.165,3.055
0.063,0.18,0.215,0.089,0.074,0.086,2.711,3.581,0.523,0.233,0.29,4.534,1.005,2.121,2.538
0.063,0.185,0.213,0.081,0.074,0.084,2.947,3.531,0.542,0.244,0.294,3.092,0.832,0.956,1.004
0.062,0.188,0.212,0.086,0.074,0.086,2.914,3.62,0.549,0.239,0.292,2.932,0.992,2.098,1.233
0.061,0.19,0.211,0.086,0.08,0.081,3.258,3.873,0.57,0.239,0.291,2.887,0.749,1.791,0.945
0.061,0.19,0.228,0.084,0.073,0.085,2.789,3.617,0.514,0.235,0.289,3.397,0.989,2.217,2.894
0.062,0.188,0.211,0.093,0.08,0.082,2.924,3.601,0.509,0.235,0.305,2.866,0.988,2.233,1.107
0.062,0.188,0.224,0.102,0.077,0.08,3.755,4.303,0.573,0.323,0.344,3.634,0.974,2.021,1.062
0.066,0.182,0.214,0.088,0.081,0.085,2.766,3.781,0.647,0.238,0.293,3.015,1.015,2.174,1.221
0.062,0.184,0.212,0.082,0.074,0.084,2.77,4.081,0.514,0.249,0.292,2.997,0.969,2.295,1.203
0.074,0.185,0.21,0.089,0.075,0.082,2.777,3.555,0.505,0.293,0.288,2.894,2.564,3.555,1.962
0.062,0.193,0.211,0.084,0.074,0.084,2.856,3.908,0.512,0.237,0.288,2.963,0.99,2.268,2.321
0.061,0.188,0.21,0.081,0.076,0.081,2.905,3.81,0.505,0.261,0.289,2.809,0.978,2.18,1.174
0.061,0.184,0.21,0.082,0.071,0.083,2.907,3.547,0.536,0.25,0.312,2.995,0.829,2.106,1.047
0.062,0.192,0.213,0.086,0.073,0.081,2.703,3.523,0.544,0.232,0.288,3.293,0.999,2.411,1.775
0.065,0.21,0.227,0.097,0.092,0.095,3.06,3.876,0.743,0.246,0.362,2.89,0.96,2.005,1.178
0.063,0.184,0.21,0.089,0.079,0.081,2.898,3.63,0.514,0.247,0.293,2.908,0.826,1.877,1.058
0.062,0.179,0.21,0.077,0.074,0.079,2.724,3.922,0.521,0.233,0.291,2.95,2.323,0.754,0.814
0.062,0.182,0.212,0.088,0.091,0.099,3.464,4.619,0.581,0.236,0.293,3.084,0.819,2.393,1.047
0.062,0.184,0.211,0.086,0.074,0.083,2.775,3.594,0.521,0.234,0.291,2.893,1.011,2.272,0.661
0.06,0.194,0.209,0.085,0.074,0.088,2.723,3.736,0.536,0.233,0.291,3.016,1.008,2.205,1.635
0.066,0.184,0.212,0.095,0.075,0.084,3.021,3.583,0.51,0.239,0.291,3.211,1.045,2.188,2.276
