native,quick,fastsort,counting,counting1,counting2,counting3,heap,radix,shell,gnome,shaker,lodash,bucket,merge,bubble,sbubble,insertion,selection
0.438,0.211,0.642,0.092,0.111,0.109,0.094,0.756,0.328,0.221,4.811,3.642,1.586,0.456,0.423,1.954,2.041,1.205,1.271
0.146,0.121,0.192,0.048,0.056,0.079,0.049,0.547,0.301,0.133,1.838,3.001,1.052,0.234,0.507,2.446,2.322,0.547,0.627
0.143,0.118,0.3,0.042,0.048,0.051,0.051,0.402,0.224,0.138,2.363,2.983,0.718,0.228,0.382,1.857,2.027,0.562,0.718
0.146,0.146,0.335,0.09,0.047,0.047,0.05,0.64,0.439,0.139,2.001,3.347,0.956,0.313,0.309,1.717,1.768,0.706,2.433
0.149,0.117,0.201,0.042,0.045,0.049,0.046,0.461,0.298,0.134,1.979,2.767,0.748,0.272,0.361,1.671,2.159,0.58,0.959
0.162,0.118,0.198,0.051,0.045,0.094,0.048,0.399,0.218,0.134,2.194,3.086,0.832,0.226,0.427,1.969,1.795,0.618,2.249
0.136,0.224,0.197,0.04,0.044,0.047,0.051,0.42,0.25,0.14,2.221,3.206,1.388,0.223,0.262,1.935,2.13,3.098,1.433
0.209,0.113,0.297,0.04,0.046,0.149,0.115,0.396,0.519,0.224,2.047,2.804,0.778,0.229,0.27,1.763,1.826,0.639,2.01
0.228,0.129,0.328,0.039,0.044,0.049,0.1,0.43,0.244,0.245,2.913,3.161,0.96,0.231,0.344,1.853,1.755,0.661,1.939
0.15,0.188,0.202,0.045,0.046,0.045,0.043,0.646,0.23,0.585,2.232,3.352,0.743,0.221,0.269,2.723,2.027,0.715,0.949
0.15,0.116,0.207,0.043,0.046,0.052,0.046,0.436,0.229,0.132,2.559,2.957,0.736,0.222,0.271,1.833,2.931,0.581,0.687
0.143,0.115,0.322,0.046,0.043,0.044,0.046,0.616,0.24,0.141,3.848,2.771,1.683,0.381,0.265,1.844,1.635,0.649,1.434
0.145,0.22,0.226,0.044,0.048,0.049,0.048,0.42,0.259,0.188,2.305,2.761,0.779,0.223,0.271,2.86,1.894,1.498,1.725
