native,quick,fastsort,countingObj,countingObj2,countingObj3,gnome,shaker,lodash,bucket,merge,bubble,sbubble,insertion,selection
0.291,0.275,0.263,0.177,0.172,0.232,5.008,5.102,0.936,0.3,0.313,3.658,3.503,1.215,0.937
0.157,0.184,0.244,0.076,0.142,0.124,4.489,5.573,0.659,0.278,0.557,3.451,3.118,1.403,0.882
0.151,0.186,0.27,0.086,0.072,0.129,4.37,4.681,1.014,0.228,0.383,3.427,4.084,0.873,1.039
0.154,0.22,0.221,0.085,0.079,0.104,5.231,5.481,0.699,0.471,0.303,3.961,3.952,0.989,1.564
0.251,0.183,0.412,0.085,0.072,0.102,4.555,4.825,0.798,0.285,0.38,4.867,3.157,2.75,1.643
0.209,0.184,0.246,0.087,0.089,0.088,4.894,5.505,0.936,0.227,0.5,3.869,3.246,1.12,3.977
0.161,0.24,0.35,0.085,0.069,0.079,4.633,5.29,1.54,0.227,0.435,3.369,3.248,3.52,0.926
0.162,0.181,0.253,0.099,0.07,0.084,5.528,5.119,0.643,0.228,0.296,3.544,3.941,0.989,1.681
0.299,0.309,0.402,0.092,0.069,0.068,4.776,4.679,1.211,4.692,0.453,3.308,3.314,2.176,2.172
0.164,0.217,0.479,0.084,0.065,0.067,6.255,4.497,0.639,0.243,0.3,3.577,4.039,2.357,1.18
0.177,0.189,0.227,0.087,0.092,0.078,4.26,4.968,0.66,0.226,0.295,4.414,3.306,1.516,1.043
0.167,0.183,0.338,0.099,0.069,0.067,4.569,4.446,1.534,0.238,0.3,3.652,4.436,2.534,1.907
0.152,0.578,0.214,0.105,0.127,0.073,4.321,5.245,0.779,0.227,0.297,4.891,3.686,2.459,1.017
0.153,0.184,0.328,0.081,0.067,0.277,4.809,4.353,1.168,0.225,0.304,4.755,3.395,2.867,1.948
0.174,0.31,0.268,0.087,0.062,0.074,5.473,5.178,0.763,0.274,0.297,3.787,3.655,2.438,1.914
0.156,0.183,0.258,0.081,0.069,0.071,6.45,4.77,3.715,0.227,0.376,4.537,3.67,1.535,1.851
0.151,0.196,0.237,0.087,0.075,0.068,4.475,5.078,0.648,0.224,0.294,3.405,3.091,0.867,1.524
0.19,0.28,0.43,0.325,0.283,0.227,5.461,4.945,0.824,0.281,0.409,3.803,4.721,2.096,2.954
0.154,0.185,0.246,0.074,0.068,0.065,4.958,5.348,0.813,0.253,0.345,3.511,3.638,1.739,0.308
0.159,0.185,0.266,0.083,0.086,0.072,4.377,4.53,1.257,0.254,0.298,3.65,4.605,1.616,1.857
0.162,0.189,0.25,0.08,0.067,0.128,4.158,4.491,0.65,0.226,0.301,3.613,3.151,2.35,1.412
0.414,0.398,0.596,0.081,0.071,0.135,4.989,4.433,0.676,0.227,0.32,4.619,3.397,1.04,1.58
0.168,0.19,0.254,0.093,0.076,0.069,4.193,6.125,0.677,1.124,0.298,3.523,3.873,5.846,1.909
0.16,0.253,0.259,0.08,0.073,0.133,4.951,5.018,2.652,0.23,0.298,3.512,3.947,2.633,1.518
0.16,0.181,0.224,0.079,0.134,0.069,4.735,5.096,0.641,0.227,0.464,3.371,3.429,1.054,1.408
0.168,0.366,0.258,0.125,0.117,0.078,5.234,5.778,1.307,4.158,0.31,4.03,7.463,4.567,50.534
0.157,0.301,0.448,0.082,0.076,0.095,6.079,6.097,0.816,0.355,0.38,3.537,3.723,2.045,1.397
0.155,0.228,0.228,0.089,0.078,0.081,4.895,6.377,0.633,0.227,0.296,3.662,3.306,1.029,1.871
0.157,0.191,0.298,0.078,0.071,0.111,4.5,8.126,1.289,0.241,0.493,3.896,3.383,2.016,1.825
0.17,0.184,0.245,0.083,0.072,0.073,4.677,4.784,0.642,0.229,0.56,3.208,3.193,1.567,1.97
0.157,0.181,0.263,0.076,0.071,0.189,4.606,4.554,0.673,0.227,0.295,3.463,3.541,1.038,1.154
0.157,0.927,0.39,0.079,0.071,0.078,4.445,4.688,1.143,0.277,0.313,3.609,3.237,1.092,3.335
0.162,0.187,0.394,0.082,0.078,0.073,4.824,5.269,1.115,0.238,0.535,4.652,3.251,2.168,1.749
0.232,0.185,0.25,0.08,0.072,0.072,4.182,4.664,1.954,0.287,0.295,3.361,3.671,1.749,4.298
