native,quick,fastsort,counting,counting1,counting2,counting3,heap,radix,shell,gnome,shaker,lodash,bucket,merge,bubble,sbubble,insertion,selection
0.336,1.082,6.105,0.233,0.623,0.267,0.253,2.961,1.13,2.13,3.516,4.653,4.432,3.897,3.219,4.537,2.804,2.412,5.003
0.551,0.758,1.774,0.168,0.14,0.163,0.16,2.818,1.771,2.816,3.536,4.18,3.836,3.489,1.89,4.543,2.569,2.265,4.936
0.318,1.077,1.823,0.169,0.148,0.148,0.162,3.35,1.343,2.212,4.232,3.799,4.462,3.234,3.279,4.771,2.729,2.296,5.341
0.304,0.637,1.782,0.167,0.142,0.145,0.158,3.611,1.207,2.724,6.224,4.206,12.726,3.841,3.173,4.34,2.6,2.154,4.67
0.304,0.64,1.639,0.173,0.178,0.161,0.156,2.855,1.071,1.912,3.606,4.379,4.064,4.064,1.892,4.625,2.684,2.23,4.965
