native,quick,fastsort,counting,counting1,counting2,counting3,heap,radix,shell,gnome,shaker,lodash,bucket,merge,bubble,sbubble,insertion,selection
2.528,1.761,3.562,0.393,0.37,0.419,0.367,4.137,2.695,2.685,7.081,7.636,9.985,3.394,2.981,12.923,5.895,3.157,13.158
2.488,1.73,3.157,0.358,0.498,0.586,0.413,3.999,2.696,2.652,7.58,7.797,15.545,3.459,3.127,13.45,4.772,2.98,15.299
2.381,1.693,2.329,0.31,0.347,0.39,0.405,4.835,2.906,2.678,7.61,9.152,8.505,3.636,3.444,12.887,4.916,3.02,13.956
2.25,1.698,3.928,0.303,0.379,0.376,0.624,5.042,2.512,2.554,8.136,7.66,6.537,3.97,4.351,14.818,4.799,2.971,15.08
2.346,1.582,3.849,0.304,0.34,0.701,0.37,3.283,2.436,3.11,8.102,7.09,11.664,3.242,2.923,12.698,4.757,3.065,14.488
2.298,1.685,3.302,0.417,0.363,0.38,0.37,5.081,2.477,2.543,7.062,7.974,8.326,3.157,3.243,12.213,4.717,2.878,13.962
2.749,1.829,3.243,0.299,0.345,0.381,0.396,3.498,2.69,2.658,8.103,8.108,8.205,4.087,4.605,12.784,4.803,3.01,14.56
2.407,2.136,3.031,0.302,0.264,0.304,0.361,3.71,3.006,2.569,7.066,7.278,8.62,3.326,4.984,13.484,6.765,3.052,14.088
2.619,2.677,4.144,0.294,0.265,0.307,0.3,7.613,2.539,2.544,7.019,7.167,7.073,3.309,4.562,13.631,4.719,2.964,13.384
2.367,3.585,2.589,0.392,0.27,0.522,0.343,4.895,3.049,2.635,7.829,8.342,10.097,3.156,2.895,13.048,5,3.089,13.934
3.098,3.137,3.796,0.306,0.474,0.485,0.4,4.753,3.091,2.546,7.405,7.09,8.5,3.226,3.578,12.887,4.782,2.809,14.713
2.449,1.647,3.563,0.291,0.264,0.301,0.292,5.263,2.699,2.655,7.902,7.003,7.584,3.254,4.371,13.227,4.615,2.882,14.176
2.382,1.682,3.674,0.327,0.346,0.399,0.374,6.091,2.791,2.628,7.869,7.473,6.074,4.015,3.88,14.495,4.84,2.934,14.123
4.429,2.16,4.846,0.295,0.269,0.301,0.333,6.92,2.864,2.533,853.005,7.745,10.283,3.221,4.278,13.488,5.213,3.09,15.576
2.535,1.839,2.895,0.339,0.357,0.882,0.449,4.94,2.557,3.183,7.41,7.213,8.322,3.57,4.456,13.497,4.865,3.063,14.909
2.363,1.696,2.914,0.301,0.385,0.38,0.546,5.014,2.528,2.549,7.686,7.853,7.922,3.243,3.042,13.252,4.901,3.175,14.317
2.738,3.057,3.552,0.309,0.352,0.376,0.37,5.21,2.857,2.634,7.554,7.393,9.265,4.319,3.418,12.995,4.933,3.081,15.171
2.348,1.715,3.504,0.302,0.381,0.305,0.298,5.861,3.045,2.565,8.007,8.037,8.172,3.185,2.894,13.571,5.161,2.964,13.421
3.063,3.012,4.131,0.303,3.041,0.38,0.387,3.507,2.768,2.926,8.114,7.224,6.613,3.298,3.954,13.304,5.023,3.067,14.295
2.345,2.229,3.188,0.331,0.356,0.371,0.363,5.052,2.751,2.522,7.452,7.937,13.639,3.381,2.818,12.496,4.911,2.895,14.79
2.52,2.069,2.456,0.305,0.283,0.309,0.292,3.828,2.597,2.538,7.521,7.719,8.12,3.149,2.983,12.319,4.849,3.113,14.471
2.473,2.718,3.749,0.386,0.347,0.375,0.362,6.544,3.294,2.561,8.29,7.24,9.409,3.216,4.05,14.055,4.899,2.877,14.025
2.116,1.675,3.371,4,0.28,0.312,0.302,3.526,2.481,2.575,7.788,7.419,9.037,3.756,4.723,12.922,5.05,2.989,14.342
2.243,2.069,3.334,0.309,0.375,0.44,0.376,5.325,2.631,2.78,7.363,7.785,9.905,3.16,2.949,13.404,4.864,3.131,15.167
2.687,2.791,4.087,0.427,0.371,0.39,0.369,3.612,2.94,2.888,7.441,7.688,7.881,3.325,2.86,12.993,4.793,2.93,12.968
2.336,1.647,2.751,0.304,0.268,0.358,0.316,5.047,2.5,2.649,7.757,7.505,11.994,3.151,4.652,12.563,4.808,2.802,18.307
2.302,2.631,3.254,0.3,0.387,0.367,0.367,5.046,3.078,2.559,8.405,7.115,11.451,3.18,4.509,19.215,5.293,3.17,13.294
2.466,2.749,2.573,0.358,0.272,0.302,0.296,3.802,2.684,2.674,7.732,7.582,8.627,4.037,5.673,15.467,4.742,3.246,13.436
2.271,2.67,2.66,0.449,0.267,0.306,0.289,5.413,2.791,2.581,7.425,7.01,10.241,3.758,2.987,17.755,4.738,2.882,14.136
