native,quick,fastsort,countingObj,countingObj2,countingObj3,gnome,shaker,lodash,bucket,merge,bubble,sbubble,insertion,selection
0.099,0.18,0.125,0.14,0.126,0.14,0.485,0.337,0.505,0.165,0.177,1.676,0.304,0.197,0.197
0.081,0.164,0.11,0.057,0.073,0.055,0.621,0.388,0.588,0.14,0.157,1.693,0.235,0.279,0.272
0.081,0.09,0.12,0.058,0.05,0.047,0.671,0.345,0.33,0.127,0.187,1.052,0.221,0.193,0.188
0.105,0.183,0.127,0.062,0.091,0.048,0.79,0.566,0.346,0.129,0.147,1.584,0.869,0.202,0.195
0.083,0.092,0.128,0.056,0.092,0.048,0.6,0.329,0.79,0.136,0.174,1.277,0.207,0.181,0.185
0.108,0.171,0.137,0.248,0.054,0.151,1.806,0.849,0.336,0.135,0.179,3.779,0.218,0.462,0.189
0.083,0.091,0.187,0.057,0.058,0.079,0.428,0.36,0.358,0.197,0.209,3.621,0.183,0.346,0.177
0.7,0.09,0.121,0.068,0.059,0.142,0.721,0.418,0.327,0.128,0.146,3.639,0.2,0.265,0.194
0.087,0.11,0.22,0.075,0.06,0.049,2.971,0.473,0.323,0.126,0.148,4.387,0.28,0.445,0.281
0.082,0.089,0.11,0.062,0.075,0.048,0.581,0.417,0.329,0.35,0.156,0.753,0.263,0.245,0.163
0.088,0.166,0.104,0.06,0.053,0.052,0.939,0.316,0.309,0.136,0.149,3.043,0.234,0.319,0.421
0.083,0.094,0.1,0.058,0.052,0.061,0.895,0.413,0.347,0.13,0.147,0.673,0.279,0.265,0.436
0.097,0.128,0.189,0.071,0.054,0.052,0.734,0.448,0.414,0.26,0.175,5.906,0.367,0.178,0.593
0.083,0.094,0.12,0.064,0.057,0.046,0.616,0.815,0.346,0.137,0.157,1.334,0.222,0.18,0.184
0.085,0.093,0.1,0.061,0.053,0.05,0.741,0.324,0.349,0.132,0.149,1.433,0.229,0.212,0.331
0.091,0.092,0.096,0.057,0.051,0.104,0.484,0.324,0.555,0.129,0.15,2.002,0.634,0.272,0.288
0.13,0.096,0.099,0.064,0.056,0.049,0.639,0.473,0.338,0.132,0.148,2.223,0.242,0.195,0.313
0.081,0.093,0.125,0.068,0.046,0.049,0.607,0.473,0.603,0.134,0.155,3.762,0.22,0.232,0.173
0.083,0.093,0.108,0.057,0.054,0.047,0.708,0.333,0.35,0.128,0.149,2.383,0.374,0.196,0.263
0.101,0.174,0.132,0.166,0.18,0.172,0.478,0.338,0.518,0.172,0.194,0.918,0.303,0.423,0.211
0.092,0.092,0.094,0.061,0.048,0.044,0.824,0.387,0.373,0.131,0.151,1.735,0.202,0.188,0.333
0.088,0.093,0.103,0.064,0.05,0.052,0.912,0.339,0.639,0.137,0.157,1.849,0.243,0.37,0.281
0.132,0.097,0.231,0.119,0.1,0.098,1.351,0.447,0.387,0.136,0.164,1.324,0.351,0.45,0.481
0.08,0.097,0.105,0.058,0.051,0.051,1.992,0.32,0.325,0.137,0.248,2.617,0.228,0.202,0.974
0.081,0.092,0.214,0.064,0.047,0.096,0.565,0.537,0.377,0.142,0.15,2.889,0.416,0.185,0.189
0.086,0.094,0.102,0.056,0.048,0.068,0.554,0.318,0.358,0.176,0.287,1.637,0.203,0.171,0.169
0.083,0.095,0.102,0.058,0.048,0.049,0.752,0.386,0.362,0.134,0.157,3.152,0.313,0.251,0.414
0.094,0.095,0.206,0.117,0.08,0.082,0.68,0.474,0.343,0.136,0.158,1.234,0.48,0.356,0.437
0.081,0.1,0.114,0.138,0.081,0.064,0.668,0.904,0.333,0.267,0.216,1.409,0.319,0.284,0.312
0.085,0.092,0.105,0.066,0.051,0.048,0.422,0.316,0.317,0.129,0.147,0.92,0.327,0.17,0.204
0.079,0.094,0.104,0.06,0.049,0.049,0.884,0.419,0.296,0.129,0.305,0.832,0.519,0.302,0.203
0.102,0.096,0.106,0.067,0.053,0.051,0.598,0.368,0.327,0.134,0.285,1.075,0.201,0.4,0.412
0.089,0.096,0.155,0.062,0.049,0.052,0.665,0.805,0.361,0.135,0.149,0.701,0.183,0.18,0.257
0.084,0.095,0.11,0.059,0.046,0.052,0.635,0.311,0.361,0.135,0.199,1.152,0.229,0.21,0.415
0.086,0.099,0.111,0.065,0.054,0.054,0.9,0.393,0.344,0.203,0.15,1.398,0.211,0.187,0.19
0.086,0.093,0.102,0.056,0.049,0.048,0.772,0.515,0.53,0.135,0.158,3.083,0.201,0.224,0.188
0.091,0.095,0.124,0.058,0.052,0.053,0.597,0.392,0.572,0.157,0.156,1.567,0.194,0.178,0.181
0.082,0.091,0.105,0.056,0.05,0.1,0.594,0.312,0.312,0.128,0.15,1.398,0.253,0.373,0.189
0.082,0.099,0.103,0.057,0.046,0.046,0.672,0.504,0.505,0.129,0.165,1.614,1.298,0.193,0.619
0.083,0.098,0.107,0.081,0.052,0.049,0.81,0.405,0.315,0.133,0.154,1.726,0.204,0.179,0.428
0.087,0.096,0.103,0.06,0.052,0.08,0.864,0.499,0.311,0.144,0.149,0.9,0.23,0.2,0.413
0.081,0.099,0.106,0.064,0.052,0.053,0.659,0.312,0.302,0.126,0.157,1.613,0.208,0.191,0.312
0.083,0.094,0.115,0.058,0.051,0.047,0.742,0.39,0.322,0.131,0.213,1.958,0.283,0.361,0.314
