native,quick,fastsort,countingObj,countingObj2,countingObj3,gnome,shaker,lodash,bucket,merge,bubble,sbubble,insertion,selection
0.389,0.539,1.369,0.422,0.267,0.444,4.849,5.419,2.097,0.523,0.847,5.261,4.275,3.405,2.322
0.453,0.514,1.151,0.194,0.244,0.129,4.298,5.466,2.018,0.626,0.884,5.368,3.194,3.532,2.15
0.857,0.399,1.785,0.138,0.13,0.119,4.876,5.07,1.386,1.144,1.401,5.019,3.664,3.187,2.243
0.68,0.528,1.276,0.147,0.174,0.23,5.155,6.481,2.665,1.364,0.866,5.307,3.367,3.265,2.179
0.37,0.657,0.921,0.146,0.146,0.131,4.596,5.495,2.799,0.521,0.873,5.205,3.408,3.169,2.448
0.439,0.442,0.856,0.133,0.132,0.182,5.073,5.275,1.987,0.521,0.949,5.203,3.998,3.374,2.115
0.474,0.653,0.771,0.145,0.142,0.127,5.215,4.977,1.599,1.105,0.834,5.056,3.786,3.087,2.552
0.4,0.581,0.727,0.148,0.126,0.124,5.008,6.323,1.927,0.8,0.852,4.935,3.462,3.344,2.409
0.41,0.536,0.661,0.132,0.139,0.128,5.216,5.418,2.797,1.3,0.843,5.238,3.22,4.284,2.195
0.449,0.641,1.061,0.133,0.143,0.13,5.136,6.369,2.35,0.484,0.958,5.507,3.404,3.259,2.5
0.365,0.67,0.599,0.14,0.139,0.211,5.769,4.924,1.887,0.511,0.942,5.4,3.559,3.272,2.262
0.374,0.682,1.066,0.145,0.123,0.129,4.463,5.362,2.401,1.506,0.839,5.002,3.346,3.226,2.262
0.395,0.554,1.238,0.14,0.125,0.224,5.211,5.68,1.551,4.144,1.955,5.486,5.071,3.499,2.348
0.503,0.527,0.834,0.142,0.124,0.117,4.783,5.174,2.165,0.478,1.101,5.794,4.329,3.097,2.517
0.509,0.782,0.852,0.143,0.146,0.229,5.728,5.252,2.28,0.637,1.338,4.889,3.495,3.136,2.085
0.832,0.482,1.883,0.137,0.125,0.114,5.22,5.172,1.709,0.834,1.054,5.052,3.988,3.696,2.255
0.363,0.42,0.91,0.162,0.125,0.127,4.591,5.231,1.852,0.83,1.423,5.806,4.291,4.012,3.642
0.386,0.856,0.98,0.133,0.121,0.121,5.281,6.16,2.387,0.619,0.867,5.131,3.655,3.242,2.448
0.469,0.477,0.901,0.137,0.135,0.122,4.678,5.636,2.259,1.249,4.382,4.953,3.759,3.305,2.443
0.702,0.475,0.807,0.141,0.129,0.126,5.165,5.143,2.845,0.481,0.967,5.244,3.559,3.202,2.267
0.388,0.431,1.015,0.139,0.133,0.125,4.927,5.857,2.907,0.847,0.853,5.426,3.754,3.151,2.462
0.373,0.462,0.727,0.143,0.221,0.122,4.625,5.273,1.522,1.63,0.906,5.134,3.684,3.64,2.275
