native,quick,fastsort,counting,counting1,counting2,counting3,heap,radix,shell,gnome,shaker,lodash,bucket,merge,bubble,sbubble,insertion,selection
0.35,0.361,0.726,0.144,0.152,0.329,0.234,1.5,0.645,0.398,1.967,3.048,3.121,0.617,0.893,2.42,1.798,1.721,3.983
0.336,0.273,0.64,0.073,0.082,0.085,0.162,1.205,0.509,0.357,2.011,2.767,2.93,0.717,0.819,2.636,1.704,1.618,3.725
0.409,0.262,0.78,0.078,0.081,0.128,0.087,1.232,0.575,0.31,1.839,2.951,2.024,0.472,0.827,2.547,1.49,1.748,4.052
0.342,0.281,0.663,0.08,0.08,0.147,0.093,1.227,0.574,0.328,1.941,2.822,2.984,0.919,0.89,2.301,1.737,1.838,3.735
0.364,0.504,0.737,0.08,0.145,0.097,0.094,1.262,0.521,0.334,2.053,3.283,2.782,0.498,0.779,2.47,1.747,1.648,4.154
0.44,0.28,0.63,0.147,0.092,0.082,0.091,1.379,5.711,0.324,2.007,3.065,2.013,0.466,1.283,2.368,1.695,1.774,3.792
0.331,0.425,0.631,0.08,0.08,0.131,0.087,1.227,0.52,0.339,2.616,2.766,2.177,0.793,0.775,2.476,1.642,1.734,3.546
0.323,0.284,0.596,0.085,0.16,0.14,0.142,1.261,0.912,0.325,1.842,2.821,3.461,0.496,0.797,2.998,2.191,1.659,4.031
0.44,0.274,0.555,0.071,0.092,0.129,0.083,1.364,0.561,0.342,2.688,2.955,2.82,0.497,0.79,3.142,1.644,1.809,4.12
0.596,0.306,0.598,0.077,0.086,0.088,0.092,1.496,0.475,0.352,3.105,3.152,2.485,0.475,0.828,2.645,1.636,1.788,4.357
0.356,0.275,0.894,0.08,0.076,0.08,0.166,1.192,0.481,0.3,2.052,2.682,2.822,0.496,0.79,2.364,1.781,1.672,3.655
0.338,0.276,0.474,0.078,0.083,0.082,0.078,1.473,0.477,0.412,2.023,4.227,2.834,0.993,0.78,3.532,1.708,1.621,3.869
0.337,0.273,0.652,0.14,0.135,0.141,0.085,1.706,1.034,0.335,1.924,2.939,2.62,0.751,0.841,2.384,1.538,1.779,3.771
1.355,0.268,0.465,0.07,0.085,0.087,0.137,2.24,0.479,0.359,1.811,2.754,3.723,0.466,1.141,2.247,2.203,1.798,3.427
0.404,0.281,0.978,0.083,0.128,0.191,0.136,1.853,0.88,0.336,2.229,2.852,2.007,0.461,0.929,2.378,2.092,1.903,3.933
0.332,0.278,1.398,0.134,0.075,0.137,0.084,1.676,0.522,0.544,2.049,2.784,2.146,0.536,0.818,2.468,4.236,1.729,4.101
0.378,0.271,0.619,0.119,0.135,0.231,0.082,1.567,0.471,0.316,1.967,2.914,3.328,0.514,1.127,2.518,2.428,2.088,4.114
0.426,0.302,0.736,0.073,0.082,0.084,0.082,1.684,0.487,0.299,1.978,3.426,2.966,0.467,0.774,3.029,1.903,1.825,3.977
0.345,0.422,0.481,0.082,0.108,0.095,0.081,1.58,0.551,0.315,1.906,2.92,3.09,0.645,0.817,2.284,1.762,1.765,3.79
