native,quick,bucket,merge,bubble,insertion,selection,counting,counting1,counting2,counting3,fastsort,heap,radix,gnome,shell,shaker,lodash
1.692,3.767,5.628,7.17,79.913,7.19,22.168,1.078,0.962,0.993,1.215,3.242,8.216,9.714,44.253,2.717,24.193,7.936
1.652,3.724,5.77,8.218,61.125,6.641,21.618,1.061,0.959,1.04,0.995,3.435,8.221,9.91,43.886,2.784,24.764,7.86
1.819,4.162,13.749,6.1,65.967,7.442,24.803,1.201,1.009,1.04,1.003,5.288,9.751,11.285,48.348,3.098,28.24,11.448
1.73,2.698,5.336,8.692,65.455,7.937,22.815,1.058,0.951,0.994,0.948,3.44,8.089,10.16,42.511,2.65,23.506,10.551
1.711,4.42,5.809,7.093,159.636,7.262,21.519,1.36,1.124,1.058,2.104,3.301,8.193,9.479,44.323,2.712,25.385,10.831
1.645,3.574,5.628,5.544,78.827,6.921,22.281,1.145,1.053,1.066,1.012,3.507,9.541,9.982,44.349,2.627,26.209,9.353
1.668,3.262,9.533,5.504,66.979,6.818,21.622,1.12,0.963,0.993,0.971,3.302,8.37,9.76,43.211,2.634,24.432,10.297

1.912,2.858,11.019,13.515,75.312,7.059,23.005,1.153,0.963,0.992,0.968,3.157,8.123,9.81,49.997,3.269,27.734,8.178

2.219,29.939
1.767,4.543,18.716,18.582,68.744,7.114,24.23,1.334,1.357,1.15,1.111,9.338,9.994,9.905,46.532,2.634,24.175,13.654
2.355,10.313
