native,quick,bucket,merge,bubble,insertion,selection,fastsort,countingObj,gnome,shaker,lodash
1.395,4.327,5.215,7.737,49.212,13.812,21.89,1.799,0.57,33.649,23.022,5.333
1.061,2.94,5.343,3.502,45.429,12.007,20.1,2.957,0.626,24.157,21.36,4.654
1.031,4.326,5.194,3.41,44.984,11.759,19.614,1.861,0.62,25.609,21.706,4.689
0.986,3.793,5.117,3.544,45.165,11.894,19.751,2.165,0.565,25.331,20.756,4.243
1.212,3.218,5.208,3.51,46.498,12.283,19.192,1.85,0.556,24.09,21.674,5.257
1.125,2.732,5.432,5.594,44.346,12.59,19.936,1.846,0.455,25.309,20.33,4.278
1.021,5.152,5.274,5.953,45.825,12.996,19.44,1.993,0.499,27.703,23.709,4.189
1.048,3.932,8.743,3.509,44.353,11.993,20.145,1.855,0.466,24.926,21.595,4.638
1.024,4.493,5.147,6.89,46.492,12.37,19.059,1.953,0.484,25.926,22.19,4.222
0.983,2.767,5.463,4.005,45.651,12.099,19.578,2.13,0.454,24.623,21.451,4.124
1.06,2.868,5.727,6.778,45.432,12.219,20.929,2.031,0.585,24.537,21.622,4.71
1.01,2.662,10.189,3.484,44.796,12.63,19.127,2.276,0.565,25.925,22.519,4.004
1.052,4.41,4.886,4.53,45.13,13.337,19.062,1.917,0.564,30.705,20.564,3.942
1.011,4.699,5.425,3.447,44.798,12.874,19.123,1.913,0.483,23.562,22.482,9.967
1.072,2.726,6.853,3.377,51.461,13.403,21.068,2.364,0.606,23.801,20.769,4.228
1.071,2.507,5.32,5.215,46.134,13.504,20.249,1.959,0.563,25.569,21.305,4.075
1.016,2.576,4.801,5.477,45.896,12.305,19.343,1.734,0.575,24.13,21.905,5.016
1.008,3.399,5.603,3.524,43.213,11.774,19.637,1.971,0.567,23.715,19.715,4.744
0.985,3.717,5.274,4.006,44.285,12.29,20.918,2.025,0.483,24.625,20.353,4.227
1.016,3.174,5.396,3.852,47.941,11.841,19.692,1.894,0.576,24.747,21.147,4.542
1.016,2.897,5.106,3.937,47.877,12.248,20.6,1.856,0.565,24.49,20.791,4.097
1.02,2.412,5.661,4.406,48.359,12.274,19.342,2.183,0.587,23.464,20.985,4.762
1.249,3.886,5.862,3.52,47.347,12.362,19.889,1.677,0.612,23.763,20.916,4.456
1.036,3.358,5.387,6.945,46.802,12.583,20.772,1.959,0.588,26.875,20.872,4.394
1.05,3.054,5.106,5.356,45.509,12.397,19.596,1.875,0.568,24.965,21.009,5.501
1.029,2.194,5.191,5.293,46.939,11.868,20.828,1.937,0.558,23.934,20.526,4.394
1.116,2.781,13.321,4.035,46.276,12.971,20.021,1.992,0.562,25.267,20.758,4.74
1.019,2.806,5.529,9.664,44.298,12.513,19.593,2.096,0.565,24.493,20.626,4.616
1.003,3.119,5.503,4.055,45.722,12.841,18.998,1.96,0.46,25.821,20.159,4.141
1.128,2.918,5.987,5.492,46.075,12.615,19.625,2.088,0.618,26.158,20.08,4.725
1.028,2.799,5.262,4.139,48.743,12.198,18.987,1.789,0.577,24.488,24.819,4.815
1.07,5.579,5.492,3.527,47.758,17.419,20.649,2.566,0.509,25.632,20.986,4.394
1.036,3.206,6.802,10.887,46.124,14.022,24.606,2.048,0.564,24.066,20.034,4.102
1.032,3.237,5.911,3.802,45.353,11.937,20.128,2.95,0.739,29.117,20.029,6.663
0.996,2.41,5.315,9.067,47.86,11.957,19.752,1.891,0.475,23.912,21.955,5.015
