native,quick,bucket,merge,bubble,insertion,selection,counting,counting2,counting3,fastsort,heap,radix,gnome,shell,shaker,lodash
0.138,0.33,0.541,0.71,3.153,1.96,2.087,0.114,0.082,0.088,0.655,1.179,0.479,2.424,0.356,3.414,1.521
0.136,0.302,0.512,0.715,2.955,2.183,2.581,0.118,0.086,0.086,0.768,1.163,0.478,2.383,0.387,7.102,1.559
0.144,0.317,0.548,0.755,3.814,2.223,2.245,0.122,0.089,0.083,0.642,1.184,0.574,2.435,0.621,3.282,1.433
0.186,0.851,0.701,0.715,3.33,1.904,2.253,0.114,0.086,0.083,0.645,1.188,0.49,2.357,0.388,3.054,1.512
0.14,0.311,0.515,0.756,3.202,1.814,1.994,0.131,0.09,0.088,0.646,1.171,0.517,2.258,0.433,3.431,1.431
0.138,0.306,0.518,0.707,3,2.128,2.059,0.116,0.089,0.083,0.643,1.17,0.484,2.354,0.369,3.215,1.523
0.137,0.309,0.548,0.71,3.762,1.891,2.126,0.119,0.089,0.083,0.653,1.413,0.844,3.308,0.707,3.385,1.525
0.148,0.311,0.516,0.812,3.048,2.075,2.476,0.12,0.086,0.085,0.937,1.246,0.484,2.411,0.359,3.379,1.538
0.137,0.295,0.515,1.348,3.118,2.117,2.122,0.111,0.088,0.081,0.674,1.413,1.048,2.515,0.386,3.265,1.576
0.137,0.303,0.516,0.718,2.948,1.87,2.156,0.122,0.093,0.084,0.641,1.467,0.482,2.679,0.381,3.152,1.512
0.144,0.323,0.546,0.796,5.344,2.4,2.108,0.114,0.077,0.083,0.642,1.188,0.608,2.168,0.397,3.226,1.689
0.136,0.306,0.882,0.714,3.407,1.863,2.038,0.118,0.104,0.085,0.666,1.145,0.522,2.27,0.361,3.111,2.108
0.137,0.303,0.514,0.754,3.499,2.126,2.184,0.114,0.084,0.089,0.657,1.202,0.493,2.844,0.371,3.042,1.552
0.138,0.306,0.514,0.711,3.223,1.893,2.069,0.113,0.084,0.085,1.757,1.177,0.503,2.319,0.541,3.086,1.481
0.163,0.351,0.551,0.772,8.213,1.957,2.27,0.159,0.091,0.089,0.892,1.85,7.489,2.525,0.394,3.35,1.523
0.137,0.301,0.64,0.715,3.455,2.145,2.142,0.123,0.087,0.085,0.736,1.184,0.481,2.368,0.47,3.076,1.51
0.595,0.321,0.524,0.714,3.142,1.915,2.171,0.148,0.092,0.082,0.644,1.54,0.61,2.207,0.379,3.271,1.509
0.135,0.306,0.615,0.73,3.338,2.002,2.074,0.163,0.088,0.083,0.698,1.173,0.478,2.813,0.37,3.207,1.53
0.166,0.347,0.558,0.792,2.98,1.97,2.034,0.118,0.084,0.085,0.644,1.156,0.678,2.443,0.361,3.175,1.585
0.136,0.301,0.515,0.751,3.173,1.975,2.113,0.115,0.082,0.097,0.709,1.327,0.477,2.51,0.364,3.198,1.521
0.137,0.306,0.523,0.716,5.397,1.86,2.041,0.179,0.09,0.083,0.684,1.208,0.475,2.504,0.369,3.119,1.538
0.307,0.326,0.62,0.749,3.21,1.917,2.065,0.115,0.08,0.083,0.65,4.103,0.647,2.38,0.404,3.137,1.492
0.137,0.304,0.518,0.708,3.013,1.853,2.132,0.114,0.089,0.093,0.655,1.363,0.779,2.519,0.359,3.056,1.83
0.136,0.309,0.514,0.716,3.35,1.877,2.189,0.127,0.09,0.083,0.643,1.235,0.523,2.306,0.401,3.283,1.429
0.14,0.298,0.52,0.713,3.895,3.901,2.077,0.119,0.087,0.211,0.651,1.349,0.458,2.314,0.398,3.546,1.543
0.136,0.306,0.518,0.712,3.18,1.955,2.109,0.163,0.089,0.087,1.676,1.231,0.48,2.615,0.413,3.2,1.529
