native,quick,bucket,merge,bubble,insertion,selection,counting,counting2,counting3,fastsort,heap,radix,gnome,shell,shaker,lodash
0.687,4.718,3.562,3.746,11.716,2.705,5.226,0.405,0.415,0.387,2.502,4.193,3.139,9.091,2.834,7.773,5.76
0.688,2.362,5.35,8.066,12.241,2.633,5.088,0.41,0.387,0.386,2.361,3.231,2.333,8.446,2.853,6.722,6.484
0.649,1.903,3.711,3.323,11.778,2.646,5.093,0.435,0.399,0.409,2.378,3.22,2.625,8.422,2.876,6.571,5.008
0.648,1.894,3.749,6.976,11.788,2.619,5.064,0.455,0.385,0.379,2.524,3.27,2.589,8.637,2.854,6.614,5.339
0.868,2.388,3.563,3.292,11.296,2.597,5.03,0.412,0.384,0.374,2.568,4.019,2.614,9.546,2.824,7.187,6.113
0.649,1.696,3.601,6.566,12.217,2.591,5.105,0.409,0.289,0.276,2.416,3.431,2.457,8.799,2.862,6.703,6.696
0.782,1.728,3.609,4.169,12.19,2.603,5.221,0.412,0.295,0.272,2.711,3.209,2.321,8.644,3.37,7.475,5.469
0.874,1.886,3.615,4.8,11.585,2.627,5.124,0.409,0.283,0.27,2.685,3.292,2.409,8.757,3.12,7.206,5.51
0.652,1.902,3.593,3.726,12.18,2.616,5.033,0.426,0.393,0.377,2.378,5.378,2.568,8.952,3.215,8.05,5.269
0.645,1.724,3.959,7.685,12.555,2.638,5.045,0.409,0.285,0.272,2.372,3.934,2.335,9.331,2.92,6.622,5.129
0.718,1.849,3.88,3.982,12.685,2.595,5.054,0.412,0.392,0.382,2.444,3.566,2.345,8.402,3.394,6.561,6.193
0.651,1.697,4.018,3.265,12.105,2.652,5.154,0.408,0.382,0.382,3.199,3.387,3.071,8.222,2.91,6.665,5.522
0.685,1.827,4.026,9.245,16.638,2.699,5.061,0.41,0.393,0.489,2.352,3.261,2.8,9.911,2.884,6.565,6.071
0.741,1.866,3.745,4.71,12.64,2.587,5.112,0.408,0.39,0.375,2.45,4.852,2.389,8.452,2.901,6.589,5.106
1.168,1.713,3.689,2.977,12.237,2.819,5.434,0.429,0.317,0.276,2.489,3.275,3.04,8.699,2.942,7.273,5.371
0.651,2.06,3.649,6.114,12.142,2.743,5.15,0.406,0.394,0.385,2.437,5.192,2.405,8.376,2.879,7.297,6.302
0.875,1.702,3.698,3.427,15.056,2.624,5.054,0.404,0.386,0.384,2.477,3.223,2.341,8.543,2.881,6.813,11.632
0.645,1.706,3.826,3.443,13.06,2.694,5.119,0.407,0.392,0.369,2.483,3.431,3.287,8.605,2.809,6.707,6.233
0.793,1.702,4.439,9.013,12.487,2.63,5.131,0.415,0.282,0.278,2.498,3.323,2.372,8.398,2.926,6.595,6.751
0.647,2.039,3.774,3.816,12.648,2.617,5.136,0.402,0.281,0.271,2.491,3.855,2.403,8.536,2.912,6.573,5.801
0.756,1.731,3.586,3.3,15.616,2.601,5.373,0.419,0.512,0.285,2.384,3.273,3.146,8.186,2.916,6.643,5.328
0.686,1.703,4.318,7.195,12.392,2.863,5.108,0.406,0.286,0.274,2.544,3.266,2.377,8.578,2.86,7.326,6.533
0.716,1.963,3.669,4.882,11.885,2.587,5.352,0.406,0.385,0.391,3.791,3.289,2.386,8.58,2.837,8.216,5.616
0.694,2.844,3.677,5.423,12.472,2.646,5.627,0.461,0.403,0.382,2.491,4.741,2.375,8.54,2.826,6.826,6.162
0.679,2.363,3.642,7.858,12.389,2.616,5.034,0.41,0.407,0.39,2.471,3.618,2.474,8.324,3.075,6.751,6.041
