native,quick,merge,bubble,insertion,selection,counting,counting2,heap,radix,gnome,shell,shaker,lodash
1.305,0.646,4.169,5.508,2.107,2.768,0.346,0.198,2.853,0.973,3.344,1.825,3.734,6.467
1.338,0.88,1.868,4.632,2.281,2.545,0.25,0.191,2.311,0.963,3.062,1.752,3.818,5.93
1.454,0.644,1.835,6.514,2.112,2.991,0.245,0.204,2.973,1.186,2.989,1.989,4.065,8.901
1.449,0.897,1.861,5.609,1.839,3.025,0.247,0.188,2.066,0.967,3.121,1.78,3.799,4.415
1.237,0.953,1.862,4.733,2.055,2.743,0.241,0.194,2.086,0.994,3.287,1.647,3.89,5.562
1.455,0.87,8.927,5.958,2.208,2.553,0.267,0.198,2.115,1.146,3.139,1.729,6.223,6.178
1.427,1.044,2.497,4.602,2.094,2.647,0.243,0.186,2.048,1.07,3.672,1.739,3.836,5.052
1.278,0.847,1.875,4.72,1.937,2.658,0.248,0.189,3.424,0.984,3.113,1.837,3.812,4.558
1.34,0.935,8.003,4.981,2.596,2.469,0.26,0.202,4.805,1.293,3.096,1.859,3.855,5.801
1.309,0.922,10.203,5.513,2.145,2.504,0.238,0.186,2.104,0.962,3.354,1.82,3.792,4.343
0.842,1.01,2.399,4.948,2.032,2.528,0.243,0.186,3.372,0.992,3.064,1.676,3.58,5.096
2.668,1.537,2.135,6.243,2.047,2.639,0.236,0.188,3.958,0.983,3.214,1.967,3.668,6.082
1.397,0.843,1.854,4.978,2.14,2.775,0.344,0.201,2.947,1.141,3.561,1.745,3.804,5.387
1.314,1.377,7.845,4.966,2.827,2.851,0.237,0.196,2.111,1.01,3.397,1.775,4.06,4.655
1.376,0.93,2.511,6.314,2.217,2.738,0.252,0.189,2.152,0.996,3.095,1.904,3.853,4.574
1.365,0.872,1.896,5.038,2.047,2.518,0.246,0.188,3.301,1.024,3.373,1.987,3.612,7.034
1.339,1.135,1.852,6.779,1.893,3.494,0.247,0.201,2.191,1.059,3.278,1.75,3.741,7.109
1.456,1.069,7.686,5.595,2.227,2.633,0.242,0.2,2.891,1.057,3.842,1.703,3.736,6.549
2.052,1.522,2.078,8.884,3.17,3.297,0.263,0.188,3.854,0.963,3.499,1.995,3.625,5.155
1.339,3.412,2.233,4.813,2.216,2.651,0.375,0.286,2.31,1.07,3.272,1.876,3.971,5.745
1.357,0.878,2.404,4.571,2.232,2.406,0.237,0.186,2.111,0.994,3.156,1.679,3.828,4.534
1.374,1.165,2.107,5.542,2.249,2.712,0.237,0.19,4.354,0.985,3.063,1.739,3.708,5.503
1.267,0.879,14.121,4.478,2.1,2.653,0.234,0.186,2.238,1.013,3.126,1.695,3.705,5.986
1.765,1.102,1.824,8.096,2.16,2.416,0.238,0.186,2.048,0.967,3.329,1.725,4.934,5.084
0.865,0.938,2.156,4.559,2.009,2.522,0.241,0.187,2.058,0.974,2.895,1.688,3.633,6.89
1.383,0.836,2.083,5.532,2.348,2.616,0.234,0.183,2.065,0.956,3.093,1.852,3.724,5.452
0.927,1.211,1.794,4.429,1.994,2.648,0.241,0.186,2.07,1.016,3.16,1.652,3.614,4.867
1.999,0.887,1.84,4.855,1.977,3.552,0.234,0.196,2.04,1.18,3.252,1.638,3.623,5.327
1.399,0.64,2.346,4.842,1.954,2.911,0.234,0.186,2.028,0.975,3.179,1.718,3.751,5.892
1.435,1.096,1.885,4.756,1.85,2.651,0.234,0.19,2.062,1.114,3.035,1.666,3.588,6.666
1.337,1.137,2.595,5.284,2.197,2.464,0.341,0.194,2.039,1.043,3.391,1.751,4.601,4.835
1.339,1.065,7.353,6.044,2.086,3.736,0.243,0.19,4.474,3.549,3.061,1.724,3.693,5.3
1.407,0.855,1.859,4.464,1.96,2.526,0.258,0.199,2.337,1.107,3.086,1.931,3.772,5.426
0.811,0.942,1.857,5.423,2.094,2.408,0.252,0.321,2.096,0.992,2.989,1.739,4.424,6.087
1.365,0.882,1.899,4.652,2.094,2.514,0.237,0.186,2.173,1.207,3.066,1.657,3.577,6.263
1.54,1.01,4.579,7.025,2.008,5.092,0.272,0.215,2.184,0.947,3.106,1.777,3.99,4.436
1.274,0.86,1.865,5.261,1.881,2.625,0.237,0.189,2.062,0.98,3.082,1.723,3.641,4.406
1.313,0.953,1.869,9.083,2.467,2.682,0.237,0.226,2.123,0.98,3.132,1.75,3.823,4.063
1.085,0.973,2.464,8.405,2.006,2.74,0.339,3.214,2.062,0.999,3.798,1.938,3.904,4.768
1.286,0.837,2.461,5.9,1.999,2.806,0.25,0.193,2.064,0.949,3.374,2.057,3.726,4.878
1.047,1.01,1.935,4.595,3.677,2.556,0.263,0.198,2.256,1.005,2.933,1.742,3.635,4.886
0.839,0.943,1.909,4.697,2.072,2.389,0.343,0.191,2.2,0.962,3.149,1.671,4.258,6.174
1.405,0.918,1.878,4.883,2.173,2.536,0.244,0.19,2.191,0.972,3.213,1.751,4.084,4.569
1.298,0.855,7.154,5.277,1.949,2.734,0.235,0.188,4.435,0.971,2.988,1.736,3.846,5.971
1.395,0.861,1.833,5.896,2.42,2.633,0.446,0.206,2.865,0.982,4.505,1.681,3.813,5.89
1.375,1.042,1.881,4.449,2.058,2.419,0.237,0.257,3.909,0.966,3.191,1.759,3.789,6.177
3.176,1.557,3.112,8.759,3.776,3.679,0.255,0.201,2.337,1.794,5.137,2.038,4.213,5.131
1.351,0.895,2.326,5.164,1.955,2.786,0.236,0.197,2.875,0.976,3.264,1.735,3.758,6.137
1.459,1.066,2.716,4.961,1.728,2.787,0.246,0.187,2.068,0.971,2.992,1.583,4.305,4.726
1.399,0.861,1.802,4.696,3.049,2.696,0.243,0.187,2.081,0.959,3.156,1.71,3.787,4.545
2.348,1.01,1.842,4.586,2.288,2.59,0.246,0.192,2.164,0.99,3.047,1.752,3.682,4.621
1.253,0.938,2.692,5.658,1.99,2.687,0.238,0.191,2.038,0.99,3.064,1.767,3.673,4.207
1.382,0.835,1.791,4.959,3.67,2.867,0.237,0.186,2.114,0.984,2.934,1.765,3.76,5.781
1.481,0.886,1.857,5.459,2.201,2.716,0.335,0.201,2.079,0.956,3.088,1.663,3.696,6.31
1.298,0.938,1.855,5.919,2.088,2.623,0.273,0.194,4.272,1.043,3.177,1.729,3.605,4.618
1.472,1.052,1.897,6.415,1.905,3.368,0.243,0.187,2.049,1.683,3.178,1.726,5.153,6.822
1.349,2.934,2.288,4.668,2.184,2.647,0.291,0.192,2.069,0.976,3.078,1.742,3.937,5.906
1.655,1.589,1.86,3.971,2.069,2.632,0.356,0.187,2.08,0.975,3.203,2.348,3.97,7.225
1.261,0.917,1.862,4.783,2.029,3.109,0.472,0.324,2.114,0.989,3.159,1.673,3.693,4.147
2.325,1.906,2.096,5.266,8.918,2.828,0.389,0.304,2.279,1.089,3.409,1.735,3.806,5.304
1.671,0.927,1.989,4.76,2.313,2.433,0.241,0.2,2.396,1.116,3.401,1.79,4.031,5.043
1.353,1.078,1.917,4.837,4.183,3.586,0.252,0.236,2.916,1.146,3.21,2.623,4.388,5.027
1.513,0.675,7.924,4.782,2.269,2.723,0.248,0.192,3.861,0.99,3.268,1.8,3.653,4.927
1.274,0.876,1.816,4.909,2.102,2.425,0.258,0.205,2.141,1.04,3.138,1.599,3.861,5.267
1.375,1.093,2.707,5.738,2.089,2.831,0.247,0.382,2.097,0.978,3.006,1.75,3.66,5.598
1.357,1.276,5.223,5.865,2.143,3.527,0.246,0.189,5.302,0.983,3.148,1.767,3.706,6.19
1.312,0.968,2.402,5.442,1.882,3.092,0.296,0.211,2.095,0.993,3.677,1.895,3.689,4.471
1.463,1.206,2.026,5.327,2.112,3.27,0.436,0.209,5.445,1.085,4.122,2.629,5.721,6.509
1.331,0.98,2.083,5.091,2.527,2.736,0.31,0.2,2.191,0.967,3.203,1.74,3.966,6.171
0.854,1.138,1.806,5.068,2.06,2.847,0.243,0.192,2.421,0.988,3.547,1.809,3.785,5.101
1.335,0.854,7.43,5.663,2.05,2.515,0.345,0.185,2.725,1.051,3.196,1.789,3.834,4.455
1.562,0.926,1.859,4.642,1.992,3.29,0.28,0.205,2.222,1.053,3.06,1.7,4.496,4.578
1.323,1.241,1.853,4.549,2.081,2.575,0.268,0.186,2.121,1.136,3.232,1.764,3.863,5.074
1.714,1.633,2.569,5.217,1.947,3.887,0.245,0.187,2.194,1.138,3.151,1.589,4.133,6.664
1.292,0.955,1.869,6.745,2.134,2.459,0.265,0.214,2.78,1.012,3.074,1.752,3.64,5.796
1.659,1.03,2.65,6.289,1.955,3.021,0.24,0.187,2.104,1.019,3.583,2.071,4.053,5.444
1.349,0.685,1.884,4.806,1.994,2.714,0.25,0.185,2.127,0.973,3.171,1.573,3.854,5.182
1.383,0.847,1.838,4.961,2.95,2.641,0.252,3.798,2.083,0.961,3.046,1.994,4.438,4.795
1.302,0.867,1.802,4.767,2.057,2.736,0.238,0.184,2.119,0.973,3.011,1.639,3.927,4.604
1.404,0.884,1.831,5.1,1.883,2.519,0.242,0.186,2.054,0.983,3.489,1.709,3.634,5.715
1.257,1.292,6.898,5.215,2.032,2.441,0.244,0.191,2.243,3.973,3.045,1.715,3.646,5.042
1.452,1.629,2.428,5.389,3.086,2.728,0.509,0.202,2.236,1.041,3.212,1.606,3.707,4.634
1.37,1.076,2.235,5.175,2.026,2.741,0.242,0.192,2.11,0.98,3.001,1.762,4.115,6.341
1.506,1.812,1.874,5.052,2,2.511,0.24,0.199,2.418,0.964,3.202,1.876,4.071,5.491
