native,quick,bucket,merge,bubble,insertion,selection,counting,counting1,counting2,counting3,fastsort,heap,radix,gnome,shell,shaker,lodash
0.028,0.062,0.128,0.138,0.703,0.171,0.262,0.033,0.028,0.035,0.025,0.107,0.218,0.086,0.525,0.07,0.328,0.36
0.029,0.062,0.133,0.155,0.745,0.177,0.262,0.035,0.031,0.075,0.028,0.105,0.205,0.088,0.541,0.07,0.29,0.309
0.032,0.063,0.127,0.163,0.906,0.165,0.32,0.033,0.028,0.032,0.027,0.105,0.222,0.087,0.686,0.071,0.292,0.348
0.026,0.063,0.124,0.135,0.657,0.168,0.264,0.032,0.025,0.03,0.024,0.106,0.221,0.117,0.513,0.07,0.292,0.308
0.027,0.066,0.129,0.148,0.715,0.183,0.264,0.032,0.029,0.031,0.024,0.116,0.229,0.088,0.55,0.07,0.295,0.326
0.027,0.061,0.123,0.137,0.679,0.17,0.28,0.035,0.034,0.038,0.031,0.113,0.265,0.086,0.681,0.071,0.291,0.31
0.03,0.067,0.128,0.157,0.648,0.157,0.262,0.034,0.027,0.03,0.024,0.147,0.259,0.09,0.486,0.072,0.299,0.311
0.028,0.061,0.138,0.136,0.791,0.166,0.262,0.032,0.031,0.031,0.026,0.104,0.221,0.087,0.488,0.07,0.293,0.339
0.028,0.063,0.127,0.147,0.73,0.18,0.266,0.036,0.026,0.032,0.027,0.106,0.22,0.091,0.534,0.072,0.294,0.31
0.027,0.069,0.397,0.144,0.668,0.177,0.282,0.045,0.031,0.034,0.029,0.121,0.261,0.087,0.5,0.073,0.317,0.345
0.027,0.061,0.122,0.136,0.861,0.172,0.264,0.036,0.025,0.029,0.024,0.103,0.219,0.088,1.193,0.076,0.287,0.299
0.028,0.063,0.135,0.226,0.641,0.163,0.263,0.034,0.031,0.045,0.039,0.117,0.232,0.09,0.496,0.069,0.292,0.297
0.027,0.066,0.121,0.136,0.664,0.159,0.263,0.035,0.028,0.03,0.024,0.106,0.22,0.091,0.493,0.073,0.293,0.295
0.028,0.062,0.127,0.153,0.81,0.16,0.263,0.034,0.031,0.032,0.026,0.105,0.251,0.086,0.639,0.072,0.285,0.435
0.029,0.069,0.158,0.16,0.772,0.186,0.266,0.032,0.029,0.032,0.027,0.106,0.247,0.757,0.815,0.088,0.291,0.309
0.027,0.064,0.127,0.14,1.198,0.183,0.281,0.035,0.034,0.031,0.027,0.106,0.226,0.088,0.53,0.07,0.292,0.313
0.027,0.062,0.128,0.156,0.697,0.179,0.463,0.038,0.031,0.029,0.025,0.116,0.222,0.086,1.108,0.083,0.296,0.305
0.032,0.063,0.127,0.15,0.738,0.181,0.263,0.036,0.027,0.031,0.026,0.104,0.22,0.128,0.711,0.107,0.288,0.303
0.028,0.065,0.129,0.157,0.715,0.165,0.262,0.034,0.025,0.032,0.026,0.109,0.219,0.135,0.657,0.071,0.288,0.313
0.028,0.063,0.127,0.177,0.986,0.175,0.266,0.043,0.673,0.051,0.027,0.112,0.224,0.087,0.527,0.072,0.292,0.3
0.026,0.064,0.125,0.135,0.721,0.159,0.263,0.035,0.035,0.031,0.034,0.116,0.222,0.09,0.649,0.071,0.292,0.321
0.029,0.061,0.126,0.152,0.777,0.184,0.268,0.032,0.026,0.027,0.024,0.103,0.275,0.088,0.564,0.077,0.292,0.908
0.026,0.063,0.121,0.137,0.707,0.17,0.267,0.036,0.036,0.029,0.027,0.106,0.226,0.118,0.496,0.075,0.292,0.306
0.029,0.067,0.136,0.165,0.848,0.167,0.264,0.035,0.029,0.032,0.028,0.119,0.22,0.093,0.495,0.077,0.294,0.376
0.027,0.063,0.124,0.139,0.711,0.16,0.263,0.041,0.025,0.032,0.027,0.109,0.22,0.091,0.74,0.068,0.292,0.304
0.03,0.068,0.135,0.152,2.185,0.187,0.305,0.036,0.027,0.029,0.024,0.107,0.227,0.088,0.597,0.075,0.347,0.311
0.027,0.063,0.127,0.154,0.696,0.176,0.552,0.044,0.03,0.036,0.027,0.105,0.256,0.091,0.538,0.075,0.296,0.306
0.026,0.063,0.121,0.136,0.583,0.158,0.307,0.047,0.042,0.036,0.028,0.108,0.203,0.088,0.48,0.069,2.895,0.321
0.028,0.062,0.128,0.153,0.73,0.171,0.263,0.043,0.025,0.03,0.025,0.105,0.22,0.089,0.523,0.5,0.349,0.294
0.025,0.062,0.12,0.137,0.714,0.164,0.358,0.043,0.056,0.03,0.024,0.11,0.24,0.089,0.66,0.071,0.284,0.301
0.029,0.066,0.139,0.179,1.131,0.171,0.264,0.039,0.03,0.033,0.028,0.117,0.225,0.086,1.196,0.074,0.328,0.305
0.026,0.065,0.123,0.245,0.63,0.165,0.271,0.036,0.029,0.032,0.027,0.105,0.22,0.086,0.509,0.071,0.291,0.305
0.03,0.061,0.127,0.141,0.693,0.154,0.277,0.038,0.025,0.029,0.024,0.103,0.225,0.088,0.599,0.074,0.292,0.302
0.029,0.065,0.128,0.15,0.629,0.233,0.266,0.033,0.028,0.03,0.023,0.105,0.22,0.086,0.521,0.07,0.292,0.347
0.026,0.06,0.12,0.136,0.676,0.166,0.282,0.033,0.026,0.032,0.031,0.105,0.221,0.086,0.478,0.069,0.291,0.344
0.027,0.063,0.128,0.177,0.704,0.15,0.263,0.036,0.033,0.032,0.026,0.107,0.222,0.087,0.62,0.073,0.287,0.3
0.026,0.061,0.121,0.137,0.691,0.177,0.263,0.035,0.029,0.032,0.025,0.11,0.25,0.086,0.696,0.074,0.293,0.3
0.028,0.064,0.129,0.148,0.608,0.153,0.262,0.035,0.032,0.032,0.026,0.205,0.224,0.088,0.476,0.07,0.293,0.306
0.026,0.063,0.12,0.135,0.579,0.158,0.277,0.044,0.03,0.032,0.033,0.105,0.225,0.085,0.699,0.073,0.293,0.313
0.028,0.079,0.137,0.163,0.87,0.171,0.28,0.037,0.027,0.033,0.039,0.122,0.23,0.089,0.581,0.079,0.349,0.619
0.027,0.065,0.127,0.149,0.682,0.161,0.267,0.041,0.028,0.067,0.028,0.111,0.218,0.086,0.657,0.071,0.287,0.304
0.026,0.061,0.125,0.136,0.709,0.146,0.262,0.033,0.031,0.034,0.025,0.105,0.226,0.086,0.595,0.074,0.293,0.29
0.029,0.064,0.13,0.146,0.738,0.174,0.263,0.032,0.025,0.033,0.024,0.107,0.236,0.087,0.738,0.074,0.29,0.342
0.026,0.061,0.12,0.136,0.732,0.163,0.273,0.036,0.025,0.032,0.027,0.104,0.223,0.087,0.494,0.075,0.299,0.304
0.029,0.068,0.132,0.162,0.91,0.198,0.281,0.039,0.034,0.075,0.126,0.115,0.224,0.091,0.517,0.083,0.292,0.312
0.027,0.063,0.122,0.138,0.613,0.168,0.262,0.034,0.029,0.034,0.033,0.111,0.22,0.09,0.495,0.07,1.962,0.303
0.026,0.062,0.127,0.145,0.691,0.208,0.267,0.035,0.026,0.032,0.027,0.105,0.219,0.085,2.49,0.072,0.286,0.302
0.029,0.062,0.127,0.162,0.792,0.189,0.277,0.039,0.026,0.035,0.027,0.112,0.217,0.086,0.508,0.077,0.292,0.306
0.026,0.064,0.125,0.135,0.711,0.179,0.409,0.033,0.027,0.031,0.04,0.108,0.216,0.1,0.543,0.069,0.292,0.397
0.028,0.061,0.128,0.152,0.707,0.2,0.264,0.033,0.026,0.032,0.025,0.104,0.204,0.09,0.537,0.073,0.467,0.362
0.027,0.064,0.127,0.149,0.753,0.181,0.279,0.034,0.028,0.035,0.025,0.119,0.224,0.086,0.508,0.07,0.291,0.348
0.027,0.061,0.128,0.143,0.697,0.176,0.426,0.034,0.028,0.034,0.026,0.101,0.229,0.085,0.55,0.069,0.298,0.305
0.027,0.063,0.136,0.134,0.707,0.174,0.275,0.031,0.027,0.03,0.028,0.103,0.224,0.084,1.108,0.072,0.289,0.299
0.025,0.062,0.125,0.148,0.738,0.179,0.262,0.035,0.031,0.033,0.026,0.105,0.204,0.088,1.161,0.075,0.284,0.413
0.092,0.065,0.134,0.159,0.792,0.201,0.291,0.038,0.029,0.033,0.029,0.109,0.219,0.089,0.512,0.068,0.292,0.318
0.026,0.06,0.122,0.136,0.709,0.171,0.268,0.031,0.028,0.03,0.026,0.106,0.215,0.089,0.691,0.07,0.289,0.34
0.027,0.064,0.128,0.15,0.783,0.183,0.268,0.034,0.023,0.03,0.025,0.105,0.202,0.09,0.555,0.078,0.279,0.412
0.025,0.062,0.119,0.135,0.715,0.147,0.262,0.036,0.027,0.03,0.025,0.104,0.224,0.085,1.379,0.072,0.285,0.308
0.027,0.061,0.127,0.147,0.746,0.187,0.262,0.041,0.028,0.031,0.03,0.122,0.22,0.086,0.569,0.071,0.296,0.31
0.028,0.065,0.134,0.211,0.87,0.168,0.278,0.037,0.024,0.117,0.027,0.104,0.217,0.085,0.505,0.074,0.293,0.302
0.053,0.061,0.126,0.149,0.669,0.173,0.283,0.031,0.024,0.03,0.024,0.107,0.219,0.087,0.529,0.075,0.291,0.292
0.026,0.06,0.127,0.15,0.723,0.184,0.272,0.034,0.031,0.037,0.026,0.104,0.217,0.086,1.119,0.069,0.285,0.309
0.026,0.061,0.127,0.138,0.732,0.184,0.283,0.035,0.029,0.031,0.025,0.104,0.252,0.085,0.691,0.07,0.291,0.328
0.027,0.065,0.13,0.148,0.909,0.175,0.261,0.034,0.035,0.029,0.025,0.11,0.223,0.085,0.562,0.07,0.294,0.302
0.025,0.063,0.12,0.135,0.672,0.146,0.262,0.04,0.027,0.03,0.027,0.102,0.217,0.086,0.605,0.066,0.328,0.307
0.025,0.061,0.128,0.169,0.697,0.174,0.263,0.031,0.026,0.032,0.026,0.101,0.225,0.084,0.697,0.069,0.283,0.336
0.026,0.063,0.127,0.138,0.706,0.179,0.289,0.034,0.025,0.028,0.024,0.165,0.217,0.094,0.686,0.069,0.292,0.307
0.026,0.065,0.122,0.141,0.763,0.354,0.283,0.057,0.025,0.028,0.023,0.105,0.218,0.092,0.573,0.07,0.297,0.307
0.026,0.095,0.127,0.151,0.67,0.162,0.262,0.037,0.033,0.031,0.025,0.103,0.204,0.088,1.09,0.067,0.289,0.311
0.026,0.079,0.121,0.135,0.67,0.154,0.261,0.037,0.024,0.028,0.023,0.103,0.221,0.087,1.046,0.07,0.291,0.306
0.027,0.06,0.127,0.151,0.641,0.167,0.262,0.031,0.025,0.032,0.025,0.107,0.204,0.088,0.522,0.073,0.283,0.308
0.029,0.07,0.142,0.136,0.602,0.154,0.263,0.041,0.028,0.031,0.026,0.104,0.293,0.089,0.737,0.071,0.294,0.317
0.026,0.064,0.127,0.151,0.697,0.163,0.262,0.032,0.027,0.03,0.025,0.105,0.222,0.086,1.629,0.074,0.303,0.407
0.029,0.065,0.129,0.151,0.722,0.163,0.263,0.033,0.025,0.029,0.023,0.105,0.225,0.098,0.486,0.068,0.294,0.353
0.025,0.062,0.127,0.18,0.664,0.157,0.526,0.032,0.067,0.034,0.026,0.105,0.235,0.085,0.708,0.068,0.29,0.306
0.137,0.099,0.243,0.152,0.721,0.157,0.285,0.041,0.024,0.031,0.048,0.106,0.221,0.085,1.125,0.079,0.286,0.299
0.026,0.062,0.12,0.133,0.582,0.156,0.282,0.041,0.024,0.027,0.023,0.103,0.428,0.118,0.334,0.074,0.285,0.3
