native,quick,bucket,merge,bubble,insertion,selection,fastsort,countingObj,gnome,shaker,lodash
1.734,3.934,5.678,8.623,270.752,63.647,119.809,3.249,1.506,139.73,109.001,8.771
1.727,4.953,15.341,13.18,285.87,63.598,116.243,3.047,1.423,150.094,111.602,9.583
2.025,5.658,6.669,9.113,320.587,70.284,121.702,3.277,1.487,168.342,127.661,10.362
1.738,3.811,7.825,7.007,272.003,79.833,113.561,2.966,1.591,144.343,112.254,10.339
1.785,3.884,8.212,9.197,287.782,66.611,150.067,3.096,1.377,144.758,109.801,8.498
1.821,3.546,8.443,9.107,280.596,63.533,117.269,3.567,1.732,152.872,110.703,8.249
1.773,3.471,8.115,10.37,288.413,67.97,109.948,3.14,1.379,142.081,112.805,9.563

1.828,3.647,6.387,43.827,294.982,98.851,113.704,3.195,1.386,155.843,111.87,8.834

2.756,16.444
1.838,3.963,5.744,44.104,288.089,72.029,133.431,7.468,1.469,188.273,116.137,12.924
1.958,8.602
