native,quick,bucket,merge,bubble,insertion,selection,countingObj,gnome,fastsort,shaker,lodash
10.756,6.333,8.227,15.856,1459.619,285.985,439.942,5.063,588.454,7.607,456.163,15.423
3.147,6.615,6.548,11.165,1131.378,261.385,425.985,4.64,597.323,5.276,430.818,13.625
3.035,4.96,7.917,12.867,1134.533,253.353,425.3,4.743,583.917,5.242,433.036,13.419
3.199,10.1,6.785,11.314,1123.319,262.269,452.497,4.987,590.557,5.326,439.927,15.597
3.245,8.395,7.253,11.85,1142.103,255.459,444.988,5.028,559.511,5.278,439.338,13.42
3.076,5.11,6.788,12.105,1131.023,256.821,431.821,4.963,595.023,5.357,450.222,13.283
4.086,8.503,7.361,11.292,1134.448,277.101,442.568,4.853,604.578,6.224,464.253,13.869
3.18,6.789,6.656,10.343,1135.349,268.049,443.523,5.827,591.139,5.622,460.797,13.474
3.279,5.57,6.948,10.309,1148.556,260.096,443.794,4.911,583.103,5.354,436.969,13.689
