native,quick,bucket,merge,bubble,insertion,selection,countingObj,gnome,fastsort,shaker,lodash
0.381,1.084,4.028,1.897,12.778,4.799,6.656,0.315,7.905,1.231,7.492,2.914
0.363,1.007,3.988,5.993,12.891,5.641,8.413,0.247,7.637,1.202,7.434,2.822
0.368,1.259,3.984,6.516,15.135,5.359,6.877,0.256,7.883,1.167,7.486,2.63
0.364,1.04,4.2,6.544,13.026,4.782,8.717,0.286,8.124,1.459,7.425,2.846
0.366,1.14,3.916,1.841,12.842,4.782,7.475,0.251,7.675,1.154,7.433,2.926
0.444,1.155,4.125,2.123,13.187,4.824,7.692,0.258,7.609,1.287,7.653,2.936
0.369,1.128,4.148,1.781,13.021,4.746,9.787,0.261,7.692,1.146,8.414,2.824
0.407,1.59,7.377,4.048,13.064,5.274,8.03,0.242,7.677,1.131,7.266,2.828
0.364,1.25,3.927,1.699,13.474,4.972,7.276,0.292,8.536,1.143,7.328,2.943
0.386,1.054,6.89,1.702,12.966,4.62,6.442,0.243,8.145,1.135,7.679,4.249
0.364,1.09,3.98,1.77,13.105,4.807,7.492,0.246,7.627,1.179,7.566,2.889
0.364,1.377,4.019,1.701,19.133,9.812,6.762,0.245,7.732,1.146,8.21,2.905
0.369,1.793,5.246,1.695,13.118,5.502,7.472,0.255,7.998,1.194,7.562,2.754
0.366,1.301,4.143,1.906,13.249,4.873,6.814,0.273,7.876,1.265,13.084,2.873
0.364,1.034,3.967,2.626,13.707,4.867,8.803,0.248,8.245,1.2,7.48,2.891
0.369,1.381,4.655,1.733,14.61,5.073,6.931,0.406,7.786,1.382,8.878,2.89
0.365,1.418,4.245,1.703,13.644,4.927,8.61,0.256,7.861,1.231,8.405,2.832
0.366,1.641,4.786,1.961,12.876,4.669,6.571,0.255,8.172,1.793,7.581,3.544
0.365,1.163,4.113,1.73,13.299,5.09,6.842,0.246,7.847,1.144,9.815,3.688
0.365,1.042,4.004,1.799,12.775,5.196,6.969,0.258,12.104,1.166,7.634,3.549
0.515,1.399,4.024,1.719,14.174,8.113,9.133,0.282,8.288,1.296,7.35,3.643
0.427,2.767,5.851,1.833,13.028,4.585,7.08,0.286,8.177,1.747,8.954,3.068
0.369,1.223,8.39,1.727,12.919,5.038,12.188,0.248,8.174,1.148,7.419,2.786
0.427,2.748,5.216,4.016,12.736,5.034,6.511,0.253,7.934,1.158,7.539,2.697
0.459,1.556,4.294,5.976,14.592,5.611,7.444,0.266,8.249,1.163,7.759,2.944
0.495,1.006,4.135,6.443,16.125,6.073,6.911,0.249,8.35,1.152,7.741,3.952
0.37,1.095,4.063,1.703,13.365,4.838,6.791,0.268,8.32,1.291,8.664,2.843
0.418,1.262,4.277,2.522,13.25,4.906,7.591,0.271,8.628,1.172,11.906,2.913
0.385,1.106,4.32,1.926,14.133,5.093,6.874,0.271,8.496,1.335,8.523,3.042
0.437,1.373,4.369,1.684,13.733,4.837,6.888,0.287,7.954,1.108,7.849,2.767
0.954,2.51,4.868,38.046,15.742,4.959,7.449,0.37,8.474,1.181,8.8,3.198
0.37,1.004,3.929,1.979,14.971,5.123,7.01,0.269,8.694,1.61,9.065,2.813
0.374,1.398,3.866,1.82,12.988,5.9,6.782,0.285,7.957,1.147,7.491,2.879
0.462,3.697,4.068,1.75,13.583,4.346,6.921,0.279,7.957,1.222,9.146,3.457
0.426,1.482,4.424,1.841,18.554,6.648,7.579,0.54,8.118,1.19,9.305,2.86
0.365,1.026,3.84,2.003,15.469,5.557,6.894,0.286,8.369,1.337,8.538,3.411
