native,quick,bucket,merge,bubble,insertion,selection,fastsort,countingObj,gnome,shaker,lodash
0.697,0.738,0.596,0.818,51.677,9.321,7.654,1.934,0.5,6.023,5.701,2.324
0.548,0.523,0.613,1.022,6.093,3.784,4.35,1.19,0.189,6.512,6.814,2.999
0.569,1.102,1.429,1.091,5.764,3.204,3.822,0.822,0.181,5.343,5.308,5.134
1.146,0.973,0.584,0.824,5.615,3.452,3.87,1.066,0.303,5.526,5.517,3.231
0.458,0.547,1.46,0.896,6.256,4.036,3.893,1.056,0.164,5.341,5.266,2.094
0.493,0.806,1.567,1.158,5.533,3.443,3.917,0.627,0.175,5.703,6.604,1.676
0.57,1.015,0.68,0.939,5.607,3.467,4.223,0.822,0.189,5.501,5.536,3.616
0.788,0.991,1.839,0.935,8.429,4.273,4.897,1.001,0.165,5.191,5.266,1.864
0.742,0.554,0.926,0.932,7.916,3.648,3.973,0.972,0.169,5.381,5.255,2.215
0.486,1.119,0.627,0.91,12.621,4.665,4.119,1.47,0.175,5.308,5.424,2.704
0.448,0.541,0.911,0.994,5.528,4.524,5.933,1.285,0.171,5.352,5.335,1.882
0.495,0.521,0.958,0.897,6.117,3.499,4.499,0.949,0.164,5.986,6.008,3.724
0.472,0.594,0.821,0.986,6.172,3.36,4.486,1.118,0.172,5.942,5.493,4.158
0.554,1,0.977,1.493,5.662,4.133,4.116,1.312,0.162,7.765,6.188,2.395
0.485,1.104,0.921,0.971,6.981,3.569,4.518,0.988,0.169,6.197,6.013,3.493
0.45,0.557,0.616,0.879,8.23,6.308,6.625,0.752,0.207,5.719,6.556,4.273
0.748,1.715,1.544,1.259,6.552,4.31,4.562,1.605,0.173,6.193,6.469,2.564
0.708,0.527,0.929,0.863,5.617,3.334,4.07,1.402,0.186,5.766,5.36,2.488
0.67,0.56,0.997,1.121,6.658,4.235,5.026,0.873,0.173,5.729,7.664,1.732
0.437,0.634,1.433,1.264,5.911,3.805,4.209,0.943,0.164,5.966,6.037,3.972
0.495,0.835,0.579,0.888,6.433,7.939,4.259,1.536,0.166,5.829,7.156,3.144
0.533,1.129,0.843,1.21,5.949,3.701,4.18,0.768,0.164,5.975,6.142,2.245
0.447,0.73,1.636,1.239,7.612,3.486,5.864,1.19,0.167,8.384,7.605,2.103
0.559,0.546,0.626,0.893,6.135,4.64,5.06,1.929,0.302,10.013,6.402,4.129
0.448,0.793,0.603,0.897,6.751,3.332,5.587,1.431,0.166,6.458,6.329,2.603
1.223,0.53,1.779,3.114,8.93,4.444,5.855,1.198,0.177,6.458,6.582,2.606
0.504,0.818,1.069,1,8.694,5.243,4.871,0.959,0.517,5.58,5.918,2.636
0.434,0.517,0.751,0.861,6.794,4.287,7.516,1.329,0.287,7.764,7.554,4.837
0.563,0.522,0.997,1.209,6.154,3.271,5.424,0.489,0.172,5.383,5.746,2.515
0.432,0.77,0.842,2.343,14.172,5.06,4.164,1.866,0.31,6.996,7.168,2.398
0.444,0.531,0.591,0.889,6.508,3.384,4.201,0.792,0.166,5.383,6.006,2.634
0.521,0.532,0.963,1.107,5.929,3.262,6.382,0.996,0.188,6.333,6.806,1.922
0.445,0.8,0.586,0.858,6.793,3.722,3.83,2.703,0.167,5.704,6.097,1.828
0.475,0.643,0.642,0.927,5.484,3.32,3.839,1.39,0.162,5.256,5.651,3.217
