native,quick,merge,bubble,insertion,selection,countingObj,gnome,shaker,lodash
10.884,6.196,11.781,1096.444,266.359,419.061,4.776,553.518,412.521,19.592
9.157,6.088,11.386,1103.437,266.03,423.209,4.822,562.281,416.558,18.375
9.405,6.534,11.768,1095.781,252.55,413.722,5.64,548.571,462.243,16.844
8.863,7.029,11.237,1139.509,260.501,425.452,5.651,551.517,410.448,18.197
9.272,6.029,11.873,1127.267,249.602,406.801,4.968,552.714,413.442,15.461
9.087,6.392,11.086,1085.999,247.338,416.237,4.967,556.561,417.302,15.284
9.873,6.397,12.138,1111.448,249.923,414.176,5.359,545.329,417.56,16.516
9.232,6.315,11.089,1091.733,251.3,409.058,5.647,559.776,408.1,16.012
9.026,6.427,11.511,1461.022,265.089,421.829,5.33,552.65,413.403,16.065
9.455,6.377,11.387,1101.673,261.945,424.818,4.958,553.797,408.618,18.808
9.048,6.208,11.079,1099.007,250.203,423.31,4.993,558.595,408.283,17.319
8.777,6.305,10.847,1168.69,266.437,412.374,4.978,547.011,409.711,18.777
9.193,6.668,11.048,1096.108,265.546,408.705,4.851,552.384,812.395,19.398
9.274,5.257,12.081,1108.796,261.053,428.047,5.634,587.67,664.133,16.887
9.897,6.673,11.485,1117.075,260.115,427.237,4.847,555.935,410.27,15.731
10.021,6.934,13.775,1100.861,266.621,420.405,4.894,555.386,415.246,16.982
10.329,6.103,13.176,1104.771,261.875,410.643,4.774,555.476,410,17.836
8.775,6.473,12.74,1100.002,248.164,411.729,4.803,553.059,409.14,17.276
10.213,6.409,11.39,1105.638,247.533,409.459,5.902,553.575,413.555,19.272
8.836,5.349,11.365,1467.778,260.846,413.095,4.792,555.135,419.694,16.933
8.904,6.945,13.362,1100.632,251.643,419.165,4.865,571.19,420.726,15.843
9.944,5.094,12.151,1110.476,265.85,443.133,6.57,1002.75,435.409,18.631
10.787,5.739,12.553,1196.606,261.544,526.072,7.432,685.278,489.106,22.318
8.964,5.233,10.924,1155.496,268.247,469.353,4.843,596.166,425.27,15.982
12.437,8.732,12.171,1399.594,557.661,461.07,7.315,571.858,467.298,16.333
12.083,6.744,12.004,1123.657,267.782,426.78,5.47,574.225,448.819,18.472
20.843,8.179,43.237,1254.665,274.476,441.738,4.843,554.917,410.54,16.05
12.145,7.726,10.841,1185.089,248.155,417.491,5.038,557.39,411.335,17.595
13.53,9.911,12.034,1132.599,267.307,435.702,5.146,549.751,431.215,16.35
11.089,7.833,20.85,1210.513,269.427,413.988,4.803,551.421,415.127,18.214
8.909,9.781,12.846,1241.502,251.692,416.428,6.469,557.913,419.391,15.413
