native,quick,bucket,merge,bubble,insertion,selection,fastsort,countingObj,gnome,shaker,lodash
0.028,0.085,0.134,0.139,2.162,0.234,0.304,0.094,0.061,0.644,0.329,0.27
0.031,0.09,0.144,0.158,1.036,0.192,0.31,0.1,0.074,0.539,0.329,0.309
0.03,0.091,0.131,0.138,2.219,0.18,0.374,0.094,0.061,0.593,0.325,0.268
0.029,0.093,0.143,0.157,0.681,0.176,0.374,0.116,0.061,0.535,0.338,0.265
0.029,0.085,0.139,0.151,2.272,0.185,0.313,0.094,0.064,0.53,0.328,0.271
0.028,0.09,0.138,0.139,0.965,1.018,0.346,0.093,0.063,0.549,0.635,0.274
0.028,0.087,0.138,0.159,2.437,0.183,0.307,0.093,0.06,2.044,0.314,0.253
0.028,0.086,0.131,0.138,2.254,0.199,0.36,0.092,0.063,2.21,0.328,0.261
0.031,0.096,0.15,0.167,3.088,0.204,0.309,0.1,0.066,0.504,0.332,0.263
0.029,0.09,0.131,0.142,0.65,0.171,0.312,0.092,0.057,0.475,0.333,0.26
0.031,0.097,0.146,0.147,2.269,0.204,0.327,0.093,0.059,0.572,0.322,0.269
0.031,0.089,0.141,0.154,0.729,0.171,0.311,0.093,0.063,0.482,0.329,0.273
0.029,0.087,0.134,0.141,2.216,0.205,0.319,0.093,0.058,0.576,0.337,0.266
0.029,0.086,0.139,0.149,2.238,0.192,0.305,0.094,0.065,0.686,0.321,0.447
0.029,0.086,0.132,0.14,2.181,0.32,0.306,0.099,0.061,0.5,0.32,0.268
0.028,0.089,0.138,0.155,0.754,0.242,0.302,0.096,0.063,0.508,0.33,0.265
0.028,0.087,0.131,0.137,0.668,0.175,0.318,0.094,0.058,0.51,0.326,0.269
0.031,0.187,0.15,0.176,0.892,0.196,0.358,0.097,0.428,0.526,0.59,0.584
0.028,0.088,0.141,0.155,2.136,0.196,0.304,0.094,0.055,2.22,0.325,0.264
0.028,0.088,0.131,0.139,2.117,0.19,0.302,0.129,0.063,0.538,0.328,0.258
0.031,0.088,0.135,0.152,2.208,0.205,0.304,0.093,0.055,0.533,0.431,0.254
0.028,0.089,0.131,0.139,2.368,0.205,0.305,0.093,0.088,1.03,0.33,0.314
0.03,0.113,0.149,0.166,2.739,0.216,0.327,0.099,0.074,0.624,0.334,0.308
0.028,0.088,0.131,0.139,1.19,0.193,0.302,0.099,0.065,0.543,0.339,0.266
0.03,0.085,0.138,0.157,2.227,0.18,0.302,0.094,0.064,0.397,0.32,0.275
0.029,0.095,0.971,0.161,0.716,0.193,0.318,0.099,0.06,0.514,0.326,0.267
0.029,0.087,0.138,0.137,2.226,0.168,0.381,0.101,0.057,0.493,0.329,0.272
0.028,0.086,0.137,0.149,2.195,0.224,0.302,0.092,0.057,0.553,0.355,0.316
0.029,0.088,0.138,0.147,2.321,0.213,0.321,0.108,0.068,0.618,0.329,0.268
0.027,0.088,0.138,0.153,2.127,0.188,0.318,0.093,0.054,0.533,0.334,0.266
0.027,0.087,0.138,0.16,2.135,0.163,0.298,0.091,0.053,0.358,0.321,0.264
0.027,0.092,0.139,0.152,2.953,0.192,0.302,0.091,0.06,0.413,0.325,0.261
0.074,0.092,0.145,0.163,0.784,0.239,0.348,0.1,0.107,0.552,0.864,0.39
0.029,0.092,0.131,0.137,2.124,0.19,0.311,0.094,0.057,0.641,0.32,0.269
0.028,0.086,0.162,0.158,2.462,0.19,0.302,0.092,0.057,0.479,0.389,0.271
0.027,0.084,0.131,0.137,2.259,0.175,0.308,0.092,0.071,0.379,0.324,0.268
0.027,0.088,0.137,0.153,2.32,0.21,0.302,0.092,0.055,0.602,0.33,0.273
0.029,0.094,0.146,0.154,0.871,0.177,0.343,0.092,0.057,0.512,0.327,0.268
0.042,0.087,0.138,0.142,0.733,0.169,0.324,0.092,0.062,0.492,0.328,0.253
0.027,0.086,0.208,0.142,2.228,0.216,0.31,0.092,0.059,0.456,0.32,0.267
0.027,0.085,0.134,0.14,2.308,0.182,0.303,0.091,0.063,0.51,0.417,0.268
0.028,0.093,0.138,0.193,0.762,0.188,0.302,0.098,0.056,0.538,0.327,0.269
0.027,0.138,0.134,0.137,2.237,0.189,0.301,0.092,0.057,0.55,0.326,0.267
0.028,0.085,0.143,0.148,2.137,0.193,0.303,0.091,0.077,0.532,0.322,0.262
0.029,0.086,0.137,0.14,2.138,0.28,0.312,0.159,0.066,0.543,0.323,0.268
0.028,0.087,0.141,0.148,2.207,0.202,0.432,0.092,0.058,0.538,0.331,0.28
0.028,0.087,0.141,0.139,2.213,0.196,0.301,0.092,0.059,0.423,0.321,0.267
0.027,0.086,0.134,0.138,2.493,0.203,0.301,0.092,0.057,0.431,0.324,0.269
0.028,0.084,0.138,0.155,2.402,0.179,0.303,0.093,0.053,0.514,0.315,0.271
0.059,0.107,0.139,0.137,0.811,0.194,0.301,0.092,0.06,0.641,0.329,0.269
0.028,0.104,0.138,0.154,2.254,0.185,0.306,0.092,0.074,0.439,0.355,0.306
0.027,0.084,0.14,8.8,2.192,0.159,0.304,0.094,0.057,0.451,0.328,0.269
0.029,0.118,0.137,0.321,0.786,0.207,0.306,0.091,0.055,0.685,0.326,0.864
0.038,0.089,0.195,0.154,2.2,0.176,0.321,0.092,0.056,0.372,0.331,0.261
0.029,0.087,0.13,0.229,0.783,0.209,0.311,0.093,0.06,0.446,0.462,0.264
