native,quick,bucket,merge,bubble,insertion,selection,fastsort,countingObj,gnome,shaker,lodash
0.211,0.587,0.821,0.765,5.839,3.685,3.183,1.164,0.223,3.637,4.202,2.631
0.165,0.464,0.555,0.753,6.177,3.262,3.226,1.645,0.156,3.789,5.054,2.327
0.166,0.486,0.635,0.765,5.151,3.085,3.275,0.872,0.157,3.724,4.223,2.566
0.165,0.484,0.788,0.764,5.87,4.055,3.712,1.243,0.151,4.342,4.573,3.779
0.165,0.486,0.548,0.755,12.053,2.771,3.337,1.294,0.153,5.511,4.357,3.35
0.174,0.667,0.58,0.925,6.552,3.215,3.286,1.132,0.17,4.172,4.504,2.334
0.17,0.609,0.583,0.783,5.362,2.759,3.729,1.265,0.153,3.965,4.375,1.925
0.167,0.483,0.575,0.764,5.16,2.926,3.174,1.809,0.15,4.072,4.181,1.903
0.166,0.483,0.548,0.753,5.404,2.867,3.149,1.27,0.154,4.056,4.351,2.014
0.631,0.655,0.575,0.796,10.136,3.116,3.111,0.921,0.15,3.962,5.617,2.168
0.17,0.519,0.545,0.755,5.108,2.95,3.243,0.928,0.154,3.748,4.518,1.983
0.168,0.478,0.544,0.76,5.476,2.794,3.645,1.268,0.153,4.298,4.164,3.175
0.172,0.479,0.573,0.754,5.207,2.796,3.829,1.381,0.154,4.04,4.724,1.97
0.166,0.529,0.551,0.905,5.907,3.304,3.235,1.197,0.162,3.555,4.305,2.174
0.166,0.485,0.553,0.79,5.396,2.745,3.145,1.351,0.151,3.939,4.29,2.104
0.18,0.525,0.58,0.797,5.204,3.027,3.322,0.871,0.16,4.276,4.547,2.751
0.921,0.576,0.652,2.27,6.289,2.947,4.76,1.09,0.166,3.976,4.618,1.96
0.172,0.463,0.581,0.77,5.192,2.733,3.862,1.23,0.154,3.719,4.778,1.985
0.171,0.485,0.574,4.833,5.219,2.747,3.303,1.181,0.149,3.668,4.288,2.234
0.181,0.497,0.619,5.865,5.429,2.922,3.858,1.177,0.15,4.1,4.14,3.876
0.17,0.506,0.579,0.76,6.307,2.865,3.132,1.309,0.152,4.103,4.144,2.31
0.17,0.49,0.579,0.762,6.032,2.873,3.113,0.988,0.164,3.745,4.558,2.091
0.17,0.585,0.587,0.791,5.4,3.004,3.85,1.252,0.156,4.461,4.23,2.148
0.278,0.484,1.07,0.755,5.412,2.76,3.483,1.392,0.167,3.723,4.276,2.006
0.226,0.483,0.576,0.76,5.855,2.795,3.207,0.974,0.163,3.77,4.695,2.392
0.17,0.513,0.586,0.766,5.136,3.208,3.301,1.424,0.16,3.639,4.317,2.017
0.171,0.558,0.577,0.756,5.35,2.929,3.238,1.899,0.153,4.23,4.406,2.472
0.168,0.468,0.713,0.823,5.41,3.07,3.223,0.903,0.167,3.874,4.413,2.175
0.178,0.52,0.61,0.901,6.942,3.909,3.754,0.988,0.162,3.829,5.395,1.941
0.17,0.5,0.649,0.793,5.248,3.036,3.149,2.401,0.156,3.891,5.117,1.93
0.179,0.513,0.572,0.757,5.402,2.746,3.132,1.236,0.152,3.869,4.282,1.926
0.167,0.898,0.577,0.839,8.652,3.248,4.495,1.175,0.157,3.724,4.246,2.004
0.181,0.474,0.573,0.786,5.24,3.238,3.258,0.938,0.158,4.467,4.372,2.307
0.179,0.482,0.62,0.79,6.712,3.216,3.132,0.976,0.158,4.011,4.603,2.101
0.17,0.498,0.565,0.756,5.194,3.165,3.92,1.763,0.213,4.096,5.227,2.247
0.171,0.484,0.586,0.757,5.247,3.055,3.501,0.878,0.166,3.749,4.624,2.297
0.169,0.475,0.577,0.813,5.778,3.229,3.924,1.27,0.166,3.756,4.468,3.377
0.168,0.498,0.578,0.757,5.383,2.88,3.611,2.786,0.152,4.037,4.939,2.327
0.182,0.515,0.568,0.772,5.393,3.127,3.532,1.432,0.16,3.887,5.447,2.449
0.168,0.548,0.578,0.758,5.923,2.793,3.39,0.927,0.157,3.852,4.189,2.088
0.17,0.875,0.579,0.852,5.633,5.07,3.283,1.09,0.153,4.308,4.334,1.991
0.171,0.528,0.572,0.757,5.279,2.776,3.495,1.367,0.165,3.786,4.496,2.006
0.167,0.478,0.578,0.756,6.05,4.251,3.153,0.926,0.16,3.652,5.231,2.093
0.17,0.481,0.6,0.752,7.863,3.637,3.129,1.081,0.158,3.783,4.437,2.328
0.182,0.488,0.589,0.802,5.814,3.059,3.205,1.035,0.166,3.905,4.723,2.184
0.18,0.473,0.627,0.752,5.881,3.642,3.174,0.91,0.168,4.322,4.382,2.729
0.168,0.515,0.578,0.779,5.947,2.748,3.196,1.31,0.161,3.655,5.289,2.119
0.166,0.469,0.608,0.755,5.158,2.96,3.162,1.192,0.145,4.918,4.879,2.04
0.166,0.47,0.59,0.757,5.653,2.876,3.125,1.178,0.16,3.825,4.445,3.547
0.176,0.503,0.597,0.839,5.405,3.051,3.238,0.915,0.153,4.076,4.48,2.083
0.177,0.67,0.575,0.789,6.86,4.002,5.73,1.012,0.153,4.507,4.721,1.979
0.168,0.485,0.639,0.797,5.163,2.838,3.284,0.933,0.149,3.831,4.437,2.042
0.167,0.492,0.577,0.821,5.168,3.05,3.265,1.402,0.164,3.823,4.511,2.026
0.168,0.48,0.596,0.766,5.464,2.916,3.755,1.301,0.169,3.684,4.294,2.151
0.166,0.516,0.578,0.778,5.672,3.282,3.185,1.439,0.145,4.178,4.265,2.056
0.168,0.502,0.605,0.884,5.577,2.881,3.171,0.913,0.146,3.981,4.284,2.326
0.301,0.496,0.557,0.756,5.793,2.82,3.915,1.126,0.155,3.781,4.487,2.035
0.167,0.473,0.586,0.751,9.247,3.041,3.677,1.163,0.151,3.645,4.327,2.187
0.179,0.524,0.582,0.75,5.365,3.978,3.23,1.264,0.146,4.017,5.546,2.077
0.166,0.48,0.548,0.755,5.352,2.794,3.203,1.317,0.15,3.946,4.437,2.121
0.167,0.475,0.568,0.76,6.181,2.954,3.272,2.299,0.16,3.634,4.322,2.029
0.165,0.538,0.586,0.773,5.152,2.903,3.384,0.975,0.161,3.745,4.314,2.251
0.169,0.516,0.552,0.752,5.15,3.052,3.279,0.993,0.155,3.62,4.763,2.02
0.167,0.5,0.555,0.746,5.245,3.019,6.354,0.939,0.254,3.918,4.762,2.041
0.17,0.505,0.553,0.756,5.306,4.565,3.215,1.46,0.148,4.254,4.214,1.958
0.164,0.47,0.554,0.788,5.248,3.246,3.212,1.007,0.159,3.656,5.523,1.867
0.165,0.513,0.547,0.746,5.325,2.886,3.177,1.1,0.167,3.843,5.291,2.097
0.175,0.461,0.641,0.949,5.392,3.531,3.774,0.959,0.173,3.975,5.839,2.366
0.171,4.26,0.596,0.791,11.368,4.369,3.168,0.934,0.164,3.663,4.509,2.107
0.164,0.485,0.554,0.82,5.675,3.257,3.236,1.286,0.147,3.829,4.39,2.602
0.162,0.484,0.555,0.749,5.499,3.026,3.196,2.567,0.159,3.833,4.792,2.026
0.163,0.485,0.577,0.758,5.225,3.222,3.54,0.933,0.158,3.656,4.237,2.062
0.163,0.522,0.607,0.751,5.358,2.803,3.136,1.144,0.145,3.919,4.465,3.373
0.165,0.488,0.551,0.784,5.468,2.849,3.47,1.017,0.155,3.745,4.289,2.09
0.165,1.993,0.555,0.744,5.294,4.059,3.672,1.139,0.157,3.661,5.822,2.252
0.179,0.504,0.546,0.779,5.391,2.882,3.866,1.058,0.163,3.702,4.279,2.528
0.172,0.474,0.547,0.751,8.054,2.817,3.748,1.715,0.144,4.098,4.362,2.045
0.169,0.485,0.554,0.748,5.291,3.05,4.278,1.206,0.16,3.773,4.561,2.313
0.166,0.513,0.552,0.75,5.497,2.814,3.129,1.235,0.152,4.198,4.364,2.104
0.167,0.467,0.55,0.751,5.137,3.626,3.501,4.828,0.157,3.758,4.355,2.073
0.167,0.472,0.553,0.753,7.216,2.776,3.217,1.253,0.174,3.703,4.57,2.027
0.177,0.528,0.581,0.804,7.688,2.976,3.477,1.729,0.143,3.697,4.185,2.035
0.168,0.49,0.546,0.796,5.397,2.763,3.266,1.391,0.144,3.604,4.144,2.147
0.167,0.472,0.547,0.838,5.511,3.849,3.347,1.49,0.166,4.466,4.743,2.229
0.167,0.521,0.565,0.748,5.357,3.218,3.2,1.006,0.162,3.837,4.757,2.397
0.167,0.514,0.551,0.744,5.308,3.061,3.33,0.945,0.152,4.012,4.909,2.217
0.167,0.47,0.559,0.751,5.465,3.19,3.274,0.995,0.159,3.898,4.221,2.165
0.178,0.518,0.548,0.757,6.831,2.862,3.341,1,0.4,3.926,4.225,2.118
0.166,0.473,0.547,0.798,5.306,3.366,3.206,1.009,0.172,3.798,4.519,2.062
0.168,0.519,0.556,0.792,6.364,2.928,3.635,1.021,0.178,4.137,4.287,2.398
0.167,0.482,0.569,0.749,5.233,3.045,3.464,0.944,0.159,3.934,4.812,2.052
0.193,0.485,0.568,0.746,5.47,3.212,3.233,1.03,0.158,4.384,4.776,2.077
0.199,0.57,0.788,0.756,5.629,2.947,3.223,1.303,0.142,4.422,4.717,2.357
0.168,0.479,0.582,0.823,7.018,3.706,4.097,1.441,0.159,4.328,4.274,2.042
0.169,0.505,0.584,0.802,5.895,3.121,3.963,1.739,0.156,3.768,4.762,2.023
0.17,0.479,0.588,0.809,5.607,2.795,3.167,1.379,0.155,3.72,4.337,2.329
0.167,0.481,0.599,1.052,6.196,2.904,3.511,1.863,0.15,4.22,4.187,3.198
0.168,0.515,0.58,0.752,6.135,3.15,3.538,1.169,0.162,4.099,4.277,3.132
0.167,0.496,0.627,0.787,5.426,2.871,3.291,1.096,0.143,4.313,4.307,3.244
0.169,0.483,0.595,0.777,5.313,2.966,3.451,0.989,0.156,3.933,4.535,2.27
0.167,0.473,0.647,0.755,7.255,2.819,3.276,1.104,0.147,3.756,4.405,3.363
0.176,0.492,0.584,0.756,5.781,2.843,3.248,1.137,0.147,5.065,4.431,2.36
0.171,0.516,0.586,0.79,5.459,3.002,3.71,1.102,0.153,3.716,4.465,2.618
0.183,0.522,0.583,0.79,6.915,2.816,3.316,0.964,0.203,3.892,4.722,2.198
0.167,0.525,0.58,0.785,5.351,3.086,3.817,1.192,0.156,3.671,4.256,2.085
0.165,0.489,0.594,0.827,6.549,2.963,3.89,1.333,0.142,3.832,4.456,2.144
0.167,0.511,0.685,0.758,5.315,3.027,3.196,1.469,0.153,3.859,4.991,2.278
0.169,0.5,0.595,0.819,10.982,2.911,3.157,0.982,0.226,3.725,5.37,2.115
0.167,0.486,0.596,0.751,5.746,3.324,3.225,1.079,0.161,3.715,4.556,2.112
0.169,0.49,0.641,0.748,7.098,3.091,3.245,0.948,0.187,4.017,5.28,2.115
0.167,0.538,0.576,0.768,5.104,2.928,3.207,0.957,0.154,3.616,4.476,2.303
0.166,0.49,0.626,1.137,6.587,2.765,3.267,0.995,0.195,3.766,4.92,2.09
0.169,0.482,0.627,0.757,5.805,3.618,3.26,1.093,0.16,4.081,5.592,2.222
0.168,0.514,0.58,0.75,5.519,2.856,3.488,1.078,0.146,3.814,4.165,2.167
0.169,0.517,0.562,1.29,5.387,2.818,3.228,1.387,0.145,3.673,4.625,2.981
