native,quick,bucket,merge,bubble,insertion,selection,countingObj,gnome,shaker,lodash
1.172,1.628,5.784,3.664,14.326,5.89,6.955,0.285,9.675,8.747,3.447
2.587,2.452,5.992,2.257,13.913,6.225,6.926,0.29,10.087,8.739,5.779
2.023,1.879,6.879,6.357,18.878,5.894,7.454,0.286,10.337,9.507,3.729
1.967,1.905,5.468,1.9,15.172,13.065,7.766,0.286,9.756,9.462,4.948
1.466,2.2,6.423,2.025,14.948,5.4,7.463,0.289,9.88,8.948,5.419
1.018,1.713,6.037,3.723,16.796,7.652,11.739,0.277,10.548,9.758,5.466
1.186,1.848,5.484,3.609,15.358,6.046,7.886,0.286,9.941,8.558,4.477
1.369,1.772,5.841,2,13.66,8.779,13.644,0.278,10.151,8.724,4.859
1.604,1.547,5.729,3.631,17.809,8.354,7.45,0.271,9.468,8.948,4.249
1.492,1.671,5.499,2.109,20.85,9.992,8.277,0.673,17.15,9.817,3.846
7.635,2.502,9.514,2.613,16.084,5.474,7.617,0.304,9.81,15.128,5.355
1.212,1.617,5.839,3.031,14.488,6.538,7.234,0.594,12.409,10.613,4.638
1.255,1.981,5.337,4.14,15.209,5.438,7.311,0.28,10.078,8.727,4.427
1.152,1.413,6.118,2.868,14.547,5.739,7.198,0.286,9.544,9.371,5.254
1.505,2.76,5.561,3.125,18.179,8.077,9.566,0.284,10.479,8.608,3.926
1.573,2.434,5.971,2.521,29.924,5.702,24.049,0.273,9.738,8.436,3.558
1.2,5.541,6.23,2.788,14.296,5.182,7.284,0.299,9.764,8.762,5.089
1.457,2.614,5.39,2.498,13.7,5.094,14.82,0.304,9.472,8.575,5.484
1.68,2.474,5.552,3.125,14.521,5.045,7.032,0.628,13.135,9.147,3.248
1.505,1.722,6.887,2.246,13.117,6.067,8.247,0.301,17.635,14.499,3.611
1.166,1.998,5.869,2.011,13.907,5.656,7.804,0.303,11.494,8.726,3.974
1.349,2.115,6.472,2.045,14.079,5.824,7.419,0.322,12.062,8.417,3.631
1.571,2.468,8.123,2.474,13.907,5.837,7.268,0.275,10.12,8.505,7.445
1.433,2.051,5.981,2.017,15.322,5.507,8.598,0.289,9.709,8.768,3.941
1.341,1.974,8.04,2.369,15.509,5.441,7.852,0.935,10.62,8.584,3.899
1.731,1.936,5.563,2.283,14.837,7.755,13.168,0.278,10.408,8.74,4.073
1.741,2.907,5.9,2.645,17.611,5.819,6.854,0.277,10.119,8.785,3.809
1.192,1.586,6.951,2.088,18.48,5.477,7.606,0.392,10.11,8.828,4.122
