native,quick,bucket,merge,bubble,insertion,selection,counting,counting1,counting2,counting3,fastsort,heap,radix,gnome,shell,shaker,lodash
0.881,0.455,0.691,0.83,3.834,4.357,5.207,0.538,0.354,0.467,0.391,1.772,1.459,0.779,2.321,0.465,2.996,3.072
0.543,0.34,0.586,1.011,3.945,1.736,2.278,0.218,0.182,5.571,0.211,0.544,1.198,0.754,2.004,0.389,3.521,2.738
0.51,0.572,0.553,0.939,3.202,1.673,1.876,0.145,0.112,0.116,0.113,1.026,1.128,0.511,1.973,0.372,2.892,2.813
0.799,0.434,0.565,0.749,4.762,1.699,1.99,0.149,0.817,0.127,0.209,0.808,1.079,0.522,2.157,0.374,3.517,4.214
0.398,0.369,0.561,0.801,2.846,1.801,2.412,0.164,0.108,0.111,0.112,0.755,1.056,0.601,2.014,0.364,2.825,3.048
0.539,0.339,0.584,0.91,3.779,1.901,1.916,0.143,0.113,0.125,0.116,1.403,1.226,0.525,2.007,0.357,2.991,3.018
0.402,0.349,0.561,0.846,3.543,1.757,1.944,0.146,0.201,0.118,0.116,0.853,1.268,0.588,2.1,0.41,2.923,3.946
0.66,0.601,1.197,0.874,6.208,1.835,3.218,0.204,0.117,0.112,0.11,1.397,1.244,0.516,1.97,0.342,3.039,3.051
0.585,0.33,0.564,0.856,3.25,2.079,1.968,0.153,0.183,0.197,0.132,0.917,1.377,0.517,1.963,0.358,3.112,2.877
0.427,0.61,1.174,0.846,3.539,1.869,2.229,0.142,0.111,0.194,0.205,1.171,1.117,0.562,1.981,0.362,3.038,3.488
0.4,0.333,0.556,0.848,2.974,1.775,2.194,0.142,0.11,0.118,0.116,0.881,1.194,0.509,1.96,0.359,2.897,2.266
0.532,0.341,0.552,0.916,3.565,1.792,2.154,0.145,0.163,0.127,0.115,0.89,1.109,0.509,1.939,0.35,3.627,2.665
0.392,0.371,0.558,0.929,4.815,1.724,2.137,0.164,0.197,0.21,0.291,0.747,1.48,0.51,2.108,0.365,3.67,3.224
0.399,0.339,0.701,0.889,3.805,1.854,2.68,0.133,0.103,0.116,0.208,1.257,1.07,0.569,2.375,0.369,4.436,3.286
