native,quick,bucket,merge,bubble,insertion,selection,counting,counting2,heap,radix,gnome,shell,shaker,lodash
0.082,0.066,0.129,0.139,0.607,0.152,0.374,0.045,0.038,0.205,0.089,0.45,0.081,0.301,0.465
0.085,0.065,0.132,0.138,0.635,0.171,0.261,0.044,0.037,0.226,0.114,0.805,0.085,0.456,0.529
0.095,0.065,0.13,0.138,0.798,0.277,0.277,0.038,0.077,0.217,0.104,0.377,0.076,0.372,0.842
0.077,0.067,0.126,0.135,2.751,0.285,0.272,0.04,0.034,0.265,0.204,0.479,0.068,0.296,0.49
0.074,0.092,0.284,0.142,0.594,0.173,0.577,0.065,0.04,0.234,0.101,1.331,0.079,0.511,0.754
0.077,0.064,0.479,0.401,1.656,0.159,0.365,0.037,0.095,0.187,0.193,0.358,0.095,0.413,0.452
0.107,0.068,0.134,0.182,1.835,0.154,0.287,0.04,0.038,0.161,0.109,0.526,0.078,0.446,0.462
0.078,0.07,0.128,0.137,0.772,0.26,0.261,0.044,0.037,0.202,0.121,0.596,0.077,0.297,0.761
0.083,0.066,0.168,0.152,0.909,0.172,0.295,0.04,0.035,0.246,0.091,0.481,0.137,0.546,0.784
0.136,0.114,0.169,0.147,0.693,0.161,0.336,0.038,0.034,0.196,0.101,0.446,0.078,0.344,1.089
0.162,0.874,0.32,0.253,1.567,0.179,0.28,0.043,0.041,0.282,0.102,0.928,0.126,0.547,0.98
0.083,0.068,0.142,0.138,0.69,0.155,0.276,0.037,0.035,0.172,0.106,0.339,0.089,0.574,0.443
0.152,0.12,0.281,0.143,1.867,0.213,0.288,0.053,0.038,0.213,0.244,3.619,0.088,0.292,0.667
0.077,0.066,0.127,0.141,0.779,0.28,0.261,0.036,0.037,0.368,0.188,0.358,0.078,0.47,0.528
0.098,0.068,0.183,0.182,0.85,0.239,0.412,0.042,0.039,0.193,0.123,0.54,0.077,0.298,0.669
0.078,0.064,0.126,0.251,1,0.162,0.307,0.04,0.037,0.174,0.098,0.354,0.07,0.291,0.498
0.077,0.091,0.179,0.14,1.722,0.163,0.262,0.042,0.039,0.181,0.098,0.369,0.075,0.296,0.389
0.075,0.068,0.126,0.212,0.677,0.166,0.268,0.046,0.04,0.173,0.109,0.389,0.076,0.408,0.748
0.077,0.069,0.13,0.144,0.71,0.593,1.488,0.044,0.052,0.195,0.111,0.5,0.082,0.307,0.845
0.081,0.119,0.186,0.138,1.115,0.173,0.473,0.043,0.046,0.193,0.178,0.629,0.078,0.292,0.492
0.083,0.071,0.146,0.142,1.565,0.175,0.33,0.086,0.057,0.207,0.098,0.485,0.118,0.337,0.532
0.079,0.104,0.14,0.157,0.696,0.414,0.293,0.07,0.046,0.186,0.102,0.461,0.082,0.623,0.751
0.092,0.164,0.176,0.185,0.801,0.254,0.408,0.066,0.046,0.552,0.102,0.375,0.184,0.533,0.558
0.119,0.105,0.411,0.212,0.952,0.157,0.318,0.041,0.035,0.203,0.092,0.552,0.118,0.647,0.401
0.079,0.069,0.129,0.141,0.702,0.177,0.3,0.043,0.041,0.2,0.092,0.661,0.078,0.557,0.859
0.077,0.086,0.128,0.138,2.035,0.339,0.347,0.124,0.049,0.179,0.202,0.722,0.076,0.359,0.491
0.077,0.066,0.126,0.139,1.674,0.157,0.327,0.045,0.038,0.198,0.087,0.365,0.122,0.458,0.767
0.1,0.067,0.128,0.149,1.079,0.176,0.264,0.048,0.036,0.192,0.096,0.533,0.084,0.301,0.45
0.077,0.069,0.128,0.136,0.745,0.171,0.263,0.05,0.036,0.336,0.108,0.511,0.1,0.302,1.012
0.077,0.064,0.219,0.144,0.757,0.531,0.264,0.051,0.04,0.21,0.097,0.554,0.125,0.539,0.465
0.096,0.068,0.127,0.138,0.672,0.186,0.267,0.037,0.037,0.27,0.103,0.477,0.077,0.291,0.437
0.08,0.066,0.139,0.17,0.57,0.158,0.266,2.335,0.049,0.189,0.104,0.373,0.145,0.914,0.749
0.077,5.778,0.125,0.136,1.67,0.154,0.268,0.047,0.057,0.267,0.093,0.329,0.072,0.297,0.441
0.075,0.111,0.152,0.277,0.834,0.273,0.279,0.043,0.152,1.092,0.233,0.377,0.075,1.043,0.848
0.083,0.068,0.136,0.202,0.698,0.208,0.261,0.042,0.041,0.203,0.094,0.466,0.103,0.282,0.463
0.078,0.107,0.14,0.155,3.421,0.288,0.945,0.045,0.042,0.237,0.203,0.668,0.158,0.763,0.86
0.083,0.21,0.13,0.138,0.71,0.251,0.295,0.055,0.038,0.223,0.495,0.47,0.074,0.352,0.709
0.081,0.115,0.324,0.272,2.887,0.484,0.344,0.071,0.072,0.431,0.111,0.554,0.122,0.587,0.778
0.076,0.066,0.155,0.145,0.923,0.246,0.266,0.039,0.035,0.199,0.094,0.858,0.079,0.356,0.44
0.108,0.066,0.175,0.306,1.507,0.178,0.386,0.049,0.038,0.197,0.115,0.403,0.127,0.351,0.463
0.084,0.066,0.126,0.141,0.635,0.175,0.544,0.042,0.042,0.166,0.1,0.522,0.161,0.411,0.463
0.079,0.1,0.255,0.152,1.273,0.98,0.495,0.05,0.037,0.243,0.183,0.451,0.093,0.485,0.762
0.121,0.098,0.149,0.331,2.076,0.845,0.401,0.055,0.063,0.192,0.115,0.522,0.077,0.521,0.451
0.085,0.117,0.181,0.242,0.645,0.172,0.264,0.063,0.034,0.17,0.1,0.393,0.08,0.3,0.553
0.082,0.097,0.179,0.137,0.576,0.157,0.658,0.049,0.041,0.181,0.11,0.581,0.089,0.292,0.563
0.082,0.119,0.138,0.141,0.647,0.256,0.262,0.041,0.036,0.357,0.173,0.504,0.085,0.293,0.762
0.114,0.064,0.125,0.136,0.673,0.296,0.268,0.046,0.036,0.231,0.087,0.545,0.08,0.436,0.754
