native,quick,bucket,merge,bubble,insertion,selection,counting,counting2,counting3,heap,radix,gnome,fastsort,shell,shaker,lodash
0.298,0.666,3.16,1.785,5.281,2.179,2.802,0.216,0.157,0.144,3.131,0.922,3.632,1.885,1.877,3.71,4.014
0.301,0.635,3.171,1.872,5.028,2.026,3.283,0.21,0.153,0.141,2.113,0.907,3.408,1.356,1.839,3.732,8.434
0.301,0.925,3.185,1.901,5.007,2.113,2.939,0.217,0.15,0.14,2.168,0.895,4.567,1.778,2.021,4.047,3.963
0.3,0.628,3.245,5.098,4.888,2.239,2.808,0.213,0.15,0.141,2.125,0.89,3.515,1.521,1.856,5.084,3.97
0.315,0.957,8.525,3.272,5.366,2.063,2.815,0.213,0.154,0.178,2.128,0.89,3.427,1.455,1.922,3.647,3.736
0.315,0.993,3.229,2.527,5.383,2.409,2.862,0.217,0.177,0.163,2.173,0.891,3.641,1.482,1.87,3.679,4.563
0.298,0.636,3.704,1.912,6.959,2.155,2.866,0.215,0.154,0.148,2.149,0.905,3.618,1.462,2.208,4.146,3.855
0.299,0.641,3.133,2.068,5.045,2.121,2.839,0.226,0.154,0.14,2.183,0.898,3.479,1.533,1.996,3.859,4.149
0.305,0.636,3.285,2.046,5.19,2.321,3.026,0.259,0.153,0.147,2.248,0.89,3.488,1.495,1.963,3.749,3.798
0.437,0.655,3.156,1.886,4.712,2.171,2.965,0.311,0.179,0.149,2.118,1.058,3.716,1.508,1.839,3.904,3.828
0.302,0.909,3.315,1.877,4.913,2.159,2.952,0.213,0.156,0.15,2.165,0.895,3.706,1.542,1.854,3.671,3.834
0.296,0.88,7.438,2.743,14.242,2.036,3.117,0.241,0.168,0.152,2.2,4.286,0.932,3.469,1.91,4.297,4.131
0.305,0.623,3.405,1.93,5.485,1.996,2.823,0.207,0.147,0.148,1.94,2.219,0.936,5.014,1.867,3.668,3.796
0.4,0.747,3.703,2.106,5.254,2.139,2.857,0.281,0.199,0.179,2.187,2.214,1.069,3.511,2.014,3.748,4.211
0.296,0.886,3.219,4.523,6.5,2.086,6.428,0.22,0.157,0.143,2.129,2.155,0.974,4.811,1.901,3.754,4.002
0.296,0.634,3.532,2.056,4.948,2.042,2.896,1.027,0.151,0.14,1.944,2.129,0.884,3.434,2.063,4.044,3.957
0.297,0.621,3.072,1.848,5.194,2.354,3.719,0.221,0.163,0.158,2.206,5.741,1.121,4.575,2.565,3.916,4.05
0.309,0.637,3.868,6.122,4.859,2.338,2.793,0.213,0.149,0.141,1.971,2.212,0.89,3.405,1.885,3.87,4.425
0.296,0.881,3.12,1.893,5.425,2.101,2.793,0.236,0.149,0.141,1.847,2.444,0.891,3.379,1.856,3.743,4.377
0.331,0.797,3.524,2.878,7.177,2.179,2.874,0.293,0.227,0.197,2.182,2.229,0.954,3.479,2.201,3.744,4.576
0.339,0.908,3.375,1.877,5.049,2.104,2.854,0.22,0.167,0.167,1.855,2.133,0.905,3.454,1.847,3.889,3.826
0.297,0.638,3.204,2.65,6.257,2.069,2.834,0.211,0.16,0.138,1.909,2.123,0.889,3.934,1.948,4.604,3.742
0.297,0.92,3.598,1.861,4.953,2.784,2.797,0.214,0.144,0.143,1.927,2.129,0.887,3.486,2.077,4.052,5.613
0.295,0.63,3.142,1.852,5.081,2.09,2.789,0.214,0.148,0.143,2.135,2.137,0.883,3.433,1.967,3.677,3.707
0.297,0.636,3.356,1.977,5.394,2.826,4.11,0.223,0.161,0.152,2.01,2.132,0.939,3.727,2.147,4.686,5.936
0.298,0.621,3.211,1.961,5.717,2.088,2.82,0.211,0.151,0.139,2.029,2.181,1.411,3.489,1.879,3.682,3.89
0.298,0.977,3.372,1.858,5.885,2.005,2.809,0.217,0.153,0.147,1.88,2.117,0.885,3.385,2.131,5.111,4.068
0.298,0.654,3.237,1.862,6.04,2.574,2.96,0.25,0.148,0.198,1.884,2.274,0.925,3.542,1.944,3.743,3.773
0.297,0.633,3.243,1.862,5.646,2.107,2.858,0.258,0.161,0.168,2.341,2.123,0.895,3.529,2.054,3.665,3.797
0.316,0.793,3.212,3.833,5.355,2.287,2.774,0.21,0.148,0.138,2.269,2.397,0.981,4.036,2.109,3.893,4.069
0.311,0.659,3.946,1.971,5.036,2.37,2.785,0.222,0.265,0.148,1.931,2.12,0.876,3.481,1.894,3.633,4.225
0.405,0.636,3.357,1.861,5.313,2.09,2.857,0.31,0.153,0.138,2.271,2.311,0.929,3.647,2.081,4.361,5.197
0.33,1.03,4.611,2.629,8.226,3.298,4.544,0.212,0.147,0.138,2.831,2.231,1.118,3.581,2.114,3.772,4.089
0.315,0.66,3.434,1.917,4.872,2.25,2.802,0.254,0.15,0.144,1.855,2.363,1.004,3.623,1.947,3.928,3.775
0.3,1.31,3.195,1.891,5.087,2.439,2.947,0.214,0.15,0.143,1.898,2.144,0.891,3.451,2.017,3.707,3.837
0.297,0.629,3.414,1.858,5.483,2.126,2.835,0.22,0.166,0.153,2.587,2.153,0.891,3.613,1.926,3.793,4.146
0.311,1.737,13.915,1.96,4.835,2.17,2.835,0.278,0.199,0.181,2.088,2.205,1.105,3.552,1.925,3.718,4.569
0.305,0.634,3.226,1.895,4.975,2.076,2.789,0.22,0.148,0.143,1.891,2.107,1.039,3.504,1.932,3.66,3.766
0.3,0.985,3.19,1.878,5.199,2.233,2.889,0.21,0.149,0.155,1.958,2.15,0.97,3.428,1.887,3.655,3.932
0.298,0.622,3.299,2.001,4.954,1.924,2.821,0.212,0.146,0.143,2.087,2.122,0.895,3.609,1.931,3.741,4.062
0.393,0.737,3.622,2.385,5.414,2.12,2.866,0.345,0.23,0.198,2.076,2.974,1.332,3.763,2.139,4.201,4.411
0.343,0.947,3.866,2.19,5.345,2.093,2.775,0.207,0.153,0.142,1.959,2.14,1.033,4.676,2.492,3.851,4.449
0.375,0.734,4.556,2.046,4.941,2.068,2.829,0.218,0.151,0.138,1.954,2.17,0.918,3.481,1.868,3.703,3.817
0.297,0.889,3.28,1.876,4.963,2.103,2.834,0.209,0.148,0.149,2.052,2.208,0.895,3.867,2.536,3.729,3.808
0.316,0.664,3.479,1.926,4.773,2.109,2.772,0.236,0.149,0.148,1.944,2.128,0.9,3.407,1.891,3.818,4.039
0.295,0.915,3.236,1.854,5.287,2.333,3.252,0.211,0.148,0.139,1.893,2.172,0.887,3.473,1.916,3.719,3.761
0.335,1.024,5.16,17.213,5.546,2.267,2.886,0.28,0.21,0.216,2.111,2.223,1.039,3.676,2.122,3.733,4.139
0.301,0.895,3.289,2.239,5.286,2.331,2.835,0.225,0.156,0.141,2.296,2.204,0.912,3.557,1.858,3.75,3.803
0.297,0.891,3.175,3.043,5.249,2.107,2.809,0.22,0.16,0.144,1.949,2.115,0.889,3.682,1.978,3.723,3.762
0.332,1.008,3.49,1.935,5.061,2.322,2.852,0.412,0.153,0.139,1.908,2.131,0.882,3.731,1.93,3.738,5.1
0.295,0.9,3.184,1.882,5.111,2.104,2.807,0.217,0.146,0.149,1.968,2.126,0.898,3.443,2.003,3.642,3.857
0.297,0.626,3.646,2.068,5.134,2.144,2.78,0.21,0.147,0.149,1.926,2.112,0.892,3.44,1.928,3.676,3.924
0.338,0.758,3.114,1.889,4.961,2.331,3.029,0.248,0.15,0.144,2.085,2.211,0.906,4.031,1.918,4.953,4.315
0.298,0.898,3.286,2.744,4.704,1.963,2.791,0.211,0.147,0.143,1.987,2.108,1.049,3.521,1.946,4.393,5.87
0.295,1.051,3.184,1.837,5.002,2.157,3.205,0.212,0.164,0.15,1.915,2.219,0.963,3.74,2.108,4.073,4.217
0.314,1.121,3.894,2.279,5.211,2.126,2.78,0.211,0.153,0.139,1.9,2.123,0.924,3.39,1.968,5.678,3.789
0.298,0.639,3.143,2.261,4.874,2.192,2.783,0.217,0.149,0.154,1.855,2.351,0.927,3.5,1.92,3.664,3.82
0.298,0.973,3.562,2.08,5.399,8.536,2.882,0.21,0.15,0.142,2.026,2.147,0.95,3.488,1.893,3.639,3.886
2.776,1.169,3.415,1.875,5.067,2.157,2.928,0.21,0.15,0.148,1.807,2.812,0.895,3.332,1.986,3.776,3.782
0.296,0.638,3.444,1.864,8.122,2.276,2.738,0.213,0.147,0.142,2.016,2.101,0.883,3.585,2.304,3.975,3.893
0.298,0.635,4.002,1.994,4.942,2.188,3.588,0.221,0.161,0.159,1.916,2.155,0.884,3.443,1.953,3.663,4.083
0.295,0.629,3.176,4.784,5.39,2.964,2.821,0.209,0.152,0.141,2.222,2.113,0.903,3.426,1.977,3.678,4.099
0.333,0.745,4.69,9.134,5.656,2.209,2.961,1.651,0.226,0.199,2.224,2.254,1.102,3.575,2.141,3.951,4.704
0.314,0.68,3.554,2.17,5.008,2.437,2.908,0.233,0.159,0.154,2.518,3.576,1.061,3.479,1.912,4.046,4.144
0.383,0.994,4.988,8.485,5.087,2.526,2.992,0.319,0.2,0.179,2.137,2.235,1.058,3.489,1.984,3.872,4.197
0.298,0.976,3.25,2.143,5.055,2.102,2.775,0.211,0.147,0.138,1.875,2.192,0.894,3.56,1.9,4.477,4.233
0.316,1.798,3.178,10.388,5.661,3.598,3.308,0.222,0.155,0.143,1.87,2.542,0.89,4.037,1.931,3.886,3.719
0.295,0.633,3.303,2.215,5,2.169,2.798,0.212,0.148,0.14,2.194,2.625,0.958,4.123,2.652,4.015,4.166
0.297,1.14,4.065,2.085,5.122,2.116,6.37,0.216,0.149,0.142,2.053,2.714,0.886,3.368,1.938,3.705,6.727
0.3,0.641,3.656,1.861,5.813,2.163,2.769,0.21,0.153,0.142,1.917,2.104,0.89,3.477,1.864,4.401,3.846
0.342,0.933,3.499,2.315,5.761,2.118,2.66,0.226,0.162,0.15,2.059,4.495,0.887,3.484,1.878,3.813,3.862
0.295,0.627,6.548,2.217,5.392,2.124,6.775,0.219,0.16,0.153,1.904,2.121,0.891,4.374,1.909,3.827,8.234
0.296,0.749,8.114,1.969,6.039,2.078,2.811,0.209,0.153,0.15,1.91,2.886,0.892,3.493,1.868,3.685,4.748
0.417,0.632,3.984,1.962,5.46,2.08,2.806,0.217,0.179,0.14,1.83,2.127,0.894,3.469,2.945,4.015,3.896
0.321,0.727,3.651,2.235,5.021,2.172,2.841,0.241,0.169,0.143,1.962,2.137,0.881,3.5,1.967,4.303,3.889
0.296,0.934,3.136,10.951,5.308,2.259,2.794,0.225,0.164,0.18,2.517,2.405,0.893,3.614,2.032,4.562,4.631
0.295,0.635,3.334,1.858,5.047,2.528,3.458,0.225,0.158,0.154,1.904,2.8,1.125,3.576,1.917,3.642,3.687
0.602,0.925,3.678,1.941,5.536,3.068,3.389,0.237,0.148,0.141,2.238,2.17,0.929,3.899,1.995,3.912,4.142
0.297,0.635,3.157,1.885,5.072,2.166,3.156,0.277,0.158,0.158,2.151,2.522,0.949,3.474,1.946,4.056,5.288
0.298,0.639,3.157,2.189,4.799,1.943,2.862,0.216,0.147,0.172,3.3,2.664,1.535,3.487,1.927,4.694,5.75
0.296,0.635,4.003,2.131,5.671,2.072,2.947,0.209,0.15,0.144,1.882,2.12,0.928,3.531,1.902,3.752,4.137
0.297,0.623,3.196,1.81,4.863,2.044,2.864,0.224,0.158,0.209,2.625,2.148,0.882,3.506,1.917,3.761,4.19
0.339,0.895,3.442,1.891,5.098,2.257,3.352,0.222,0.159,0.153,1.945,2.219,0.965,3.726,2.148,4.926,4.165
0.32,0.673,3.43,2.542,4.832,2.463,2.804,0.221,0.207,0.147,2.019,2.269,0.911,3.342,1.815,4.159,4.677
0.312,0.952,4.125,1.883,5.093,2.196,2.805,0.212,0.184,0.147,1.947,2.142,0.928,3.379,1.984,4.571,5.345
0.296,0.884,3.058,2.855,5.051,2.194,2.801,0.211,3.361,0.144,2.34,2.144,1.535,3.503,2.365,3.713,3.946
0.296,1.116,3.301,1.987,5.019,2.091,2.944,0.213,0.214,0.158,1.968,2.15,0.922,3.942,2.261,3.917,3.775
0.297,0.878,3.37,2.166,5.116,2.275,2.963,0.223,0.157,0.152,1.87,2.103,0.933,4.364,2.764,4.345,3.773
0.332,0.66,3.311,2.117,5.132,2.088,2.791,0.236,0.16,0.156,1.92,2.224,0.962,3.431,1.966,3.649,4.107
0.339,0.665,3.54,1.873,5.12,2.183,2.934,0.209,0.149,0.141,1.84,3.961,0.896,3.505,1.939,3.839,5.668
0.433,0.979,4.261,2.356,5.327,2.255,2.784,0.208,0.155,0.143,2.08,2.105,1.293,3.585,1.932,3.703,3.987
0.297,0.945,3.139,2.074,5.468,2.109,2.807,0.228,0.162,0.161,2.216,2.169,1.09,3.529,2.065,4.209,4.416
0.295,0.637,3.16,1.903,4.785,1.947,2.83,0.222,0.176,0.164,2.036,2.203,0.898,3.733,2.337,3.919,3.942
0.313,0.667,3.624,1.961,6.332,2.074,3.722,0.583,0.161,0.444,2.694,2.152,0.899,3.674,1.94,3.75,3.922
0.315,0.954,4.002,7.721,4.975,2.149,2.817,0.22,0.16,0.161,1.925,3.846,4.002,3.496,2.007,3.918,3.836
0.312,0.624,3.144,1.87,4.998,2.053,2.811,0.212,0.147,0.138,2.531,2.248,1.195,3.914,1.931,3.761,4.927
0.294,0.987,3.121,2.337,4.597,2.073,3.147,0.367,0.164,0.148,2.006,2.119,1.323,4.152,1.906,3.632,3.81
0.297,2.159,3.294,1.861,4.902,2.081,2.786,0.213,0.147,0.144,2.052,2.16,0.893,3.455,1.886,3.9,3.788
0.377,0.634,3.297,1.887,4.883,2.246,2.819,0.924,0.164,0.148,1.931,2.634,0.901,3.422,2.135,4.267,3.877
0.296,0.617,4.274,2.56,8.121,2.202,2.63,0.228,0.158,0.158,2.046,2.153,0.894,3.754,2.169,4.274,3.822
0.296,0.997,3.311,2.087,5.065,2.11,3.023,0.221,0.159,0.156,3.192,2.172,0.94,4.296,2.862,3.767,3.878
0.312,0.912,3.193,1.993,4.947,2.103,2.809,0.214,0.292,0.156,2.202,2.805,0.88,3.398,1.864,3.672,4.482
0.298,0.666,3.06,1.828,4.905,2.409,3.227,0.344,0.167,0.155,1.897,2.228,0.93,4.058,2.165,4.225,4.181
0.368,0.636,3.237,2.031,4.941,2.155,3.169,0.239,0.278,0.277,1.882,2.271,0.94,3.44,1.908,3.735,4.489
0.473,1.091,3.808,1.894,8.089,2.125,2.868,0.225,0.16,0.167,1.95,2.168,1.088,3.898,2.094,4.062,4.123
0.539,0.692,3.481,2.281,6.374,2.606,2.821,0.222,0.204,0.149,2.574,2.226,0.958,3.665,2.079,4.245,4.412
