native,quick,bucket,merge,bubble,insertion,selection,counting,counting2,heap,radix,gnome,shell,shaker,lodash
11.271,5.26,7.235,8.812,312.959,37.398,109.034,4.209,2.807,17.27,19.41,155.054,3.915,104.254,26.135
11.432,5.613,7.117,9.46,304.773,38.088,173.265,2.979,2.763,17.349,32.038,429.496,3.662,105.246,23.46
11.189,3.835,7.744,11.041,326.035,35.625,82.477,2.968,2.26,14.801,19.707,143.78,3.528,102.989,27.666
11.256,5.656,8.039,8.817,315.405,35.495,82.878,3.391,2.657,15.063,20.179,158.741,3.524,103.658,27.03
10.846,3.783,9.403,10.332,305.996,34.475,89.32,2.993,2.348,13.794,19.677,153.461,3.682,109.131,26.879
11.772,5.92,9.747,10.08,343.892,46.246,83.339,2.949,2.344,13.294,19.737,153.533,3.868,105.495,23.796
11.072,5.208,7.08,9.911,324.542,34.251,84.062,2.983,2.342,13.703,18.875,165.868,3.932,106.019,27.756
11.235,4.212,7.127,8.979,302.697,34.434,84.867,3.698,2.462,13.771,19.364,151.205,3.634,108.175,23.65
14.561,4.874,7.309,10.683,322.87,34.464,81.897,3.07,2.336,13.626,24.608,285.126,3.529,109.777,27.93
11.674,5.891,7.352,10.676,310.687,35.276,84.49,3.309,2.961,15.337,22.966,160.487,3.647,116.348,23.493
11.478,5.902,8.274,8.8,307.538,34.536,82.961,2.956,2.38,15.087,18.929,148.79,4.307,104.961,22.43
10.573,4.14,7.229,11.083,371.668,34.663,83.572,3.059,2.34,15.019,19.266,159.77,3.52,104.46,23.664
11.877,5.218,7.125,10.56,309.723,37.168,82.026,2.954,2.607,13.131,28.512,142.094,3.462,104.049,21.296
10.806,3.939,8.264,10.746,369.264,34.68,82.873,3.042,2.592,13.749,18.916,153.554,3.629,110.523,24.963
12.249,6.03,7.226,9.583,305.851,39.839,82.291,3.05,2.32,12.962,24.302,146.958,3.531,106.442,23.382
11.981,5.609,7.961,11.702,312.197,35.544,83.194,3.287,2.386,24.032,30.405,161.32,3.745,111.47,22.711
12.023,4.992,8.29,9.705,303.694,37.352,82.788,3.987,2.236,14.199,20.068,172.426,3.688,107.324,31.788
11.238,6.249,11.505,9.645,308.332,40.227,83.404,3.092,2.626,13.118,20.786,157.687,3.764,105.492,23.304
11.409,5.558,12.062,9.3,344.625,34.819,83.329,2.953,2.433,13.839,18.821,157.125,3.804,103.192,25.77
11.313,4.293,7.055,9.907,307.938,37.806,86.958,3.351,2.766,16.503,20.688,154.111,3.463,102.84,29.075
11.048,5.138,7.685,8.747,306.782,35.101,83.323,3.355,2.324,12.722,19.31,147.784,3.479,112.192,27.23
11.551,4.979,7.468,13.459,301.998,35.173,82.436,3.31,2.61,15.841,20.17,157.497,3.556,103.956,22.859
10.852,5.645,7.176,10.493,320.355,35.755,83.544,3.06,2.393,14.421,21.671,156.08,4.109,105.342,23.907
11.638,4.848,7.168,8.896,321.14,34.933,81.952,3.156,2.362,13.69,19.728,149.266,3.525,104.928,25.784
11.062,4.003,7.152,9.148,316.075,35.973,83.608,3.114,2.369,14.996,19.371,145.538,3.77,120,21.789
11.231,4.958,7.206,8.848,318.876,38.982,83.071,3.676,2.48,12.871,21.123,159.257,3.932,104.852,20.468
12.484,4.821,7.209,10.296,315.164,35.202,82.846,3.186,2.379,14.794,19.376,149.75,3.516,107.624,25.072
11.089,4.384,7.188,10.836,309.068,35.596,84.305,3.303,2.611,13.532,19.432,152.203,3.876,109.813,23.369
