native,quick,bucket,merge,bubble,insertion,selection,counting,counting2,counting3,heap,radix,gnome,fastsort,shell,shaker,lodash
0.079,0.196,0.354,0.458,4.131,1.917,2.4,0.106,0.068,0.065,6.909,0.299,2.23,0.354,0.334,2.979,0.843
0.078,0.177,0.357,0.412,2.749,1.934,2.311,0.198,0.061,0.057,0.559,0.321,2.022,0.387,0.219,4.01,0.827
0.077,0.174,0.407,0.417,2.81,1.932,2.031,0.077,0.061,0.054,0.632,0.322,1.984,0.343,0.233,3.158,0.825
0.078,0.177,0.711,0.494,6.21,1.891,2.141,0.079,0.059,0.056,0.558,0.349,2.076,0.339,0.237,3.019,0.837
0.077,0.308,0.358,0.437,2.665,1.808,1.832,0.075,0.057,0.055,0.549,0.318,2.136,0.355,0.231,3.206,1.161
0.082,0.189,0.349,0.543,2.868,2.705,2.613,0.092,0.064,0.061,0.548,0.306,2.95,0.363,0.239,2.963,0.837
0.078,0.18,0.323,0.517,2.662,2.023,2.215,0.073,0.056,0.053,0.513,0.288,2.03,0.355,0.225,3.25,0.825
0.077,0.174,0.32,0.442,2.845,2.252,2.079,0.081,0.055,0.054,0.502,0.282,2.022,0.358,0.367,3.273,0.907
0.078,0.26,0.322,0.415,2.686,2.486,1.98,0.072,0.091,0.053,0.502,0.563,2.018,0.361,0.227,3.208,0.843
0.077,0.179,0.32,0.464,3.252,1.737,2.706,0.079,0.056,0.052,0.512,0.307,2.318,0.358,0.234,5.411,0.892
0.098,0.198,0.32,0.468,2.892,1.939,1.988,0.073,0.057,0.053,0.512,0.286,2.835,0.358,0.405,3.34,1.015
0.078,0.177,0.322,0.418,2.649,1.925,1.839,0.073,0.055,0.052,0.516,0.289,1.969,0.355,0.225,3.153,1.029
0.084,0.19,0.492,0.511,3.014,2.203,3.021,0.08,0.061,0.055,0.541,0.3,2.259,0.359,0.225,3.155,0.896
0.082,0.224,0.348,0.416,2.773,1.934,3.297,0.078,0.056,0.053,0.51,0.283,2.042,0.36,0.235,3.037,0.852
0.077,0.226,0.321,0.45,3.227,1.956,1.919,0.074,0.056,0.053,0.557,0.282,2.076,0.359,0.213,2.973,0.959
0.077,0.176,0.321,0.426,3.471,1.917,1.835,0.075,0.06,0.053,0.512,0.284,2.231,0.354,0.222,3.187,1.607
0.078,0.173,0.318,0.43,3.414,1.928,3.463,0.08,0.06,0.058,0.507,0.283,2.08,0.344,0.226,2.983,0.835
0.076,0.185,0.349,0.414,2.743,1.976,2.605,0.074,0.055,0.05,0.515,0.495,2.063,0.355,0.247,3.495,0.871
0.076,0.172,0.318,0.444,2.61,2.01,1.848,0.077,0.062,0.051,0.501,0.281,1.966,0.357,0.235,3.331,1.063
0.098,0.211,0.351,0.49,3.534,2.068,1.91,0.076,0.057,0.052,0.509,0.331,2.024,0.355,0.218,3.171,0.888
0.077,0.173,0.319,0.499,3.384,2.513,2.41,0.074,0.055,0.05,0.559,0.28,2.014,0.532,0.24,3.183,0.823
0.076,0.183,0.319,0.415,2.711,1.961,1.973,0.077,0.056,0.051,0.509,0.285,1.987,0.367,0.214,3.235,0.855
0.076,0.196,0.337,0.417,2.614,2.377,2.079,0.079,0.054,0.052,0.619,0.311,2.222,0.361,0.225,3.159,0.823
0.1,0.256,0.45,0.878,2.799,1.983,2.311,0.197,0.17,0.106,0.576,0.365,1.965,0.477,0.307,3.146,1.372
0.079,0.178,3.578,0.413,2.732,1.899,2.008,0.072,0.056,0.054,0.512,0.282,2.064,0.361,0.227,3.47,0.861
0.079,0.175,0.35,0.49,2.572,1.948,2.101,0.079,0.06,0.056,0.66,0.544,2.016,0.338,0.234,3.253,0.842
0.078,0.173,0.328,0.415,2.639,1.922,1.932,0.081,0.059,0.05,0.502,0.297,2.014,0.357,0.318,3.135,0.83
0.118,0.175,0.329,0.414,2.542,2.306,2.112,0.089,0.06,0.054,0.536,0.281,1.931,0.605,0.225,3.08,0.824
0.089,0.227,0.331,0.416,2.538,1.893,2.025,0.101,0.065,0.051,0.511,0.298,1.962,0.356,0.219,2.947,0.908
0.079,0.176,0.35,0.415,2.539,1.857,1.989,0.077,0.057,0.056,0.581,0.301,1.963,0.34,0.221,3.212,0.882
0.08,0.179,0.355,0.437,2.788,1.931,1.992,0.079,0.058,0.06,0.542,0.483,2.068,0.336,0.225,3.18,0.867
0.076,0.174,0.326,0.443,3.153,2.332,1.959,0.128,0.061,0.058,0.537,0.338,2.211,0.354,0.231,3.131,0.883
0.089,0.181,0.327,0.418,2.777,1.883,2.104,0.081,0.081,0.052,0.502,0.285,1.947,0.356,0.233,3.142,0.824
0.076,0.186,0.329,0.417,2.564,1.883,1.831,0.075,0.056,0.053,0.57,0.279,1.965,0.355,0.222,3.225,0.963
0.082,0.183,0.354,0.486,3.857,1.974,1.877,0.079,0.057,0.052,0.543,0.303,2.065,0.355,0.282,3.185,0.881
0.077,0.177,0.353,0.473,2.671,1.751,1.832,0.078,0.057,0.066,0.504,0.314,2.157,0.339,0.226,2.976,0.879
0.084,0.19,0.35,0.411,2.53,1.927,2.925,0.083,0.06,0.052,0.641,0.306,2.159,0.356,0.225,3.409,0.944
0.077,0.179,0.331,0.416,3.236,2.099,1.997,0.078,0.057,0.053,0.557,0.282,1.999,0.356,0.228,3.157,0.815
0.076,0.213,0.356,0.412,2.583,2.02,2.009,0.073,0.061,0.053,0.513,0.285,1.967,0.391,0.225,3.153,0.823
0.08,0.177,0.326,0.434,2.637,1.919,1.828,0.079,0.058,0.052,0.631,0.286,1.994,0.339,0.223,3.328,0.916
0.078,0.177,0.339,0.412,2.655,2.014,1.773,0.076,0.057,0.051,0.589,0.282,2.172,0.357,0.222,3.146,0.902
0.097,0.184,0.345,0.443,2.785,1.935,2.438,0.122,0.057,0.069,0.51,0.282,1.998,0.358,0.225,3.231,0.835
0.095,0.17,0.326,0.414,2.868,1.913,2.176,0.079,0.056,0.057,0.509,0.281,1.93,0.342,0.224,3.065,0.866
