native,quick,fastsort,countingObj,countingObj2,countingObj3,gnome,shaker,lodash,bucket,merge,bubble,sbubble,insertion,selection
0.907,0.951,1.208,0.325,0.355,0.365,9.216,8.075,3.407,4.644,2.345,13.826,6.126,5.035,4.71
1.344,1.555,1.679,0.256,0.237,0.222,9.079,8.361,4.086,4.525,2.875,13.372,6.05,5.373,4.087
0.939,1.708,1.814,0.236,0.225,0.223,9.37,7.828,2.678,4.802,1.897,16.148,6.604,5.608,4.698
0.985,1.216,2.814,0.257,0.254,0.237,9.599,8.543,8.561,5.351,1.96,12.975,5.954,5.31,4.459
1.08,2.038,1.419,0.244,0.225,0.348,9.553,8.142,3.305,6.073,3.959,14.053,6.123,5.093,4.482
1.174,1.528,1.312,0.229,0.238,0.228,9.78,8.427,4.16,5.213,2.541,14.017,5.964,5.015,4.557
1.072,1.784,1.606,0.225,0.219,0.209,9.416,8.147,3.032,4.643,1.872,13.908,6.332,7.738,4.502
1.632,1.774,1.84,0.233,0.23,0.223,8.834,8.745,3.877,4.931,2.242,13.853,5.855,5.405,4.191
1.051,2.051,3.822,0.434,0.251,0.246,9.105,8.409,3.201,4.804,2.107,13.845,6.167,5.159,4.089
1.373,1.318,1.875,0.221,0.246,0.223,9.245,8.797,3.299,5.003,2.427,14.318,8.659,5.448,4.742
0.959,1.654,1.244,0.232,0.225,0.216,8.78,8.039,4.067,5.091,2.505,13.127,6.164,5.648,4.424
1.042,1.79,2.12,0.315,0.235,0.228,10.896,7.905,3.23,5.706,2.546,13.423,5.997,4.895,4.239
1.245,1.434,1.619,0.236,0.228,0.216,8.92,8.397,6.215,5.356,3.254,13.72,6.024,5.258,4.417
0.91,1.245,1.448,0.249,0.235,0.218,9.348,7.972,6.168,5.2,2.067,13.35,6.13,5.241,4.118
0.978,1.648,2.18,0.229,0.264,0.307,8.731,8.4,2.889,4.862,2.074,14.048,5.992,5.494,4.516
0.971,1.197,2.553,0.24,0.213,0.228,8.719,8.319,3.931,5.039,2.085,15.297,5.949,5.817,4.739
1.357,1.948,1.625,0.491,0.223,0.628,11.237,8.759,5.439,5.143,4.033,19.498,6.97,5.977,4.727
1.264,1.25,1.499,0.219,0.232,0.231,8.776,8.066,3.471,5.474,3.001,14.578,8.121,6.813,5.988
0.956,2.612,1.56,0.341,0.245,0.749,9.316,9.786,9.771,6.609,2.719,14.583,6.442,6.138,5.485
1.567,1.23,3.483,0.361,0.414,9.724,22.9,19.987,15.759,9.148,4.064,18.55,10.596,10.025,8.963
0.876,1.166,2.015,0.23,0.216,0.222,10.529,8.734,4.72,5.296,2.186,13.725,5.884,5.257,4.286
1.382,3.299,1.553,0.355,0.331,0.227,12.003,8.391,4.991,5.471,2.341,15.127,7.691,5.107,5.565
0.995,1.42,2.424,0.226,0.307,0.217,9.71,10.473,3.123,6.429,2.307,16.751,6.262,5.135,4.714
1.313,1.39,3.812,0.263,0.213,0.224,9.093,10.678,4.327,5.525,6.723,14.857,6.314,5.147,4.313
1.088,2.073,1.537,0.226,0.321,0.505,9.075,8.414,3.444,7.89,2.227,15.829,7.496,5.02,4.107
1.387,2.194,1.451,0.418,0.243,0.29,11.067,11.333,6.332,7.507,2.85,21.268,11.215,6.12,4.301
1.598,1.26,1.301,0.228,0.379,0.413,9.532,8.444,3.17,5.554,4.491,14.136,7.052,5.136,4.359
3.411,4.485,1.261,0.306,0.23,0.212,11.071,11.029,4.369,5.812,2.6,15.304,8.408,5.486,4.91
1.534,43.146,3.56,0.229,0.401,1.398,28.853,10.743,3.416,5.982,2.076,14.522,6.528,5.228,6.316
1.016,1.449,2.209,0.216,0.231,0.228,9.966,8.262,4.311,7.576,2.058,15.318,6.304,5.011,4.117
0.898,1.458,1.154,0.38,0.217,0.226,8.949,8.98,3.622,4.99,2.529,13.793,6.251,5.315,4.283
0.831,1.37,1.662,0.252,0.241,0.231,12.679,14.83,3.847,5.424,2.056,13.435,5.748,5.233,4.574
1.007,2.404,1.007,0.229,0.23,0.226,10.6,8.142,2.698,5.994,2.424,13.654,5.842,5.103,4.495
1.011,1.618,1.212,0.249,0.231,0.213,10.58,8.171,7.226,5.391,2.983,13.837,5.98,5.039,4.746
1.273,1.812,1.686,0.217,0.239,0.229,9.142,8.51,3.065,6.164,2.119,14.995,5.937,5.178,4.454
0.986,1.66,2.041,0.239,0.233,0.215,9.182,9.244,3.574,6.832,2.186,14.589,5.84,5.243,4.388
0.941,1.615,2.089,0.222,0.229,0.218,9.218,8.227,3.129,6.292,2.242,14.635,5.821,5.031,3.917
1.248,1.42,3.862,0.242,0.239,0.24,9.454,8.425,4.746,6.768,2.072,14.422,6.454,5.456,5.459
1.312,1.688,1.899,6.693,0.22,0.265,9.083,8.412,3.635,6.067,1.804,13.711,6.061,5.015,4.393
1.099,1.508,1.704,0.244,0.252,0.247,8.996,8.729,5.924,5.779,5.471,13.989,5.855,5.078,4.346
1.281,1.628,1.486,0.228,0.233,0.217,9.866,8.417,3.438,6.162,2.39,13.273,6.005,5.535,4.086
2.267,1.439,3.165,0.225,0.218,0.229,10.615,9.819,4.971,6.773,2.813,15.512,5.922,6.275,4.843
0.929,1.716,1.558,0.459,0.226,0.355,10.331,8.892,5.919,7.539,2.127,14.351,6.23,5.736,4.594
1.028,1.856,1.876,0.241,0.23,0.216,9.459,8.907,3.443,6.13,3.224,14.058,6.189,5.013,4.6
1.221,2.505,3.039,1.2,0.222,0.209,9.918,8.513,7.355,5.457,2.89,16.759,6.188,5.233,4.929
1.149,1.273,1.012,0.233,0.212,0.225,8.748,7.836,4.548,5.327,2.46,14.216,5.987,5.173,4.406
1.631,1.334,1.501,0.264,0.232,0.235,9.555,9.127,3.163,7.08,6.861,13.969,5.931,5.016,4.187
1.369,1.743,2.858,0.231,0.232,0.41,8.942,7.976,3.774,5.184,2.043,13.939,5.996,5.037,4.327
0.953,1.322,2.275,0.233,0.218,0.228,9.17,8.43,7.306,5.156,1.951,14.223,8.231,6.376,4.816
2.869,1.581,1.948,0.245,0.217,0.4,9.363,8.653,6.898,5.942,2.278,14.045,6.41,5.12,4.516
1.282,1.222,1.454,0.236,0.229,0.246,9.854,9.388,7.246,5.613,2.141,15.107,5.909,4.984,4.317
1.017,1.602,2.023,0.475,0.216,0.232,8.977,8.203,6.937,5.749,3.065,14.002,6.084,5.25,4.149
