native,quick,fastsort,counting,counting1,counting2,counting3,heap,radix,shell,gnome,shaker,lodash,bucket,merge,bubble,sbubble,insertion,selection
0.744,0.764,1.601,0.25,0.452,0.336,0.233,2.489,1.77,1.789,3.826,3.975,6.245,3.117,2.108,6.637,2.617,2.02,5.892
0.745,0.976,2.716,0.319,0.138,0.155,0.153,3.909,0.935,1.607,3.99,4.041,5.471,3.07,2.662,5.642,2.472,2.474,5.62
1.252,0.851,1.833,0.256,0.147,0.153,0.155,2.844,0.996,1.464,3.855,3.912,5.964,3.08,1.985,7.352,3.207,7.328,6.123
1.227,0.742,1.756,0.142,0.142,0.144,0.282,2.341,0.981,2.466,4.444,3.887,6.736,2.944,1.982,5.89,2.945,1.947,5.478
1.25,0.742,2.586,0.148,0.142,0.152,0.161,2.891,1.024,1.93,3.798,3.713,5.374,3.223,2.086,5.805,2.531,1.951,9.783
1.144,0.848,1.667,0.147,0.154,0.161,0.288,2.258,1.026,1.711,4.683,3.825,5.914,4.281,2.125,5.956,2.785,2.346,5.812
1.258,0.719,2.262,0.145,0.141,0.157,0.283,2.454,0.929,1.471,3.931,4.667,5.228,2.917,1.966,6.037,2.435,2.143,5.338
1.902,1.194,2.699,0.146,3.323,0.149,0.152,2.184,0.933,1.618,3.933,3.938,5.078,2.956,2.381,5.769,2.45,1.832,5.723
2.662,1.225,1.861,0.142,4.477,0.151,0.16,2.857,0.99,1.614,3.735,3.807,5.473,3.118,2.539,7.496,2.484,1.96,5.378
1.346,0.752,1.7,0.193,0.155,0.162,0.181,2.736,1.536,1.651,3.936,3.696,11.778,3.639,2.327,5.824,3.226,2.63,6.353
1.225,1.342,0.784,0.221,0.145,0.142,0.151,2.535,0.974,1.584,4.003,3.816,4.556,2.981,6.386,6.207,2.508,1.928,5.794
1.143,0.857,2.35,0.252,0.242,0.146,0.165,4.201,1.348,1.734,5.465,4.004,3.919,3.307,2.631,5.744,2.465,2.123,5.425
0.753,0.729,1.667,0.141,0.134,0.147,0.274,2.875,0.998,1.711,3.912,3.823,4.848,3.278,1.972,5.826,2.431,2.385,5.997
1.183,0.746,1.888,0.14,0.136,0.158,0.149,4.93,0.922,1.667,6.609,4.263,5.212,3.321,1.919,5.825,2.546,1.941,5.44
1.302,0.815,1.572,0.13,0.135,0.154,0.154,2.324,1.001,1.814,3.789,3.754,9.977,4.372,1.946,6.599,2.46,1.945,6.987
1.137,0.728,2.068,0.238,0.143,0.212,0.139,2.792,0.934,1.564,3.896,3.853,3.547,4.033,1.915,6.817,2.729,2.042,5.417
0.732,0.863,1.88,0.603,0.138,0.15,0.149,2.983,0.921,3.699,4.452,6.807,14.212,3.44,2.03,8.684,4.963,3.386,7.407
0.725,0.853,1.514,0.134,0.245,0.153,0.149,2.333,0.908,1.592,4.363,3.841,4.429,3.05,4.651,6.108,2.392,1.823,5.888
1.316,1.461,1.581,0.139,0.142,0.18,0.159,3.325,0.964,2.603,4.685,4.8,5.48,7.281,1.959,6.074,3.081,1.899,7.195
0.749,0.535,1.585,0.198,0.139,0.155,0.166,4.59,3.562,2.84,6.26,8.607,47.079,5.646,3.81,9.265,2.533,3.957,5.979
1.276,0.747,2.336,0.283,0.134,0.144,0.184,2.429,0.987,1.609,3.832,3.623,5.245,4.112,2.372,6.47,2.691,2.088,6.126
1.328,1.021,3.058,0.244,0.144,0.222,0.15,4.078,0.942,4.728,4.432,6.192,5.92,4.329,5.995,9.987,2.451,3.556,9.401
