native,quick,fastsort,counting,counting1,counting2,counting3,heap,radix,shell,gnome,shaker,lodash,bucket,merge,bubble,sbubble,insertion,selection
0.146,0.208,0.402,0.112,0.104,0.105,0.101,0.531,0.317,0.198,1.811,2.625,1.442,0.402,0.4,1.549,0.707,0.611,2.993
0.161,0.109,0.188,0.039,0.039,0.051,0.043,0.553,0.231,0.235,1.678,2.409,0.809,0.232,0.305,1.518,1.425,0.54,1.816
0.13,0.111,0.27,0.039,0.04,0.042,0.044,0.375,0.215,0.111,1.627,2.645,0.753,0.216,0.298,1.534,1.32,0.607,1.413
0.131,0.22,0.329,0.04,0.071,0.054,0.11,0.387,0.243,0.117,1.618,2.592,0.662,0.203,0.321,1.495,1.428,0.58,1.209
0.138,0.115,0.182,0.037,0.044,0.043,0.043,0.41,0.222,0.113,1.828,2.517,0.721,0.208,0.362,1.429,1.246,0.7,1.844
0.166,0.14,0.181,0.048,0.062,0.046,0.048,0.387,0.224,0.141,2.572,2.604,2.114,0.204,0.302,1.463,3.191,0.594,0.978
0.129,0.115,0.336,0.035,0.042,0.043,0.047,0.444,0.227,0.206,2.14,2.72,0.673,0.22,0.302,1.549,2.584,1.51,2.844
0.131,0.111,0.2,0.04,0.047,0.044,0.044,0.365,0.25,0.126,2.033,3.872,1.097,0.254,0.317,1.708,0.645,0.572,0.613
0.217,0.191,0.179,0.038,0.045,0.043,0.043,0.373,0.422,0.137,1.718,2.333,0.744,0.234,0.3,1.531,1.505,0.647,2.082
0.128,0.112,0.196,0.035,0.043,0.043,0.044,0.364,0.211,0.138,1.484,2.882,0.725,0.208,0.297,1.826,1.587,0.671,0.731
0.134,0.112,0.184,0.035,0.042,0.047,0.053,0.638,0.245,0.205,2.336,2.842,0.789,0.226,0.322,1.495,1.479,0.624,1.915
0.13,0.107,0.27,0.04,0.041,0.044,0.042,0.418,0.227,0.128,1.677,3.057,0.704,0.204,0.317,1.414,1.474,0.659,0.685
0.125,0.114,0.176,0.035,0.049,0.061,0.081,0.385,0.243,0.119,1.747,2.356,1.09,0.217,0.301,1.478,2.208,1.436,0.845
0.127,0.11,0.218,0.037,0.04,0.04,0.041,0.358,0.215,0.121,2.471,2.684,0.764,0.206,0.297,1.438,3.437,0.6,0.757
0.135,0.107,0.376,0.044,0.078,0.046,0.043,0.363,0.216,0.127,2.112,2.36,0.761,0.229,0.356,1.963,1.562,0.7,1.829
0.128,0.111,0.188,0.049,0.051,0.045,0.046,0.381,0.231,0.147,1.894,2.718,0.826,0.217,0.306,1.506,1.668,0.57,0.856
0.208,0.164,0.412,0.038,0.048,0.05,0.076,0.662,0.548,0.132,2.347,4.102,0.694,0.348,0.316,1.613,2.328,1.384,4.936
0.211,0.111,0.19,0.044,0.043,0.046,0.043,0.376,0.217,0.2,2.193,2.723,0.728,0.206,0.299,1.926,1.417,0.739,1.805
0.129,0.113,0.188,0.035,0.045,0.075,0.044,0.459,0.287,0.122,3.546,2.698,0.888,0.218,0.331,1.705,1.602,2.497,2.619
0.13,0.115,0.187,0.07,0.048,0.044,0.044,0.356,0.21,0.118,2.572,2.412,0.799,0.224,0.301,1.532,1.653,0.627,0.782
0.139,0.117,0.448,0.036,0.066,0.057,0.083,0.357,0.215,0.111,1.729,3.254,1.054,0.214,0.316,1.538,1.445,0.527,1.894
0.15,0.116,0.178,0.035,0.043,0.044,0.043,0.503,0.236,0.149,3.122,2.907,0.688,0.221,0.306,1.57,1.344,0.771,0.69
0.169,0.112,0.172,0.04,0.044,0.061,0.051,0.395,0.217,0.123,1.693,2.862,1.052,0.203,0.298,1.715,1.456,0.605,0.944
0.121,0.11,0.171,0.041,0.042,0.043,0.043,0.379,0.228,0.13,1.872,2.601,0.661,0.275,0.383,1.563,1.461,0.64,0.638
0.123,0.107,0.178,0.038,0.044,0.046,0.044,0.468,0.221,0.115,2.169,2.502,0.706,0.214,0.297,1.606,1.752,0.683,1.963
0.219,0.107,0.18,0.038,0.043,0.04,0.041,0.366,0.229,0.124,1.841,2.704,0.669,0.289,0.344,1.385,1.442,0.669,0.652
0.123,0.109,0.177,0.044,0.039,0.041,0.045,0.381,0.415,0.129,1.686,3.472,1.002,0.205,0.299,1.519,1.431,0.637,1.85
0.152,0.186,0.27,0.043,0.043,0.049,0.045,0.387,0.33,0.248,1.781,2.577,0.758,0.209,0.294,1.562,1.49,0.641,0.696
0.12,0.109,0.168,0.034,0.044,0.097,0.044,0.385,0.223,0.124,2.005,2.463,0.712,0.205,0.298,1.517,1.619,0.654,0.708
0.179,0.185,0.198,0.044,0.044,0.045,0.045,0.689,0.404,0.227,1.623,2.772,6.356,0.22,0.315,2.11,1.501,0.56,0.629
0.219,0.184,3.24,0.071,0.674,0.075,0.086,0.388,0.244,0.124,1.971,2.854,0.954,0.383,0.328,1.452,1.752,0.529,0.737
0.121,0.112,0.179,0.04,0.041,0.042,0.044,0.359,0.215,0.113,3.77,2.489,0.871,0.203,0.299,1.454,1.489,0.597,0.667
0.14,0.108,0.216,0.042,0.042,0.045,0.043,0.372,0.216,0.116,1.834,2.881,0.811,0.22,0.368,1.409,1.387,0.571,0.657
0.122,0.108,0.334,0.035,0.04,0.042,0.042,0.473,0.214,0.226,2.619,3.165,0.706,0.203,0.298,1.743,1.511,0.587,0.787
0.125,0.108,0.176,0.039,0.047,0.08,0.054,0.359,0.222,0.124,1.727,2.468,0.781,0.204,0.301,1.591,1.351,1.373,0.86
0.13,0.194,0.196,0.035,0.042,0.048,0.043,0.359,0.225,0.121,2.715,2.54,1.932,0.231,0.302,1.518,1.467,0.552,0.736
0.133,0.109,0.338,0.036,0.041,0.056,0.051,0.389,0.261,0.125,1.735,3.063,0.693,0.203,0.296,1.559,1.434,0.606,0.626
0.125,0.64,0.184,0.038,0.04,0.046,0.043,0.381,0.29,0.114,1.797,5.892,1.027,0.218,0.429,3.44,2.215,0.904,2.322
0.131,0.108,0.172,0.034,0.042,0.043,0.044,0.379,0.23,0.129,2.398,2.921,0.769,0.245,0.405,1.544,1.458,0.572,0.684
0.126,0.111,0.175,0.035,0.04,0.044,0.042,0.364,0.224,0.123,1.827,2.651,1.422,0.217,0.296,1.958,1.383,2.88,1.391
0.129,0.124,0.189,0.042,0.043,0.042,0.041,0.352,0.249,0.129,1.649,2.735,0.769,0.204,0.297,1.522,1.399,0.621,2.089
0.131,0.109,0.349,0.034,0.044,0.065,0.043,0.386,0.226,0.118,1.859,2.649,0.846,0.204,0.304,1.556,1.427,0.585,0.728
0.135,0.11,0.185,0.047,0.045,0.052,0.06,0.362,0.217,0.113,1.529,3.218,1.088,0.216,0.328,1.53,1.364,0.59,0.715
0.136,0.109,0.171,0.04,0.044,0.043,0.045,0.385,0.239,0.121,1.769,2.73,0.714,0.227,0.308,1.507,1.376,0.608,0.693
0.135,0.107,0.173,0.039,0.042,0.045,0.043,0.387,0.463,0.251,2.124,2.429,0.85,0.201,0.354,1.471,1.243,0.597,0.701
0.129,0.108,0.177,0.038,0.039,0.054,0.044,0.407,0.22,0.123,1.45,2.446,0.682,0.216,0.334,1.524,1.484,0.606,0.866
0.122,0.111,0.275,0.036,0.04,0.047,0.043,0.671,0.228,0.124,2.274,2.847,0.721,0.219,0.321,1.597,1.763,0.838,0.704
0.132,0.164,0.298,0.039,0.052,0.055,0.043,0.355,0.227,0.13,2.847,2.961,0.697,0.204,0.3,1.514,1.856,1.541,2.579
0.123,0.111,0.171,0.033,0.04,0.043,0.044,0.355,0.426,0.186,2.461,2.574,0.723,0.203,0.298,1.461,1.361,0.556,0.636
0.123,0.109,0.296,0.032,0.04,0.045,0.042,0.457,0.228,0.121,1.887,2.495,0.676,0.211,0.328,1.544,1.51,0.631,0.638
0.124,0.099,0.173,0.032,0.063,0.046,0.049,0.361,0.216,0.13,2.314,3.806,1.703,0.299,0.298,2.001,1.607,1.593,1.565
0.233,0.11,0.209,0.034,0.038,0.04,0.041,0.376,0.392,0.125,2.025,2.425,0.73,0.211,0.313,1.627,2.09,0.566,0.878
0.141,0.105,0.186,0.037,0.041,0.059,0.044,0.356,0.226,0.201,5.435,2.529,0.775,0.213,0.298,1.512,1.689,0.764,0.848
0.133,0.119,0.206,0.082,0.05,0.044,0.044,7.525,0.4,0.2,3.495,11.277,1.117,0.276,0.344,1.48,2.535,0.878,0.944
0.13,0.196,0.366,0.033,0.039,0.041,0.041,0.402,0.214,0.113,1.817,2.865,0.786,0.222,0.344,1.644,1.632,1.069,0.668
0.125,0.107,0.422,0.034,0.04,0.041,0.042,0.466,0.228,0.117,1.826,2.636,0.813,0.219,0.298,1.509,1.417,0.539,0.621
0.122,0.108,0.172,0.038,0.039,0.041,0.041,0.41,0.212,0.117,1.52,2.584,0.698,0.203,0.303,1.578,1.453,0.882,1.92
0.123,0.109,0.185,0.034,0.048,0.047,0.045,0.377,0.232,0.129,2.306,3.58,0.715,0.211,0.386,1.588,1.496,0.919,2.063
0.12,0.165,0.175,0.038,0.039,0.041,0.041,0.355,0.223,0.181,2.584,2.471,0.844,0.501,0.3,1.582,1.417,0.608,1.216
0.13,0.108,0.17,0.042,0.046,0.043,0.043,0.564,0.231,0.125,2.204,2.438,0.715,0.2,0.299,2.548,1.422,0.598,0.633
0.225,0.169,1.37,0.035,0.051,0.046,0.044,0.355,2.936,0.157,1.68,2.925,1.593,0.554,0.335,1.605,1.573,6.747,1.193
0.188,0.105,0.183,0.032,0.039,0.04,0.057,0.445,0.343,0.219,1.996,3.547,1.051,0.199,0.296,2.507,1.373,0.684,2.505
0.12,0.108,0.306,0.091,0.055,0.056,0.057,0.359,0.223,0.124,1.48,2.482,1.08,0.436,0.333,1.899,1.404,0.59,1.929
0.122,0.108,0.18,0.036,0.039,0.041,0.043,0.351,0.212,0.122,4.536,3.251,0.799,0.199,0.296,1.608,1.317,0.662,0.647
0.123,0.104,0.186,0.037,0.042,0.042,0.042,0.358,0.225,0.125,1.875,3.752,0.672,0.215,0.297,1.671,1.372,0.599,0.928
0.125,0.106,0.186,0.036,0.047,0.04,0.041,0.36,0.215,0.243,1.821,2.614,0.83,0.226,0.301,1.653,1.37,0.759,0.781
0.206,0.11,0.269,0.038,0.042,0.041,0.045,0.376,0.226,0.215,2.023,2.896,0.772,8.023,0.318,1.562,1.356,0.609,0.62
0.121,0.11,0.168,0.035,0.042,0.042,0.045,0.379,1.755,0.125,2.165,2.661,0.682,0.201,0.296,1.522,1.415,0.661,1.752
0.122,0.108,0.33,0.047,0.043,0.043,0.043,0.385,0.224,0.124,1.993,2.429,0.779,0.252,0.303,1.476,1.576,0.562,0.623
0.145,0.109,0.665,0.065,0.069,0.081,0.082,0.499,0.231,0.286,4.343,2.921,1.193,0.207,0.297,1.704,1.513,0.555,0.712
0.152,0.106,0.181,0.038,0.04,0.046,0.071,0.354,0.21,0.113,2.608,2.525,1.003,0.214,0.297,1.535,1.528,0.576,0.747
0.125,0.103,0.185,0.035,0.042,0.066,0.043,0.359,0.214,0.119,1.71,2.956,0.737,0.202,0.299,1.52,1.37,0.601,2.118
0.126,0.112,0.201,0.041,0.047,0.041,0.041,0.399,0.228,0.128,1.701,2.814,0.973,0.227,0.301,1.856,1.51,0.588,0.698
0.127,0.105,0.186,0.036,0.039,0.078,0.042,0.756,0.291,0.123,1.623,2.509,0.78,0.205,0.303,1.529,1.465,1.601,0.942
0.129,0.108,0.292,0.042,0.048,0.048,0.043,0.359,0.226,0.126,1.966,2.431,0.66,0.382,0.296,1.741,1.52,0.601,0.674
0.133,0.108,0.171,0.039,0.04,0.041,0.042,0.726,0.226,0.119,1.737,2.5,0.743,0.361,0.298,1.455,1.424,1.666,0.937
0.132,0.106,0.361,0.033,0.039,0.041,0.043,0.356,0.228,0.122,1.585,2.75,0.676,0.215,0.301,1.45,1.46,1.053,3.595
