native,quick,fastsort,countingObj,countingObj2,countingObj3,gnome,shaker,lodash,bucket,merge,bubble,sbubble,insertion,selection
0.153,0.231,0.227,0.163,0.168,0.2,4.425,4.603,0.844,0.24,0.33,3.976,2.821,1.849,2.071
0.14,0.154,0.211,0.075,0.065,0.073,3.378,4.417,0.954,0.224,0.323,2.736,2.658,1.718,1.747
0.144,0.155,0.244,0.072,0.088,0.065,3.751,4.286,0.6,0.223,0.32,3.288,2.964,2.472,1.718
0.138,0.295,0.261,0.093,0.155,0.092,4.227,4.343,0.561,0.21,3.411,3.169,1.657,0.884,1.461
0.14,0.163,0.348,0.072,0.065,0.063,3.727,4.967,0.909,0.207,0.509,3.497,2.711,2.043,1.573
0.14,0.157,0.206,0.075,0.078,0.069,3.602,4.222,1.43,0.212,0.323,2.938,2.723,1.006,1.627
0.192,0.17,0.225,0.073,0.066,0.063,3.517,4.559,0.934,0.219,0.352,3.422,3.359,1.615,0.328
0.135,0.161,0.197,0.074,0.066,0.064,5.06,5.672,1.062,0.226,0.338,3.089,2.48,0.892,0.652
0.172,0.252,0.204,0.075,0.124,0.068,4.44,4.847,0.769,0.208,0.319,2.883,2.823,0.962,1.781
0.142,0.163,0.311,0.074,0.113,0.069,3.661,5.092,0.638,0.213,0.321,3.803,2.688,0.909,2.268
0.285,0.157,0.232,0.082,0.076,0.077,4.183,4.339,0.597,0.222,0.322,2.838,2.631,3.132,1.426
0.145,0.153,0.243,0.096,0.075,0.066,3.785,4.226,0.738,0.208,0.338,3.687,2.834,0.989,1.005
0.14,0.162,0.2,0.081,0.067,0.084,3.589,4.317,1.515,0.222,0.321,2.791,2.911,1.568,1.7
0.138,0.161,0.226,0.076,0.064,0.067,3.765,4.55,0.656,0.209,0.32,3.056,2.752,3.551,1.063
0.14,0.158,0.21,0.073,0.063,0.082,4.818,4.464,0.616,0.349,0.339,3.111,2.879,1.066,1.541
0.157,0.16,0.369,0.078,0.07,0.071,3.65,4.902,0.574,0.221,0.323,2.997,2.926,0.955,6.337
0.238,0.32,0.238,0.084,0.078,0.113,6.05,6.986,1.28,0.318,0.338,3.092,3.245,1.56,0.289
0.165,0.198,0.219,0.074,0.067,0.073,3.509,4.429,1.394,0.21,0.319,2.986,2.638,1.07,1.572
0.14,0.165,0.336,0.077,0.066,0.069,4.92,6.049,0.729,0.22,0.343,3.01,2.866,1.468,3.461
0.173,0.164,0.224,0.076,0.066,0.065,3.908,4.543,0.596,0.224,0.32,2.966,3.025,2.071,2.684
0.144,0.163,0.388,0.089,0.068,0.066,3.325,4.445,0.883,0.209,0.318,2.91,2.77,1.893,1.73
0.137,0.167,0.198,0.084,0.095,0.155,3.566,4.241,0.617,0.222,0.321,2.753,2.589,0.882,0.923
0.295,0.182,0.328,0.079,0.077,0.071,3.889,4.256,0.691,0.208,0.32,3.081,3.049,1.312,1.191
0.138,0.163,0.198,0.074,0.151,0.077,3.757,4.402,0.554,0.25,0.45,2.645,2.666,0.937,0.851
0.14,0.155,0.35,0.076,0.066,0.099,5.539,4.34,2.536,0.213,0.317,2.982,2.656,2.044,1.517
0.151,0.163,0.198,0.074,0.066,0.062,3.567,4.768,0.571,0.244,0.346,3.314,2.608,2.635,1.401
0.142,0.164,0.317,0.072,0.07,0.064,3.888,5.308,1.162,0.208,0.321,3.191,2.761,0.935,1.482
0.248,0.99,0.301,0.077,0.069,0.065,3.665,4.706,0.583,0.207,0.317,2.903,2.644,2.092,1.604
0.145,0.163,0.208,0.084,0.076,0.063,3.413,4.498,0.592,0.207,0.316,2.848,2.773,2.825,1.214
0.146,0.317,0.201,0.078,0.105,0.129,3.658,4.605,0.614,0.221,0.338,3.47,3.158,0.992,1.063
0.236,0.442,1.105,0.096,0.077,0.076,3.651,6.745,1.281,0.343,0.406,2.81,2.902,2.116,1.823
0.144,0.169,0.36,0.074,0.078,0.064,3.626,5.583,0.639,0.208,0.524,2.95,3.207,1.311,1.115
0.148,0.165,0.244,0.092,0.082,0.074,4.323,4.225,0.645,0.218,0.503,3.819,2.575,0.876,1.024
0.133,0.159,0.213,0.071,0.075,0.066,3.539,4.642,0.614,0.208,0.317,2.871,2.599,2.283,1.601
0.136,0.156,0.207,0.08,0.069,0.067,3.571,4.381,0.628,0.21,0.36,2.841,2.671,1.618,1.693
0.144,0.351,0.214,0.075,0.066,0.066,3.876,4.544,1.351,0.225,0.322,2.957,2.622,1.549,0.997
0.216,0.276,0.221,0.227,0.091,0.068,3.646,4.246,0.774,0.206,0.318,2.992,3.179,1.393,1.133
0.146,0.261,0.227,0.072,0.066,0.087,4.236,5.628,1.076,0.427,0.396,5.552,4.269,1.631,4.052
0.143,0.178,0.2,0.093,0.068,0.079,3.308,4.201,1.22,0.221,0.357,3.332,2.592,2.64,1.506
0.14,0.167,0.206,0.074,0.065,0.09,3.583,5.616,0.551,0.217,0.32,3.511,2.72,2.622,1.496
0.137,0.16,0.265,0.075,0.065,0.068,3.793,4.466,0.599,0.209,0.322,3.195,2.613,0.923,2.205
0.135,0.152,0.223,0.074,0.084,0.067,3.566,4.925,0.525,0.21,0.318,3.475,3.113,1.029,1.591
0.161,0.164,0.34,0.076,0.071,0.071,3.489,4.886,0.883,0.318,0.447,2.802,2.752,0.936,1.068
0.136,0.168,0.186,0.074,0.068,0.082,3.158,5.089,0.83,0.224,0.318,2.9,2.955,0.96,1.21
0.195,0.159,0.228,0.081,0.114,0.11,3.804,4.6,0.985,0.206,0.321,3.104,2.58,0.897,1
0.148,0.166,0.302,0.077,0.097,0.078,4.269,4.746,0.625,0.217,0.334,2.887,2.634,0.98,2.471
0.209,0.16,0.311,0.073,0.064,0.082,3.721,4.686,1.051,0.222,0.338,3.006,2.78,2.931,1.088
0.133,0.15,0.212,0.076,0.107,0.071,3.916,4.353,0.579,0.205,0.319,2.839,4.32,1.708,1.73
0.148,0.166,0.221,0.07,0.062,0.061,3.338,4.59,1.636,0.208,0.318,2.979,2.595,2.125,0.973
0.143,0.161,0.222,0.073,0.064,0.067,3.726,4.927,0.58,0.216,8.438,2.877,2.658,2.659,1.108
0.135,0.156,0.187,0.08,0.064,0.08,4.258,5.787,0.726,0.332,0.686,3.775,6.922,1.657,1.636
0.247,0.161,0.205,0.071,0.066,0.064,3.968,5.887,0.597,0.219,0.358,3.863,2.876,1.134,1.648
0.139,0.163,0.202,0.106,0.079,0.072,3.893,5.991,1.224,0.215,0.316,4.05,4.172,2.651,1.105
0.152,0.228,0.694,0.15,0.127,0.136,64.65,20.987,1.46,0.246,0.488,3.146,7.798,2.633,7.864
0.152,0.168,0.246,0.106,0.066,0.115,4.052,4.78,0.937,0.225,0.353,2.933,2.619,1.571,0.959
0.144,0.16,0.437,0.071,0.072,0.066,3.736,4.337,0.509,0.209,0.322,3.152,2.594,2.041,1.724
0.146,0.158,0.199,0.072,0.083,0.067,3.581,4.478,0.659,0.208,0.319,3.036,2.771,1.114,1.704
0.134,0.247,0.202,0.109,0.074,0.068,3.461,6.011,0.561,0.218,0.328,3.553,2.648,1.456,3.098
0.155,1.225,0.23,0.078,0.066,0.1,3.322,4.185,1.163,0.531,0.322,3.555,2.638,0.942,1.297
0.237,0.161,0.21,0.072,0.063,0.062,3.934,6.718,0.63,0.206,0.402,3.19,2.51,1.017,1.159
0.258,0.286,1.318,0.125,0.074,0.063,8.276,4.228,2.978,0.229,0.371,2.94,2.806,2.284,1.647
0.31,0.156,0.32,0.071,0.083,0.072,3.452,4.811,0.542,0.279,0.32,3.149,2.5,2.318,1.521
0.136,0.155,0.322,0.083,0.074,0.079,4.72,4.245,0.604,0.25,0.316,3.156,3.136,2.599,1.415
0.133,0.229,0.189,0.071,0.065,0.066,3.977,4.601,0.52,0.204,0.315,2.982,2.638,1.157,2.768
0.137,0.154,0.313,0.074,0.079,0.073,4.378,4.254,0.926,0.218,0.32,2.879,2.514,0.935,0.908
0.139,0.165,0.194,0.075,0.064,0.261,4.265,4.625,0.604,0.341,0.319,2.986,2.749,2.798,0.984
0.181,0.163,0.382,0.076,0.093,0.072,3.214,4.993,0.821,0.242,0.386,2.827,2.65,3.208,0.971
0.141,0.158,0.207,0.073,0.063,0.075,3.372,4.489,0.612,0.205,0.318,2.93,2.643,0.999,1.433
0.147,0.156,0.227,0.079,0.065,0.062,5.072,4.08,0.747,0.22,0.45,2.808,4.074,0.886,0.906
0.158,0.167,0.666,0.14,0.118,0.106,5.055,4.799,1.075,0.208,9.814,2.806,2.622,0.91,1.602
0.138,0.309,0.193,0.077,0.067,0.062,3.555,4.535,0.526,0.224,0.318,2.923,3.043,2.44,1.051
0.136,0.207,0.201,0.092,0.072,0.078,3.856,4.317,1.263,0.212,0.347,2.943,2.835,1.074,1.66
0.134,0.157,0.255,0.072,0.063,0.062,3.86,4.437,0.533,0.221,0.32,3.314,2.712,0.908,1.554
0.139,0.162,0.188,0.077,0.063,0.064,3.735,4.248,0.642,0.208,0.32,2.919,2.602,1.58,1.794
0.133,0.154,0.259,0.093,0.074,0.065,4.036,5.132,0.947,0.407,0.316,2.835,2.639,2.343,1.016
0.159,0.158,0.222,0.072,0.065,0.085,3.666,4.383,1.029,0.22,0.317,2.888,2.662,1.661,2.017
0.136,0.157,0.242,0.081,0.069,0.064,3.706,5.078,0.674,0.267,0.395,2.85,2.899,1.436,2.086
0.232,0.155,0.202,0.071,0.063,0.065,3.183,4.465,0.576,0.207,0.355,2.784,2.615,1.059,1.239
0.138,0.152,0.289,0.073,0.066,0.064,3.585,4.589,1.688,0.222,0.32,2.846,2.674,1.867,1.705
0.305,1.092,0.2,0.076,0.064,0.064,3.381,4.449,0.577,0.22,0.318,2.847,2.656,1.228,1.477
0.137,0.186,0.214,0.07,0.061,0.095,3.406,7.507,1.029,0.217,0.367,2.922,2.624,2.188,1.555
0.137,0.163,0.232,0.072,0.067,0.077,3.619,4.669,0.638,0.209,0.319,3.112,2.674,1.141,1.086
0.141,0.163,0.526,0.07,0.066,0.071,3.267,7.28,0.557,0.205,0.316,2.976,3.042,2.414,1.518
0.137,0.164,0.484,0.07,0.067,0.061,4.055,4.311,0.565,0.204,0.317,4.188,2.56,0.823,1.586
0.142,0.248,0.202,0.071,0.065,0.061,3.629,4.217,1.2,0.238,0.317,2.867,2.73,1.525,1.907
0.142,0.156,0.343,0.071,0.062,0.06,3.848,4.253,0.666,0.217,0.398,2.92,2.896,0.898,1.57
0.187,0.155,0.199,0.071,0.064,0.068,3.371,5.65,2.702,0.208,0.339,2.828,2.59,2.036,1.187
0.135,0.16,0.222,0.07,0.063,0.068,4.382,4.248,1.062,0.207,0.322,4.118,2.836,0.949,1.765
0.143,0.158,0.335,0.102,0.062,0.061,3.666,4.531,0.522,0.543,0.319,2.805,2.658,2.436,1.671
