native,quick,fastsort,counting,counting1,counting2,counting3,heap,radix,shell,gnome,shaker,lodash,bucket,merge,bubble,sbubble,insertion,selection
0.027,0.059,0.113,0.025,0.024,0.024,0.023,0.226,0.08,0.066,0.469,0.285,0.286,0.126,0.144,0.563,0.193,0.176,0.202
0.039,0.064,0.102,0.027,0.026,0.025,0.022,0.216,0.078,0.083,0.485,0.29,0.455,0.123,0.138,0.773,0.316,0.956,0.33
0.024,0.061,0.1,0.026,0.024,0.029,0.025,0.217,0.079,0.064,0.73,0.287,0.311,0.126,0.139,0.552,0.185,0.176,0.191
0.027,0.114,0.103,0.025,0.028,0.055,0.025,0.236,0.079,0.067,0.46,0.297,0.328,0.121,0.158,0.569,0.282,0.172,0.193
0.024,0.059,0.101,0.028,0.029,0.028,0.026,0.272,0.08,0.064,0.516,0.29,0.378,0.166,0.138,0.64,0.21,0.19,0.219
0.025,0.06,0.113,0.028,0.025,0.024,0.023,0.215,0.081,0.067,0.505,0.286,0.296,0.173,0.141,0.575,0.197,0.189,0.237
0.025,0.061,0.106,0.025,0.025,0.024,0.022,0.21,0.079,0.069,0.556,0.289,0.289,0.173,0.169,0.572,0.221,0.202,0.901
0.024,0.061,0.099,0.029,0.03,0.034,0.031,0.216,0.08,0.08,0.657,0.293,0.287,0.231,0.139,0.795,0.311,0.163,0.189
0.025,0.06,0.099,0.025,0.024,0.025,0.023,0.217,0.08,0.072,0.552,0.286,1.147,0.135,0.139,0.58,0.259,0.22,0.229
0.044,0.061,0.101,0.024,0.025,0.024,0.022,0.214,0.079,0.066,0.579,0.285,0.4,0.17,0.138,0.601,0.224,0.207,0.23
0.024,0.061,0.102,0.026,0.027,0.024,0.022,0.238,0.079,0.068,0.45,0.288,0.29,0.139,0.147,0.669,0.338,0.174,0.19
0.024,0.06,0.099,0.026,0.029,0.027,0.024,0.215,0.128,0.135,0.747,0.288,0.294,0.266,0.146,0.687,0.315,0.172,0.238
0.026,0.06,0.101,0.026,0.024,0.027,0.103,0.211,0.079,0.066,0.548,0.286,0.303,0.128,0.138,0.536,0.205,0.189,0.218
0.024,0.075,0.102,0.027,0.029,0.027,0.025,0.216,0.081,0.064,0.494,0.285,0.287,0.182,0.14,0.586,0.204,0.223,0.213
0.025,0.06,0.226,0.028,0.025,0.024,0.022,0.324,0.089,0.063,0.479,0.282,0.285,0.194,0.135,0.545,0.188,0.23,0.193
0.025,0.063,0.106,0.028,0.038,0.024,0.022,0.264,0.087,0.109,0.48,0.308,0.33,0.13,0.147,0.747,0.315,0.17,0.199
0.027,0.062,0.1,0.025,0.027,0.029,0.027,0.209,0.08,0.074,0.5,0.285,0.285,0.123,0.133,0.634,0.288,0.155,0.173
0.027,0.06,0.101,0.032,0.029,0.025,0.024,0.217,0.094,0.064,0.493,0.286,0.287,0.138,0.147,0.615,0.215,0.183,0.2
0.028,0.06,0.102,0.024,0.025,0.026,0.022,0.214,0.078,0.066,0.677,0.292,0.286,0.167,0.137,0.82,0.54,0.199,0.2
0.027,0.062,0.113,0.032,0.027,0.03,0.033,0.27,0.091,0.062,0.442,0.309,0.31,0.175,0.14,0.638,0.329,0.165,0.247
0.028,0.06,0.1,0.026,0.027,0.029,0.025,0.212,0.084,0.067,0.485,0.286,0.285,0.121,0.14,0.692,0.324,0.182,0.187
0.026,0.063,0.106,0.029,0.027,0.027,0.025,0.227,0.083,0.067,0.588,0.313,0.312,0.168,0.147,0.653,0.215,0.202,0.227
0.025,0.06,0.102,0.026,0.026,0.026,0.223,0.212,0.084,0.063,0.568,0.285,0.29,0.164,0.14,0.536,0.211,0.189,0.277
0.025,0.06,0.1,0.026,0.025,0.024,0.022,0.221,0.081,0.064,0.515,0.513,0.321,0.125,0.139,0.611,0.194,0.221,0.218
0.025,0.061,0.1,0.026,0.027,0.027,0.026,0.22,0.079,0.06,0.503,0.286,0.338,0.132,0.146,1.81,0.239,0.186,0.301
0.025,0.061,0.141,0.027,0.028,0.027,0.025,0.259,0.106,0.066,0.548,0.286,0.353,0.123,0.139,0.571,0.202,0.202,0.221
0.025,0.063,0.101,0.026,0.029,0.034,0.027,0.231,0.096,0.07,0.543,0.29,0.411,0.122,0.14,0.608,0.328,0.188,0.194
0.024,0.06,0.125,0.029,0.028,0.026,0.024,0.213,0.079,0.123,0.498,0.289,0.287,0.17,0.159,0.768,0.33,0.182,0.208
0.024,0.062,0.235,0.028,0.034,0.033,0.027,0.216,0.08,0.067,0.455,0.286,0.282,0.146,0.147,0.55,0.229,0.24,0.187
0.025,0.059,0.099,0.025,0.028,0.026,0.025,0.214,0.08,0.067,0.481,0.323,0.307,0.132,0.146,0.783,0.505,0.18,0.342
0.026,0.065,0.127,0.031,0.031,0.036,0.028,0.233,0.092,0.074,0.496,0.292,0.293,0.125,0.14,0.696,0.312,0.174,0.981
0.024,0.247,0.102,0.026,0.024,0.024,0.022,0.211,0.093,0.065,0.495,0.286,0.28,0.174,0.139,0.71,0.333,0.166,0.188
0.025,0.22,0.105,0.025,0.025,0.026,0.022,0.215,0.079,0.064,0.674,0.287,0.291,0.128,0.139,0.535,0.194,0.185,0.217
0.026,0.067,0.115,0.03,0.027,0.03,0.034,0.227,1.128,0.071,1.178,0.308,0.337,0.147,3.049,0.546,0.209,0.186,0.223
