native,quick,fastsort,countingObj,countingObj2,countingObj3,gnome,shaker,lodash,bucket,merge,bubble,sbubble,insertion,selection
0.044,0.858,0.129,0.185,0.171,0.148,0.786,0.331,0.457,0.156,0.214,2.371,0.342,0.207,0.363
0.031,0.099,0.099,0.058,0.054,0.05,1.786,0.365,0.305,0.143,0.181,1.39,0.25,0.215,0.219
0.032,0.094,0.094,0.072,0.069,0.063,0.609,0.367,0.571,0.133,0.14,0.718,0.321,0.194,0.203
0.121,0.101,0.303,0.061,0.061,0.07,0.574,0.371,0.277,0.645,8.256,0.955,0.87,0.193,0.264
0.029,0.092,0.094,0.082,0.892,0.083,0.526,0.439,0.374,0.136,0.141,4.58,0.446,0.243,0.223
0.031,0.141,0.101,0.07,0.077,0.096,0.52,0.378,0.302,0.142,0.158,3.026,0.657,0.203,0.29
0.047,0.1,0.1,0.063,0.06,0.053,0.745,0.309,0.257,0.134,0.151,5.968,0.293,0.216,3.235
0.03,0.62,0.098,0.058,0.057,0.056,0.489,0.673,0.329,0.138,0.142,4.788,0.377,0.187,0.196
0.044,0.099,0.102,0.067,0.769,0.069,0.557,0.434,0.26,0.149,0.142,2.207,0.443,0.219,0.221
0.033,0.1,0.284,0.058,0.054,0.132,0.493,0.366,0.253,0.145,0.149,5.226,0.203,0.537,0.208
0.028,0.093,0.094,0.067,0.069,0.065,0.675,0.366,0.257,0.133,0.222,2.223,0.324,0.182,0.174
0.03,0.114,0.127,0.149,0.08,0.07,0.825,0.312,0.257,0.136,0.306,0.623,2.098,0.225,0.247
0.033,0.106,0.133,0.065,0.06,0.093,0.546,0.422,0.3,0.142,0.148,3.43,0.341,0.197,0.234
0.037,0.097,0.094,0.067,0.076,0.247,0.765,0.341,0.276,0.146,0.147,3.181,0.233,1.383,0.238
0.031,0.115,0.1,0.064,1.161,0.087,0.508,0.336,0.26,0.135,0.171,4.796,0.256,0.203,0.211
0.03,0.098,0.128,0.073,0.062,0.11,0.52,0.825,0.374,0.142,0.164,0.709,0.217,0.186,0.272
0.028,0.856,0.146,0.067,0.056,0.058,1.214,0.341,1.264,0.21,0.153,2.535,0.234,0.231,0.229
0.031,0.105,0.671,0.076,0.064,0.061,0.567,68.926,0.282,0.142,0.153,2.583,0.216,0.209,0.217
0.032,0.092,0.456,0.058,0.06,0.054,1.408,0.584,0.254,0.138,0.157,3.422,0.259,0.206,0.2
0.029,0.092,0.097,0.064,0.054,0.05,0.519,0.351,0.281,0.134,0.142,2.105,0.215,0.205,0.207
0.092,0.143,0.096,0.062,0.057,0.052,0.765,0.326,0.254,0.132,0.143,0.656,0.241,0.228,0.245
0.03,0.09,0.112,0.059,0.059,0.051,0.497,1.686,0.371,0.145,0.189,2.427,0.218,0.228,0.208
0.03,0.101,0.105,0.15,0.06,0.053,0.585,0.313,0.399,0.151,0.16,0.809,0.359,0.228,0.232
0.03,0.093,0.101,0.078,0.088,0.072,0.515,0.349,0.268,0.145,0.175,2.187,0.35,0.19,0.208
0.028,0.091,0.109,0.082,0.066,0.052,0.489,0.312,0.262,0.142,0.154,0.773,0.339,0.187,0.199
0.03,0.093,0.094,0.062,0.056,0.054,0.689,0.308,0.274,0.133,0.141,2.437,0.221,3.112,0.21
0.029,0.093,0.281,0.062,0.067,0.051,0.77,0.31,0.26,0.139,0.145,2.734,0.24,0.251,0.229
0.029,0.251,0.094,0.061,0.055,0.062,0.491,0.32,0.252,0.212,0.144,2.188,0.326,0.187,0.207
0.031,0.096,0.094,1.523,0.064,0.055,0.514,0.332,0.27,0.219,0.141,3.203,0.272,0.199,0.212
0.029,0.092,0.095,0.06,0.056,0.062,0.51,0.481,0.253,0.155,0.141,2.06,0.207,0.203,0.212
0.033,0.127,0.1,0.075,0.058,0.055,0.878,0.323,0.337,0.143,0.142,2.05,1.433,0.217,0.223
0.03,0.095,0.096,0.058,0.056,0.053,0.456,0.48,0.28,0.134,0.14,2.494,0.187,0.181,0.181
0.029,0.107,0.095,0.062,0.078,0.053,1.154,0.316,0.254,0.133,0.151,2.279,0.22,0.214,0.228
0.029,0.092,0.095,0.055,0.059,0.056,0.514,0.334,0.259,0.144,0.159,0.751,0.681,0.201,0.266
0.03,0.092,0.094,0.059,0.056,0.054,0.532,0.31,0.256,0.136,0.141,2.563,0.756,0.208,0.31
0.029,0.092,0.095,0.058,0.053,0.049,0.727,0.379,1.081,1.083,0.142,2.616,0.212,0.543,0.419
0.03,0.095,0.095,0.064,0.074,0.053,0.754,0.334,0.255,0.137,0.147,2.388,0.235,0.226,0.243
0.03,0.093,0.095,0.06,0.093,0.068,1.761,0.333,0.402,0.136,0.141,2.136,0.293,0.178,0.245
0.03,0.1,0.094,0.062,0.057,0.053,0.536,0.421,0.263,0.137,0.141,3.43,0.355,0.218,0.228
0.029,0.091,0.094,0.061,0.055,0.057,0.855,0.339,0.269,0.139,0.146,2.277,0.233,0.217,0.232
0.027,0.093,0.099,0.081,0.061,0.049,0.711,0.314,0.251,0.138,0.137,2.321,0.206,0.199,0.214
0.027,0.264,0.092,0.063,0.05,0.048,0.512,0.472,0.249,0.133,0.139,2.354,0.221,0.199,0.212
0.028,0.089,0.093,0.062,0.053,0.05,0.556,0.316,0.26,0.133,0.139,2.244,0.316,0.209,0.234
0.027,0.091,0.092,0.054,0.049,0.051,0.779,0.342,0.254,0.139,0.138,2.038,0.219,0.22,0.217
0.029,0.12,0.092,0.06,0.053,0.049,0.532,0.537,0.248,0.131,0.141,2.411,0.315,0.21,0.248
0.027,0.095,0.092,0.061,0.063,0.053,0.681,0.357,0.255,0.132,0.138,2.098,0.201,0.197,0.209
0.028,0.093,0.105,0.057,0.053,0.054,0.685,0.312,0.25,0.134,0.14,2.328,0.2,0.199,0.389
0.027,0.092,0.095,0.056,0.056,0.05,0.66,0.312,0.253,0.133,0.138,2.102,0.196,0.192,0.205
0.029,0.089,0.092,0.06,0.056,0.055,0.563,0.317,0.249,0.154,0.138,2.444,0.417,0.199,0.213
0.027,0.091,0.091,0.059,0.076,0.058,0.698,0.32,0.354,0.149,0.138,2.572,0.241,0.214,0.218
0.032,0.092,0.092,0.057,0.052,0.05,2.513,0.313,0.307,0.132,0.137,2.261,0.245,0.226,0.241
0.027,0.09,0.092,0.059,0.053,0.05,0.503,0.316,0.25,0.149,0.154,3.189,0.543,0.201,0.209
0.029,0.091,0.093,0.055,0.063,0.05,0.609,0.339,0.251,0.191,0.146,2.104,0.459,0.487,0.179
0.027,0.09,0.091,0.057,0.053,0.049,0.791,0.31,0.28,0.135,0.139,2.16,0.227,0.22,0.366
0.029,0.088,0.092,0.081,0.053,0.049,0.713,0.312,0.249,0.139,0.14,2.437,0.217,0.238,0.218
0.028,0.089,0.161,0.056,0.257,0.137,0.753,0.313,0.25,0.139,0.137,2.522,0.216,0.224,0.214
0.029,0.1,0.096,0.056,0.055,0.062,0.933,0.765,0.273,0.141,0.509,2.428,0.476,0.242,0.256
0.027,0.09,0.091,0.063,0.059,0.054,0.488,0.316,0.306,0.133,0.137,0.665,0.318,0.189,0.189
0.027,0.091,0.093,0.059,0.054,0.05,0.737,0.31,0.257,0.207,0.145,2.515,0.226,0.212,0.214
0.029,0.092,0.092,0.052,0.056,0.049,0.64,0.313,0.253,0.133,0.138,2.263,0.321,1.03,0.186
0.029,0.094,0.115,0.062,0.064,0.047,0.532,0.343,0.276,0.133,0.14,2.501,0.367,0.21,0.221
0.062,0.092,0.093,0.057,0.053,0.046,0.521,0.317,0.258,0.131,0.16,2.209,0.339,0.207,0.195
0.029,0.095,0.097,0.061,0.405,0.054,0.965,0.38,0.268,0.139,0.342,2.67,0.433,0.223,0.224
0.028,0.09,0.093,0.459,0.066,0.05,0.758,0.312,0.247,0.138,0.14,2.26,0.274,0.211,0.246
0.028,0.091,0.091,0.062,0.052,0.047,0.506,0.336,0.268,0.132,0.138,0.657,0.201,0.233,0.212
0.028,0.089,0.091,0.058,0.059,0.047,0.71,0.313,0.399,0.139,0.144,0.608,0.243,0.207,0.286
0.027,0.089,0.093,0.054,0.049,0.046,0.794,0.312,0.268,0.132,0.14,2.21,0.235,0.246,0.246
