native,quick,fastsort,counting,counting1,counting2,counting3,heap,radix,shell,gnome,shaker,lodash,bucket,merge,bubble,sbubble,insertion,selection
0.073,0.187,0.342,0.1,0.104,0.108,0.164,0.568,0.328,0.217,2.872,4.633,1.036,0.489,0.424,2.329,2.269,0.86,0.804
0.066,0.126,0.231,0.047,0.046,0.055,0.048,0.733,0.243,0.156,2.499,4.153,0.554,0.229,0.426,2.125,0.81,0.611,5.604
0.06,0.116,0.218,0.05,0.045,0.095,0.046,0.449,0.241,0.144,2.929,2.967,0.582,0.347,0.353,1.956,1.822,0.643,0.743
0.063,0.13,0.222,0.06,0.05,0.043,0.044,1.445,0.254,0.145,2.738,4.87,0.548,0.267,0.307,2.352,2.465,0.774,2.687
0.062,0.124,0.22,0.041,0.04,0.055,0.104,0.455,0.213,0.152,2.837,2.93,0.554,0.229,0.276,2.663,2.461,0.698,1.382
0.059,0.271,0.234,0.046,0.046,0.053,0.045,0.491,0.256,0.138,2.738,3.918,0.557,0.23,0.287,2.111,2.069,0.67,3.339
0.054,0.137,0.213,0.04,0.043,0.065,0.094,0.457,0.941,0.142,2.41,3.378,0.549,0.227,0.745,2.504,0.814,0.671,2.051
0.059,0.128,0.607,0.052,0.055,0.454,0.061,2.895,0.218,0.151,5.227,3.058,45.584,0.27,0.529,7.247,2.117,0.667,1.105
0.071,0.191,0.376,0.1,0.109,0.189,0.111,0.531,0.347,0.215,2.322,4.647,1.167,0.321,0.408,2.43,2.248,0.76,0.8
0.059,0.127,0.55,0.05,0.047,0.051,0.047,0.475,0.209,0.146,8.36,2.798,0.55,0.231,0.277,2.024,2.196,0.67,2.635
0.056,0.202,0.219,0.048,0.049,0.123,0.049,0.454,0.218,0.144,5.704,5.566,0.562,0.254,0.284,2.048,3.678,0.701,11.135
0.054,0.123,0.223,0.045,0.101,0.067,0.068,0.789,0.215,0.196,2.54,3.016,0.626,0.226,0.278,2.352,3.287,2.118,0.731
0.058,0.146,0.225,0.047,0.088,0.051,0.044,0.45,0.211,0.152,2.324,3.031,0.554,0.279,0.28,1.926,2.861,0.732,3.41
0.056,0.121,0.22,0.043,0.043,0.047,0.044,0.454,0.251,0.156,2.275,3.273,0.552,0.23,0.276,2.294,1.905,0.706,0.969
0.056,0.131,0.216,0.048,0.047,0.143,0.044,0.455,0.212,0.152,2.871,4.174,0.545,0.232,0.285,2.313,1.861,1.771,3.155
0.055,0.12,0.231,0.046,0.043,0.049,0.042,0.458,0.214,0.143,2.358,2.978,0.572,0.228,0.279,1.983,1.956,0.676,4.067
0.211,0.119,0.223,0.044,0.076,0.049,0.041,0.45,0.214,0.143,2.363,3.197,6.701,0.226,0.282,6.609,2.003,0.713,3.572
0.055,0.121,0.221,0.044,0.042,0.041,0.039,0.454,0.211,0.146,2.183,3.749,1.407,0.227,0.281,1.945,6.924,0.77,1.174
0.056,0.118,0.22,0.047,0.046,0.043,0.043,0.449,1.853,0.146,2.394,3.317,0.568,0.224,0.278,1.917,2.137,0.684,0.797
0.055,0.121,0.22,0.044,0.044,0.048,0.045,0.456,0.216,0.156,2.91,2.932,0.542,0.23,4.301,2.191,1.856,1.074,4.608
0.058,0.122,0.229,2.183,0.047,0.046,0.045,0.453,0.36,0.153,2.584,7.169,0.97,3.066,0.3,2.633,2.582,1.226,1.266
0.055,0.118,0.781,0.043,0.042,0.044,0.061,0.457,0.213,0.428,2.963,2.916,0.576,0.229,0.301,2.053,2.334,1.087,4.272
0.054,0.119,0.218,0.049,0.044,0.045,0.039,0.449,0.33,0.139,2.368,3.768,1.423,0.815,0.421,2.038,1.919,0.636,0.706
0.054,0.12,0.219,0.046,0.05,0.055,0.051,0.457,0.213,0.146,4.341,3.1,0.556,0.232,0.279,1.961,2.582,0.706,0.977
0.063,0.121,0.227,0.044,0.046,0.045,0.049,0.451,0.212,0.149,2.46,2.883,0.616,1.322,0.33,2.218,3.783,0.726,3.894
0.056,1.375,0.253,0.045,0.047,0.046,0.042,0.614,0.212,0.154,2.663,7.007,0.733,0.226,0.285,2.099,1.961,1.348,3.734
0.055,0.121,0.211,0.043,0.05,0.049,0.041,0.45,0.435,0.147,2.872,2.942,0.607,0.227,2.954,2.269,2.807,0.736,1.025
0.054,0.236,0.23,0.041,0.043,0.044,0.04,0.445,0.31,0.141,2.688,3.205,0.55,0.232,0.285,2.609,2.147,0.698,2.885
0.059,0.129,0.313,0.077,0.048,0.054,0.049,0.451,0.337,0.149,4.477,6.31,0.588,0.349,0.276,3.018,2.325,0.64,0.792
0.059,0.122,0.246,0.043,0.043,0.043,0.045,0.595,0.208,0.19,2.53,3.085,0.891,0.238,0.328,3.081,2.496,0.668,1.24
0.051,0.115,0.208,0.037,0.039,0.037,0.04,0.44,0.22,0.429,2.53,2.907,0.55,0.22,0.351,2.43,1.87,0.695,0.822
0.054,0.115,0.213,0.041,0.04,0.041,0.038,0.448,0.28,0.14,2.51,3.484,0.542,0.258,0.37,1.952,1.924,0.821,1.25
0.067,0.123,0.212,0.04,0.039,0.039,0.037,0.451,0.213,0.144,4.35,3.585,0.59,0.223,0.329,2.005,1.927,0.966,0.784
0.052,0.115,0.212,0.076,0.046,0.04,0.039,0.444,0.272,0.14,2.514,3.982,0.588,0.228,0.294,2.473,1.876,0.888,4.169
0.05,0.115,0.253,0.046,0.039,0.04,0.037,0.46,0.212,0.136,3.057,3.373,0.552,0.231,0.299,1.996,2.019,0.67,7.248
0.05,0.118,0.358,0.066,0.041,0.041,0.037,0.446,0.208,0.141,2.297,2.971,0.544,0.22,0.285,2.119,2.461,0.615,2.293
0.052,0.117,0.211,0.037,0.043,0.039,0.037,0.442,0.207,0.141,3.548,3.131,0.619,0.224,0.277,2.154,1.864,0.69,0.804
0.049,0.112,0.212,0.04,0.042,0.131,0.039,0.449,0.199,0.134,2.299,2.892,0.545,0.222,0.296,2.034,0.862,0.61,2.514
0.051,0.242,0.314,0.04,0.04,0.042,0.045,0.543,0.245,0.126,3.205,3.037,0.548,0.269,0.293,2.046,3.982,0.67,0.939
0.054,0.118,0.215,0.041,0.041,0.046,0.041,0.476,0.208,0.164,2.821,3.157,0.568,0.227,0.271,1.99,1.919,0.758,1.535
