native,quick,fastsort,countingObj,countingObj2,countingObj3,gnome,shaker,lodash,bucket,merge,bubble,sbubble,insertion,selection
0.079,0.286,0.452,0.158,0.17,0.203,3.552,5.153,0.721,0.302,0.359,3.005,2.867,2.011,10.071
0.066,0.19,0.219,0.166,0.087,0.092,2.523,4.201,0.524,0.238,0.471,4.547,0.98,1.552,0.279
0.066,0.178,0.628,0.092,0.081,0.083,2.837,3.358,0.553,0.391,0.503,3.278,2.28,2.614,0.983
0.068,0.208,0.208,0.092,0.088,0.087,2.704,3.572,0.517,0.245,0.377,2.955,0.739,2.207,1.965
0.063,0.184,0.214,0.09,0.077,0.085,2.604,3.624,0.527,0.245,0.286,4.462,3.03,4.863,2.479
0.063,0.214,0.221,0.662,0.077,0.459,2.549,11.681,0.562,0.269,0.726,3.546,6.001,3.387,0.39
0.059,0.181,0.207,0.084,0.073,0.082,2.973,3.341,0.52,0.241,0.443,2.885,3.656,3.557,2.623
0.065,0.187,0.239,0.1,0.089,0.089,2.822,4.344,3.88,0.26,0.566,6.552,5.06,3.449,1.478
0.075,0.253,0.239,0.241,0.182,0.206,2.541,3.777,0.862,0.271,0.3,3.242,3.25,3.323,3.368
0.063,0.197,0.277,0.093,0.114,0.128,2.506,5.943,0.514,0.241,0.327,5.948,2.52,9.527,3.498
0.061,0.192,0.211,0.114,0.073,0.083,3.396,4.809,0.967,0.377,0.293,6.121,2.981,3.903,1.809
0.06,0.18,0.209,0.092,0.072,0.116,2.993,5.406,0.567,0.238,0.29,3.993,2.889,2.189,1.129
0.062,0.205,0.218,0.09,0.113,0.087,4.107,3.744,1.432,0.294,0.289,3.06,3.069,1.874,5.378
0.061,0.179,0.319,0.111,0.085,0.086,3.036,4.094,0.583,0.394,0.289,3.096,2.905,2.415,2.763
0.061,0.201,0.21,0.094,0.074,0.088,2.495,5.286,0.714,0.24,0.356,3.505,2.374,0.834,0.295
0.06,0.178,0.211,0.083,0.071,0.097,4.414,3.359,0.527,0.244,0.798,2.877,2.193,2.315,0.34
0.061,0.177,0.208,0.084,0.086,0.084,2.447,14.626,0.576,0.238,0.287,4.552,2.942,3.698,1.625
0.061,0.176,0.207,0.085,0.079,0.1,3.428,3.589,0.552,0.265,0.294,2.863,2.543,2.417,2.092
0.061,0.175,0.21,0.089,0.083,0.089,3.053,3.841,0.527,0.24,0.291,3.052,2.561,0.999,1.156
0.061,0.176,0.211,0.087,0.073,0.097,2.855,3.201,1.309,0.245,0.317,4.004,2.673,1.777,3.865
0.063,0.185,0.222,0.087,0.083,0.086,2.661,4.879,0.658,0.78,0.31,6.627,2.624,9.161,2.694
0.06,0.177,0.306,0.095,0.075,0.085,3.151,3.426,0.549,0.239,0.314,2.959,2.659,2.779,0.421
0.06,0.184,0.21,0.084,0.094,0.084,5.104,3.393,0.564,0.481,0.319,2.836,2.505,2.732,1.332
0.059,0.187,0.209,0.091,0.262,0.085,4.329,4.334,0.517,0.497,0.289,2.756,0.809,2.439,0.746
0.069,0.179,0.221,0.088,0.074,0.087,2.588,4.909,0.581,0.277,0.368,4.345,4.041,3.488,5.155
0.061,0.323,0.211,2.644,0.081,0.183,5.205,3.391,0.553,0.238,0.293,2.842,2.452,2.69,6.728
0.061,0.239,0.207,0.112,0.08,0.085,7.201,3.524,0.544,0.24,0.489,3.179,2.714,1.84,4.069
0.059,0.217,0.209,0.1,0.094,0.1,2.551,3.674,0.521,0.238,0.292,3.007,5.608,2.373,1.969
0.066,0.185,0.333,0.091,0.099,0.086,7.423,9.924,2.306,0.578,0.285,2.872,2.98,1.886,1.003
0.065,0.314,0.247,0.089,0.084,0.084,2.872,4.675,0.577,0.258,0.365,3.432,9.665,2.56,1.931
0.058,0.174,0.243,0.08,0.07,0.079,2.847,3.882,0.713,0.239,0.303,3.991,0.732,2.211,2.387
0.085,0.215,0.206,0.081,0.071,0.218,2.839,3.335,0.602,0.249,0.45,3.216,2.85,3.185,1.847
0.058,0.171,0.21,0.09,0.226,0.08,5.176,4.09,0.545,0.239,0.312,2.862,2.476,1.931,9.021
0.059,0.176,0.232,0.14,0.082,0.084,2.589,3.54,0.548,0.239,0.289,2.784,3.051,2.46,4.142
0.058,0.179,0.211,0.08,0.167,0.078,3.097,3.365,0.514,0.249,0.308,2.807,3.037,2.767,0.418
0.06,0.174,0.271,0.103,0.07,0.242,3.813,5.041,0.807,0.253,0.355,2.978,2.892,2.149,3.172
0.06,0.179,0.213,0.119,0.071,0.087,2.855,4.434,0.56,0.239,0.286,3.722,2.384,2.516,1.036
0.058,0.174,0.207,0.082,0.077,0.081,2.459,4.013,0.515,0.235,0.304,2.805,2.247,2.319,1.844
0.058,0.225,0.353,0.1,0.08,0.123,2.514,3.425,0.545,0.28,0.3,3.138,2.28,2.488,1.019
0.062,0.181,0.208,0.085,0.071,0.084,3.261,4.192,0.57,0.234,0.286,2.994,2.91,2.552,1.158
0.062,0.178,0.207,0.104,0.07,0.085,2.896,3.824,0.54,0.236,0.288,2.854,2.457,2.012,4.082
0.06,0.18,0.206,0.081,0.068,0.114,2.549,3.636,0.577,0.237,0.389,3.437,2.526,2.085,2.245
0.061,0.375,0.206,0.089,0.078,0.083,2.465,4.993,0.536,0.251,0.294,3.726,2.426,0.915,1.283
0.058,0.176,0.36,0.085,0.072,0.086,2.521,4.814,0.507,2.071,0.287,3.232,3.509,2.076,4.423
0.058,0.173,0.214,0.091,0.149,0.083,3.311,4.323,0.511,0.233,0.3,3.527,2.844,2.384,4.536
0.178,0.196,0.224,0.081,0.077,0.082,3.009,3.505,0.517,0.234,0.318,3.398,2.87,2.266,9.075
0.062,0.188,0.221,0.087,0.086,0.08,3.466,3.297,0.57,0.242,0.351,4.468,3.146,1.98,1.781
0.058,0.18,0.21,0.081,0.07,0.082,3.786,12.961,0.595,0.258,7.426,5.356,2.86,7.562,7.966
0.062,0.194,0.346,0.098,0.1,0.279,7.746,8.911,0.543,0.314,0.304,42.369,3.63,1.942,0.981
0.081,0.193,0.306,0.085,0.09,0.118,2.726,3.503,0.587,0.235,0.301,3.078,2.304,3.177,1.026
0.059,0.178,0.205,0.095,0.075,0.074,2.651,4.416,0.68,0.238,0.337,2.966,2.408,2.024,3.988
0.058,0.187,0.209,0.086,0.071,0.078,2.837,3.821,0.693,0.236,0.284,3.185,2.321,2.385,8.496
0.062,0.173,0.213,0.085,0.088,0.079,2.859,4.625,0.571,0.238,0.283,3.584,2.583,2.863,0.309
0.059,0.205,0.488,0.088,0.071,0.099,2.887,4.089,0.561,0.252,0.289,2.928,2.623,1.063,1.266
0.058,1.272,0.207,0.076,0.181,0.077,2.869,4.49,0.55,0.238,0.365,3.769,2.604,6.335,0.289
0.071,0.231,0.208,0.087,0.068,0.088,3.234,3.358,0.533,0.57,0.427,2.877,4.466,2.216,1.819
0.059,0.177,0.26,0.085,0.079,0.083,4.198,4.019,0.515,0.248,0.288,3.58,2.519,1.953,1.073
0.065,0.179,0.21,0.09,0.084,0.079,2.547,3.882,0.61,0.252,0.487,3.468,4.864,2.954,2.065
0.06,0.193,0.219,0.566,0.091,0.085,8.084,10.727,0.554,0.256,0.641,79.827,2.799,2.807,2.112
