native,quick,fastsort,countingObj,countingObj2,countingObj3,gnome,shaker,lodash,bucket,merge,bubble,sbubble,insertion,selection
0.187,0.569,1.2,2.758,0.26,0.246,3.702,5.342,4.202,0.574,1.905,6.069,4.687,3.47,2.709
0.165,0.764,1.29,0.175,0.148,0.255,10.922,6.172,2.361,0.56,0.755,7.413,3.43,3.867,4.982
0.165,0.476,0.991,0.158,0.858,0.145,3.825,5.125,4.448,0.804,0.784,7.156,3.687,2.851,3.188
0.163,0.475,1.428,0.169,0.159,0.141,6.016,6.913,4.234,0.622,1.008,5.012,4.662,6.487,3.375
0.175,0.524,1.084,0.158,0.145,0.15,4.558,6.422,3.021,0.56,0.811,5.329,3.503,6.184,3.161
0.174,0.52,3.411,0.177,0.15,0.144,7.842,5.506,2.001,1.013,0.753,9.039,3.479,4.09,3.023
0.175,0.504,1.296,0.234,0.15,0.147,16.125,4.693,2.159,0.68,1.111,14.149,7.916,2.992,3.4
0.207,0.724,1.193,0.152,1.775,0.149,6.083,6.557,2.388,8.689,0.771,5.882,5.458,3.192,5.201
0.165,2.192,1.283,0.162,0.154,0.205,5.158,11.905,3.289,0.555,0.799,20.352,5.676,4.487,2.697
0.173,1.209,2.411,0.153,0.143,0.138,7.617,5.533,3.263,0.553,0.845,5.772,3.973,3.727,2.662
0.164,0.491,1.096,0.145,0.134,0.143,6.247,6.968,2.22,0.787,0.755,5.161,3.354,3.821,2.915
0.165,0.525,1.529,0.156,0.141,0.145,3.826,8.045,3.084,0.568,1.614,6.076,4.407,4.882,2.805
0.176,0.545,1.291,0.154,0.143,0.156,5.302,4.214,3.326,0.884,1.643,5.541,5.914,12.255,5.363
0.164,0.469,1.581,0.162,0.145,0.198,4.94,4.577,2.4,24.31,0.801,52.34,11.126,5.21,3.713
0.169,0.503,2.113,0.157,0.711,0.444,4.259,4.236,2.127,0.556,2.074,5.153,4.308,2.915,33.356
0.165,0.476,1.141,0.155,0.138,0.15,4.277,4.314,3.759,0.559,0.757,5.184,10.178,3.151,2.949
0.184,0.707,0.951,0.161,0.152,0.148,4.475,5.573,2.53,0.586,1.083,5.394,4.901,2.902,2.937
0.298,0.535,1.138,0.241,0.15,0.148,7.196,146.664,4.089,0.607,1.065,6.649,3.555,4.895,4.202
0.165,0.568,1.042,0.191,0.181,0.149,10.82,8.352,2.797,0.623,1.133,6.129,4.677,3.557,2.949
0.164,0.494,1.691,0.149,0.14,0.143,3.9,4.393,4.576,0.553,0.839,7.466,3.568,3.747,3.171
0.17,0.547,1.272,0.153,0.149,0.145,6.284,5.134,4.841,0.571,1.322,5.262,3.477,3.274,3.04
0.165,0.479,1.299,0.343,0.148,0.15,4.872,4.308,2.596,0.588,0.822,5.434,3.681,4.755,3.291
0.175,0.527,0.94,0.155,0.15,0.141,4.214,6.481,2.305,0.583,4.002,5.524,3.547,2.751,2.733
0.169,0.478,1.083,0.158,0.142,0.14,4.398,4.277,1.967,0.554,0.832,6.76,3.489,4.186,9.1
0.333,0.504,1.492,0.158,0.143,0.142,5.326,4.688,2.035,0.608,0.774,4.745,5.257,3.086,2.779
0.17,0.514,1.39,0.158,0.148,0.142,5.729,4.609,2.36,0.596,0.778,5.318,3.746,3.656,3.234
0.171,0.525,1.418,0.152,0.144,0.14,3.739,4.451,3.541,0.57,1.13,5.694,4.027,3.919,3.599
0.17,0.489,1.492,0.144,0.138,0.166,4.163,5.242,2.337,0.597,0.807,5.294,4.723,3.445,2.921
0.174,0.551,0.954,0.157,0.153,0.148,3.773,5.996,2.913,1.387,0.808,7.104,3.948,2.935,2.735
0.176,0.857,1.313,0.159,0.149,0.148,3.936,4.99,2.524,0.608,0.935,5.789,3.656,2.944,3.515
0.178,0.526,0.914,0.153,0.147,0.143,3.989,4.619,2.192,0.636,0.792,5.198,3.599,3.134,3.238
