native,quick,fastsort,counting,counting1,counting2,counting3,heap,radix,shell,gnome,shaker,lodash,bucket,merge,bubble,sbubble,insertion,selection
0.156,0.544,0.809,0.129,0.136,0.181,0.57,1.688,1.836,0.745,2.406,6.183,1.937,0.687,2.892,2.461,2.673,1.974,5.362
0.14,0.492,0.761,0.097,0.097,0.086,0.094,2.23,5.753,5.206,5.164,3.164,3.029,0.542,0.719,3.043,3.426,1.828,7.851
0.142,0.305,0.607,0.089,0.09,0.289,0.089,2.118,0.484,0.432,2.869,3.219,1.666,0.857,4.583,8.029,5.402,2.688,5.011
0.141,0.303,0.604,0.093,0.087,0.089,0.089,2.057,0.565,7.61,2.891,7.824,1.723,0.563,1.523,2.445,2.056,2.256,4.404
0.149,0.32,0.918,0.128,0.087,0.089,0.083,1.654,0.688,0.423,2.487,4.414,1.522,0.584,1.544,3.754,3.593,3.648,4.932
0.148,0.381,0.66,0.1,0.089,0.093,0.132,2.681,0.48,0.395,6.734,3.187,1.509,0.62,0.739,3.108,4.461,1.953,5.149
0.209,0.383,0.608,0.093,0.089,0.092,0.087,7.081,1.144,2.908,5.143,4.215,3.042,0.718,22.418,3.051,2.249,1.914,4.536
0.155,0.35,4.209,0.088,0.09,0.11,0.088,1.717,0.596,0.716,3.113,5.163,1.95,0.565,0.723,5.682,3.038,1.942,6.541
0.14,0.309,0.606,0.089,0.255,0.098,0.089,2.839,0.609,0.729,3.72,6.762,2.026,0.533,0.942,18.431,2.151,2.443,4.292
0.146,0.319,1.124,0.086,0.089,0.093,0.091,1.539,0.484,0.38,3.732,4.239,1.459,0.545,0.752,2.493,2.059,1.862,4.51
0.14,0.31,0.6,0.091,0.086,0.091,0.088,1.593,0.486,0.4,2.298,4.315,2.659,0.59,0.72,3.277,2.038,2.03,4.69
0.139,0.325,0.608,0.091,0.094,0.088,0.085,1.764,0.504,0.395,3.901,3.002,1.579,0.678,0.893,2.571,2.077,2.212,4.789
0.148,0.322,0.605,0.094,0.088,0.313,0.089,1.978,0.46,0.382,2.713,3.119,2.414,0.696,0.754,2.938,2.224,3.074,5.517
0.139,0.304,0.598,0.088,0.089,0.087,0.092,2.757,1.372,0.382,3.85,11.297,1.484,8.029,1.005,47.798,2.308,2.242,4.758
0.141,0.308,0.785,0.09,0.09,0.087,0.091,5.022,0.487,0.401,4.237,5.333,1.668,0.584,0.782,3.119,2.214,3.359,7.216
0.139,0.449,0.611,0.099,0.092,1.461,0.104,3.374,0.489,0.396,5.677,5.009,1.508,0.555,0.826,2.659,2.142,1.944,6.2
0.155,0.456,0.651,0.092,0.09,0.089,0.086,1.685,0.484,0.383,2.378,3.517,1.607,0.565,0.788,3.507,2.132,2.267,8.013
0.149,0.593,0.854,0.095,0.088,0.097,0.091,1.52,0.892,0.853,3.376,3.38,1.803,0.573,1.116,2.736,3.196,1.986,6.069
0.141,0.441,0.605,0.091,0.087,0.086,0.095,1.505,0.52,0.422,2.313,4.499,1.551,0.803,0.773,2.574,2.12,2.248,5.628
0.14,0.483,0.635,0.093,0.096,0.092,0.089,1.798,0.494,0.387,2.69,3.224,1.925,0.533,0.755,2.635,2.053,2.56,6.543
0.461,0.305,0.601,0.092,0.089,0.09,0.088,1.663,0.46,0.381,2.246,6.038,2.37,0.578,1.512,2.54,2.158,1.933,4.513
0.156,0.303,0.64,0.086,0.088,0.087,0.088,4.954,0.462,0.408,2.296,3.318,1.441,0.545,0.767,3.073,2.074,1.945,4.502
0.15,0.32,0.65,0.092,0.091,0.089,0.089,1.725,0.485,0.379,2.6,3.103,1.578,0.61,0.753,2.357,5.009,1.685,5.024
0.141,0.304,0.598,0.091,0.09,0.093,0.089,5.8,0.486,0.387,2.311,3.134,1.563,0.54,0.717,2.42,2.54,8.084,28.527
0.144,0.314,1.107,0.092,0.087,0.087,0.246,2.142,0.482,0.375,2.747,3.217,1.485,0.551,0.726,2.62,2.149,1.988,5.132
0.144,0.313,0.614,0.091,0.093,0.149,0.089,2.528,0.471,0.385,2.362,3.342,1.7,3.344,0.777,2.551,2.644,2.07,4.73
0.142,0.317,0.8,0.088,0.089,0.089,0.09,2.379,0.486,0.376,3.056,3.561,1.488,0.598,0.755,2.831,5.738,1.925,4.568
0.143,0.311,0.614,0.088,0.087,0.086,0.083,4.832,0.561,0.405,2.424,3.162,1.5,0.564,0.891,2.474,2.267,1.923,5.737
0.148,0.331,0.64,0.09,0.109,0.101,0.088,1.815,0.917,0.381,2.291,3.773,2.061,0.562,0.914,2.601,2.076,2.116,4.76
0.149,0.317,0.633,0.092,0.099,0.087,0.086,3.263,0.482,0.401,2.52,3.248,1.818,0.57,0.76,3.125,2.204,2.011,6.167
0.15,0.382,0.644,0.092,0.089,0.088,0.089,1.581,0.516,0.389,2.394,3.13,1.788,0.561,0.748,2.552,2.469,2.494,4.885
0.146,0.32,0.813,0.091,0.091,0.194,0.087,1.641,0.487,0.376,2.339,3.303,1.499,0.586,1.112,2.704,2.103,3.212,4.47
0.146,0.321,0.63,0.096,0.087,0.089,0.086,2.238,0.482,0.441,2.342,3.841,1.494,0.559,0.786,2.494,2.155,2.463,4.819
0.146,0.332,0.79,0.091,0.095,0.092,0.088,2.093,0.484,0.391,2.279,3.249,1.504,0.566,3.054,4.055,2.207,2.112,4.578
0.146,0.321,0.707,0.095,0.092,0.094,0.098,1.941,0.491,0.398,2.705,4.265,1.517,0.568,0.79,2.531,2.28,1.982,5.184
0.261,0.319,0.798,0.091,0.091,0.087,0.088,3.158,0.482,0.377,5.721,3.498,1.519,0.56,0.747,3.141,2.832,2.08,4.599
0.146,0.322,0.642,0.091,0.087,0.085,0.08,1.575,0.55,0.409,2.423,3.402,1.515,0.658,0.749,2.832,10.343,1.998,4.448
0.145,0.324,0.632,0.089,0.088,0.098,0.091,3.682,0.484,1.304,3.62,3.154,1.521,0.561,0.755,2.532,3.014,1.949,4.583
0.146,0.325,0.677,0.093,0.09,0.092,0.084,1.768,0.548,0.412,2.345,8.062,1.53,0.569,0.752,2.53,2.995,2.185,15.403
0.152,0.335,0.865,0.094,0.093,0.091,0.092,2.083,0.597,0.436,3.005,7.786,9.954,0.573,2.453,2.795,7.569,2.064,5.398
0.151,0.336,0.667,0.092,0.09,0.092,0.089,8.267,0.509,0.411,3.185,3.346,1.581,0.612,0.835,2.833,2.301,2.184,7.121
0.156,0.343,0.686,0.093,0.089,0.094,0.09,5.65,0.53,0.423,2.489,3.568,1.656,0.637,1.609,6.553,2.736,2.928,5.208
0.155,0.423,0.8,0.095,0.091,0.153,0.09,2.451,0.523,0.448,3.187,10.193,1.681,0.707,0.817,4.88,2.41,3.679,12.007
0.154,0.34,0.793,0.098,0.093,0.096,0.092,4.888,0.523,0.425,3.336,3.773,12.25,0.611,0.814,2.774,22.526,16.666,36.502
0.154,0.358,0.767,0.097,0.092,0.689,0.087,4.067,2.81,0.547,3.042,3.909,6.081,0.613,0.814,2.885,2.265,118.644,5.751
0.156,0.344,0.691,0.094,0.094,0.095,0.094,14.986,0.515,0.411,2.623,5.23,1.704,0.603,0.819,3.168,2.301,2.163,6.254
0.155,0.564,0.89,0.098,0.093,0.091,0.101,16.385,0.519,0.419,3.337,11.125,1.634,0.646,0.849,3.039,4.437,9.019,15.829
0.154,0.353,0.725,0.102,0.094,0.092,0.094,5.655,0.522,0.43,6.263,3.455,1.624,0.84,0.891,3.459,2.218,2.226,4.851
0.155,0.349,0.86,0.096,0.092,0.104,0.093,6.915,1.122,0.409,9.23,4.769,1.698,0.605,0.81,2.796,2.227,2.889,10.907
0.154,0.343,0.684,0.093,0.099,0.103,0.086,1.975,7.472,0.442,3.103,6.163,1.623,0.601,0.809,3.208,3.24,2.153,7.806
12.867,0.347,0.748,0.114,0.092,0.09,0.092,7.154,0.523,0.412,3.363,3.57,3.464,0.903,0.813,3.758,3.676,3.821,6.113
0.15,0.403,1.892,0.09,0.088,0.09,0.091,1.861,0.506,11.206,2.672,3.457,1.828,0.588,0.79,2.943,2.216,2.147,5.888
0.146,0.351,0.649,0.091,0.091,0.09,0.094,3.195,0.836,0.396,2.424,3.407,1.677,0.591,0.799,2.607,2.186,2.936,5.867
0.402,0.344,0.651,0.089,0.088,0.086,0.086,1.565,2.603,0.5,2.533,3.431,1.874,0.583,0.777,3.913,13.379,2.454,8.929
0.147,0.33,0.785,0.09,0.107,0.089,0.086,14.519,0.496,1.524,15.028,4.137,1.598,0.634,0.903,3.455,2.195,2.191,5.106
0.158,0.345,0.671,0.093,0.089,0.09,0.088,18.369,0.506,0.401,4.557,3.395,1.575,0.596,6.583,5.471,2.203,2.061,6.991
0.156,0.352,0.699,0.103,0.091,0.089,0.088,14.047,0.693,0.523,2.468,3.269,1.637,0.609,0.814,2.792,14.998,2.154,6.273
0.148,0.326,1.514,0.088,0.086,0.105,0.087,6.969,2.588,0.407,2.936,5.553,1.545,1.019,0.774,4.135,7.815,3.267,6.666
0.147,0.327,1.922,0.253,0.089,0.09,0.091,2.122,6.331,0.411,2.369,3.419,1.586,0.594,0.957,2.708,2.235,2.057,6.469
0.155,0.418,0.82,0.097,0.092,0.099,0.095,3.606,0.715,0.405,2.569,3.694,1.996,0.611,0.843,2.936,2.494,2.224,8.994
0.16,0.341,0.689,0.096,0.093,0.883,0.093,5.195,0.519,0.424,2.533,5.384,1.636,0.614,0.817,4.085,2.416,2.777,5.801
0.156,0.551,0.688,0.096,0.094,0.099,0.09,1.845,0.523,0.413,3.67,3.643,2.236,0.702,0.822,3.442,2.357,5.124,5.157
0.151,0.336,0.703,0.519,0.437,0.093,0.09,7.347,0.506,2.798,3.471,3.943,6.041,0.596,0.802,2.662,2.188,8.036,6.317
0.165,0.461,0.642,0.132,0.09,0.091,0.085,7.031,0.494,0.384,2.399,3.286,1.953,0.571,0.767,2.688,2.229,2.074,12.706
0.146,0.322,0.645,0.09,0.089,0.093,0.086,12.589,0.507,0.405,3.243,8.406,1.541,0.571,0.776,3.571,2.25,5.374,5.451
0.142,0.317,0.627,0.09,0.088,0.089,0.086,1.573,0.506,0.377,2.305,3.785,1.583,0.563,0.749,2.924,2.11,2.002,5.748
0.142,1.801,0.633,0.088,0.081,0.082,0.077,2.78,0.489,0.389,2.675,4.508,2.066,0.567,0.782,2.764,2.458,1.992,5.915
0.143,0.31,0.633,0.087,0.087,0.099,0.089,4.311,0.541,0.39,2.568,3.916,2.141,2.345,0.874,2.805,2.394,1.992,5.632
0.146,0.326,0.644,0.089,0.085,0.09,0.086,3.082,0.53,0.388,2.317,3.655,1.68,0.811,0.771,2.808,2.167,2.062,5.089
0.152,0.342,0.668,0.097,0.117,0.094,0.094,7.056,0.513,0.416,6.627,4.35,2.629,0.609,1.216,3.535,2.267,2.256,8.376
0.154,0.357,0.682,0.097,0.088,0.098,0.094,4.878,0.521,2.249,3.501,4.371,1.797,0.634,0.942,4.674,3.657,16.569,7.027
0.159,0.355,0.787,0.1,0.098,0.336,0.407,11.414,7.023,0.49,2.601,5.298,1.719,0.621,0.836,5.691,3.612,2.156,6.808
0.157,0.357,0.797,0.106,0.094,0.092,0.092,7.577,0.523,11.84,2.788,3.807,1.956,0.607,1.552,3.066,2.499,2.127,5.036
0.151,0.374,0.747,0.094,0.091,0.095,0.085,2.254,0.506,0.423,3.594,3.93,2.192,0.651,0.788,2.712,2.28,2.09,5.068
0.152,0.335,0.667,0.095,0.092,0.089,0.092,3.469,0.831,0.426,5.961,4.798,1.571,0.779,0.795,7.851,2.498,2.075,9.577
0.263,0.331,0.825,0.091,0.813,0.091,0.085,20.516,0.498,0.536,2.961,7.962,1.537,0.569,0.773,4.379,2.836,2.403,5.11
0.146,0.334,0.651,0.089,0.082,0.088,0.157,2.545,0.494,0.397,2.477,4.355,1.672,0.611,0.769,2.948,2.592,2.014,7.389
0.146,0.321,0.86,0.092,0.088,0.085,0.089,3.077,0.538,0.392,6.381,3.463,3.094,0.577,1.199,2.871,2.123,4.161,10.719
0.145,0.327,1.076,0.095,0.088,0.089,0.089,2.312,1.922,0.901,2.514,3.275,2.065,0.701,0.864,2.542,2.097,2.028,5.284
0.144,0.539,0.631,0.09,0.087,0.082,0.1,2.85,0.518,0.637,3.178,3.272,1.709,0.579,1.09,2.836,2.161,3.361,8.297
0.146,0.589,0.642,0.089,0.086,0.086,0.081,1.975,0.491,0.383,3.072,4.041,5.622,0.576,0.779,2.669,2.183,2.412,12.679
0.146,0.329,0.66,0.088,0.094,0.104,0.088,1.703,0.501,0.394,2.955,3.134,1.528,0.573,3.583,3.894,2.339,2.259,10.428
0.145,0.325,1.148,0.087,0.092,0.121,0.087,2.684,0.501,0.411,2.688,3.337,1.618,0.596,0.787,2.757,2.263,2.266,7.561
0.149,1.51,0.662,0.093,0.094,0.099,0.09,5.58,0.516,0.403,2.495,5.32,1.575,0.605,0.801,2.936,2.214,2.266,6.751
0.151,0.331,1.092,0.092,0.137,0.094,0.088,1.89,0.504,0.407,2.613,3.394,1.612,0.593,1.082,2.694,2.334,2.101,5.254
0.357,0.342,0.84,0.274,0.091,0.093,0.088,5.274,0.507,0.421,4.386,3.337,1.606,0.597,0.792,2.653,2.244,2.057,6.88
0.152,0.331,1.562,0.096,0.089,0.091,0.095,2.2,0.517,0.428,2.682,9.998,2.095,0.613,1.1,2.838,2.737,2.151,6.844
0.156,0.566,0.683,0.094,0.095,0.093,0.092,6.55,0.533,0.415,14.743,8.061,1.872,22.874,0.924,3.763,26.991,2.505,11.848
0.16,0.347,1.024,0.103,0.093,0.093,0.088,2.654,0.536,0.884,2.638,3.598,1.73,0.641,0.843,2.917,2.335,3.257,6.005
0.214,0.421,0.735,0.1,0.1,0.099,0.094,4.242,0.66,0.453,6.504,5.042,3.462,0.639,0.859,2.986,3.907,2.203,5.302
0.156,0.351,0.7,0.096,0.094,0.094,0.09,1.924,0.554,0.416,2.557,6.516,2.141,1.258,0.814,2.8,2.354,6.016,5.202
0.154,0.343,0.736,0.097,0.092,0.096,0.09,2.229,0.715,1.059,2.598,3.442,2.456,0.613,0.82,4.178,2.271,10.008,9.101
0.215,0.421,0.685,0.097,0.093,0.096,0.093,2.381,0.518,0.433,11.594,5.136,1.72,0.757,0.82,3.474,2.762,2.3,8.497
0.186,0.421,1.17,0.151,0.16,0.182,0.166,2.499,0.783,0.542,2.55,7.365,9.652,0.684,0.952,3.032,2.548,2.187,5.425
0.158,0.346,0.69,0.093,0.095,0.104,0.096,2.154,0.516,0.421,2.557,3.626,3.279,0.603,0.828,3.329,2.849,3.139,5.032
0.149,0.355,0.663,0.311,0.09,0.094,0.087,2.767,0.504,0.408,2.457,4.405,1.868,0.613,0.789,2.71,2.313,2.149,5.324
0.15,0.338,1.994,0.095,20.977,0.094,1.305,2.691,0.714,0.453,4.775,5.992,2.437,0.587,0.8,2.797,2.331,2.744,5.393
0.145,0.513,0.65,0.089,0.09,0.104,0.118,2.2,0.492,0.407,4.24,3.209,2.038,0.572,5.915,3.719,8.645,2.146,4.991
0.148,0.339,0.664,0.088,0.086,0.089,0.08,6.427,0.478,0.391,4.596,5.292,3.183,0.771,0.825,3.401,2.137,2.213,4.825
0.142,0.313,0.639,0.086,0.085,0.089,0.082,3.752,0.51,0.515,2.413,3.481,2.013,0.605,0.747,5.929,2.387,2.075,5.561
0.144,0.324,0.632,0.087,0.084,0.114,0.081,1.791,0.521,0.386,2.244,3.367,1.809,0.896,0.812,2.629,2.124,3.32,4.641
0.144,0.321,0.704,0.087,0.085,0.089,0.081,6.279,0.477,0.482,2.359,6.004,1.872,0.56,0.791,2.793,2.089,1.979,5.117
0.143,0.321,0.871,0.098,0.081,0.086,0.097,2.093,0.479,0.816,5.188,3.557,1.515,0.557,0.747,3.536,2.154,2.618,6.691
0.144,0.314,0.628,0.089,0.085,0.083,0.084,1.764,0.673,1.746,2.304,3.578,3.226,0.561,0.746,3.312,2.254,1.956,4.639
0.142,0.516,1.334,0.095,0.092,0.086,0.085,2.006,0.669,0.403,2.169,3.39,1.873,0.581,3.933,2.554,2.187,1.941,4.658
0.142,0.365,0.629,0.089,0.086,0.084,0.085,3.053,0.479,0.403,10.513,3.549,1.784,0.559,0.756,2.628,2.113,2.046,5.522
0.146,0.334,0.645,0.094,0.087,0.085,0.09,2.118,2.929,0.427,3.373,4.517,1.928,0.749,1.279,7.217,4.588,3.82,5.371
0.147,0.337,0.651,0.088,0.086,0.093,0.407,1.72,0.715,0.389,3.509,4.489,1.584,0.724,0.787,2.688,12.739,2.065,8.609
0.17,0.646,0.651,0.087,0.088,0.089,0.087,2.034,0.604,13.245,2.384,4.17,1.84,0.573,6.009,3.025,5.548,2.225,6.927
0.147,0.394,0.641,0.092,0.093,0.09,0.085,2.38,0.527,0.405,2.439,3.354,1.541,0.658,0.77,4.335,2.348,2.675,5.343
0.156,0.353,0.651,0.09,0.089,0.405,0.092,3.819,0.637,0.397,6.229,3.812,1.541,0.574,1.141,3.136,2.181,2.747,4.788
0.143,0.323,0.63,0.158,0.093,0.089,0.085,2.415,0.479,0.392,4.645,4.514,2.673,0.558,0.754,2.751,2.521,2.01,4.905
0.142,0.32,0.641,0.089,0.085,0.088,0.081,5.507,0.564,0.379,2.335,3.35,2.031,0.554,0.744,3.658,2.111,1.985,5.389
0.142,0.32,1.316,0.088,0.087,0.15,0.134,3.931,4.318,0.38,2.606,9.472,1.515,0.557,0.764,2.94,2.208,3.799,4.891
0.143,0.317,0.632,0.093,0.086,0.084,0.085,5.89,0.479,0.388,5.445,3.225,1.536,0.572,0.747,2.518,2.227,1.982,5.466
0.142,0.315,1.772,0.087,0.085,0.084,0.087,6.45,0.475,0.392,2.337,3.408,1.507,0.561,0.752,2.608,2.096,2.281,4.543
0.143,0.313,0.628,0.084,0.092,0.087,0.081,6.47,0.479,0.595,2.435,3.573,4.275,1.007,0.753,2.648,2.136,3.827,8.207
0.142,0.318,0.671,0.088,0.085,0.084,0.088,1.726,0.483,0.365,2.283,3.17,1.514,0.762,5.927,3.707,3.251,2.001,4.705
0.148,0.327,0.646,0.094,0.088,0.092,0.083,1.89,0.498,0.417,2.655,3.867,3.049,0.587,0.772,2.904,3.716,3.219,6.202
0.151,0.401,0.685,0.097,0.092,0.1,0.092,2.694,2.176,0.428,3.715,4.55,5.36,0.61,9.792,3.46,3.697,2.252,5.804
0.155,0.343,0.686,0.094,0.093,0.165,0.172,1.752,0.519,0.423,2.628,4.214,1.642,0.725,0.88,3.254,2.443,2.615,5.309
0.154,0.349,0.686,0.093,0.095,0.096,0.089,1.818,0.518,0.416,2.861,3.589,1.695,0.607,0.943,2.843,2.301,2.617,5.859
0.154,0.34,0.695,0.097,0.102,0.092,0.101,2.502,0.519,0.415,2.744,3.636,1.734,0.614,0.818,3.159,6.501,2.234,5.238
0.147,0.326,0.699,0.094,0.086,0.091,0.087,6.888,1.363,0.391,2.873,5.97,1.993,0.576,0.774,2.633,2.407,2.346,5.155
0.145,0.329,0.753,0.09,0.089,0.114,0.092,2.524,0.489,0.438,2.43,3.522,1.531,0.572,2.01,2.567,3.795,2.024,6.754
