native,quick,fastsort,countingObj,countingObj2,countingObj3,gnome,shaker,lodash,bucket,merge,bubble,sbubble,insertion,selection
0.046,0.163,0.113,0.205,0.143,0.2,0.728,0.327,0.363,0.168,0.19,2.815,0.255,0.224,0.225
0.049,0.16,0.109,0.137,0.167,0.135,0.995,0.355,0.365,0.145,0.18,2.742,0.214,0.215,0.211
0.072,0.099,0.3,0.073,0.079,0.091,0.664,0.318,0.306,0.132,0.143,3.014,0.318,0.196,0.196
0.034,0.092,0.095,0.06,0.049,0.05,0.523,0.339,0.248,0.2,0.148,0.622,0.2,0.19,0.237
0.044,0.093,0.096,0.062,0.119,0.111,0.498,0.488,0.245,0.156,0.152,2.134,0.246,0.201,0.209
0.032,0.101,0.101,0.07,0.073,0.064,0.729,1.167,0.291,1.722,0.145,1.048,0.536,0.232,0.239
0.03,0.094,0.096,0.061,0.056,0.051,0.525,0.349,0.25,0.134,0.143,2.448,0.211,0.25,0.199
0.031,0.09,0.096,0.063,0.053,0.057,0.549,0.341,0.263,0.189,0.152,0.791,0.268,0.219,0.232
0.031,0.097,0.102,0.062,0.049,0.055,0.746,0.343,0.247,0.141,0.212,2.272,0.313,0.208,0.183
0.03,0.095,0.096,0.065,0.105,0.053,0.718,0.429,0.269,0.136,0.142,3.005,0.216,0.217,0.212
0.03,0.151,0.15,0.068,0.053,0.058,0.529,0.466,0.264,0.311,0.147,0.621,0.259,0.248,0.226
0.029,0.092,0.094,0.057,0.052,0.058,0.491,0.361,0.262,0.139,0.15,2.614,0.334,0.198,0.192
0.03,0.165,0.097,0.068,0.053,0.053,0.502,0.358,1.355,0.198,0.151,1.607,0.313,0.534,0.208
0.032,0.094,0.096,0.063,0.052,0.053,0.695,0.313,0.248,0.137,0.142,2.164,0.222,0.211,0.251
0.051,0.091,0.097,0.073,0.07,0.063,0.755,0.313,0.252,0.202,0.144,2.335,0.737,0.223,0.226
0.035,0.1,0.097,0.061,0.053,0.055,0.58,2.383,0.254,0.136,0.143,2.227,0.203,0.201,0.245
0.031,0.098,0.097,0.07,0.056,0.06,0.826,0.371,0.298,0.149,0.192,0.84,0.338,0.203,1.138
0.032,0.276,0.1,0.069,0.055,0.065,0.876,0.337,0.314,0.14,0.163,5.897,0.227,0.21,0.221
0.031,0.091,0.097,0.061,0.049,0.053,0.739,0.312,0.251,0.135,3.545,0.636,0.227,0.222,0.236
0.03,0.096,0.096,0.065,0.083,0.05,0.748,0.311,0.258,0.132,0.142,2.141,0.232,0.225,0.241
0.031,0.094,0.105,0.08,0.06,0.057,0.812,0.335,0.312,0.144,0.153,3.05,0.352,0.23,0.243
0.031,0.101,0.1,0.081,0.059,0.056,0.879,0.535,0.282,0.138,0.156,2.484,0.231,0.214,0.236
0.033,0.098,0.102,0.066,0.087,0.06,0.511,0.367,0.284,0.132,0.15,0.853,0.354,0.187,0.195
0.035,0.103,0.102,0.071,0.07,0.057,1.324,1.761,0.367,0.154,0.331,2.387,0.277,0.233,0.322
0.032,0.099,0.103,0.113,0.062,0.058,0.547,0.32,0.326,0.145,0.16,0.691,0.333,0.207,0.269
0.031,0.098,0.101,0.063,0.062,0.052,0.74,0.948,0.266,0.172,0.176,2.482,0.252,0.235,0.224
0.031,0.09,0.096,0.073,0.052,0.056,0.702,0.313,0.261,0.138,0.149,3.25,0.227,0.21,0.221
0.108,0.1,0.142,0.105,0.071,0.059,0.757,0.403,0.274,0.179,0.159,2.822,0.267,0.215,0.277
0.035,0.145,0.105,0.637,0.086,0.059,0.837,0.344,0.337,0.25,0.157,2.432,0.275,0.23,0.301
