native,quick,fastsort,countingObj,countingObj2,countingObj3,gnome,shaker,lodash,bucket,merge,bubble,sbubble,insertion,selection
0.076,0.103,0.091,0.048,0.044,0.042,0.58,0.292,0.306,0.123,0.158,3.652,0.195,0.176,0.168
0.072,1.394,0.105,0.064,0.256,0.091,0.751,0.291,1.01,0.121,0.286,4.859,0.45,0.286,0.146
0.16,0.08,0.273,0.052,0.756,0.052,0.459,0.562,0.29,0.121,0.169,1.433,0.171,0.152,0.151
0.076,0.08,0.092,0.047,0.09,0.047,0.397,0.353,0.28,0.22,0.16,1.212,0.431,0.242,0.154
0.094,0.086,0.089,0.049,0.043,0.041,0.669,0.274,0.464,0.121,0.167,1.528,0.174,0.165,0.163
0.078,0.076,0.097,0.059,0.042,0.041,0.629,0.274,0.819,0.114,0.16,1.605,0.176,0.156,0.204
0.071,0.08,0.139,0.05,0.042,0.041,0.773,0.274,0.28,0.124,0.157,0.896,0.54,0.23,0.174
0.077,0.081,0.093,0.051,0.043,0.042,0.541,0.336,0.275,0.114,0.159,0.736,0.186,0.162,0.421
0.073,0.077,0.09,0.05,0.042,0.053,0.534,0.28,0.276,0.114,0.159,1.099,0.185,0.406,0.155
0.075,0.078,0.086,0.05,0.043,0.041,0.85,0.401,0.492,0.141,0.157,0.633,0.246,0.17,0.173
0.073,0.081,0.092,0.048,0.05,0.043,0.549,0.304,0.322,0.117,0.158,1.34,0.171,0.15,0.15
0.072,0.132,0.095,0.048,0.042,0.041,0.544,1.008,0.638,0.237,0.159,1.457,0.254,0.158,0.31
0.073,0.076,0.087,0.059,0.048,0.043,0.684,0.288,0.585,0.133,0.161,1.134,0.245,0.175,0.174
0.071,0.144,0.092,0.059,0.043,0.042,0.547,0.348,0.291,0.117,0.158,1.61,0.183,0.162,0.328
0.073,0.079,0.091,0.049,0.041,0.042,1.092,0.289,0.284,0.12,0.157,1.371,0.208,0.166,0.166
0.07,0.078,0.091,0.049,0.042,0.04,0.542,0.385,0.296,0.116,0.159,0.775,0.371,0.159,0.26
0.078,0.077,0.131,0.052,0.044,0.059,0.687,0.277,0.301,0.118,0.159,1.469,0.185,0.172,0.162
0.079,0.084,0.084,0.05,0.047,0.083,0.564,0.439,0.321,0.116,0.173,0.858,0.181,0.159,0.162
0.078,0.179,0.274,0.115,0.083,0.085,1.019,0.418,0.596,0.134,0.171,2.237,0.192,0.165,0.335
0.075,0.142,0.094,0.091,0.083,0.081,2.217,4.396,24.474,0.41,1.543,3.323,0.372,0.182,0.653
0.142,0.079,0.085,0.049,0.041,0.059,0.395,0.318,0.266,0.115,0.159,1.74,0.166,0.146,0.158
0.073,0.08,0.231,0.056,0.041,0.04,0.432,0.375,0.286,0.12,0.418,1.008,0.863,0.159,0.423
0.073,0.081,1.324,0.051,0.045,0.041,0.61,0.272,0.369,0.121,0.163,1.942,0.198,0.174,0.186
0.074,0.085,0.195,0.078,0.127,0.045,0.527,0.41,1.058,0.242,0.189,0.887,0.305,0.251,0.16
0.076,0.077,0.1,0.049,0.047,0.042,0.568,0.272,0.296,0.122,0.17,0.977,0.194,0.167,0.175
0.075,0.079,0.095,0.048,0.049,0.064,0.598,0.65,0.587,0.114,0.157,0.734,0.186,0.175,0.166
0.088,0.079,0.091,0.059,0.042,0.041,8.835,0.301,0.289,0.116,0.259,1.544,0.57,0.161,0.169
0.082,0.077,0.09,0.049,0.042,0.042,0.527,1.048,0.344,0.113,0.158,0.789,0.183,0.22,0.172
0.073,0.08,0.203,0.049,0.042,0.041,0.534,0.291,0.315,0.115,0.156,2.069,0.223,0.352,0.165
0.077,0.078,0.119,0.052,0.043,0.041,0.581,0.369,0.318,0.115,0.157,0.775,0.265,0.162,0.156
0.071,0.079,0.092,0.048,0.043,0.042,0.664,0.278,0.271,0.121,0.157,0.867,0.262,0.17,0.184
0.071,0.14,0.093,0.059,0.056,0.044,0.533,0.349,1.096,0.116,0.157,2.36,0.205,0.153,0.177
0.08,0.078,0.201,0.083,0.052,0.081,1.698,0.497,0.499,0.23,0.289,2.459,0.351,0.169,0.283
0.074,0.077,0.084,0.05,0.056,0.051,1.484,0.282,0.337,0.114,0.157,0.773,0.187,0.17,0.171
0.093,0.075,0.09,0.056,0.043,0.08,0.612,0.288,0.289,0.121,0.158,1.242,0.42,0.209,0.153
0.069,0.08,0.088,0.049,0.043,0.041,0.72,0.342,0.28,0.124,0.167,0.636,0.188,0.357,0.164
0.074,0.078,0.094,0.05,0.043,0.041,0.596,0.379,0.282,0.113,0.157,1.496,0.169,0.152,0.16
0.071,0.074,0.089,0.05,0.043,0.042,0.642,0.383,0.288,0.122,0.166,1.625,0.183,0.157,0.182
0.071,0.08,0.162,0.048,0.043,0.042,0.563,0.29,0.27,0.178,0.233,2.384,0.263,0.163,0.163
0.071,0.079,0.097,0.048,0.042,0.04,0.731,0.276,0.621,0.235,0.24,0.759,0.484,0.298,0.149
0.08,0.136,0.086,0.048,0.043,0.042,0.591,0.328,0.287,0.12,0.165,0.917,0.197,0.171,0.165
0.077,0.093,0.084,0.084,0.053,0.06,0.495,0.44,0.288,0.116,0.159,0.933,0.167,0.222,0.151
0.069,0.12,0.088,0.05,0.043,0.06,2.147,0.297,0.295,0.116,0.158,0.725,0.181,0.166,0.267
0.071,0.077,0.084,0.049,0.048,0.073,0.736,0.281,0.26,0.114,0.158,0.922,0.193,0.207,0.249
0.069,0.08,0.084,0.048,0.042,0.047,0.468,0.365,0.376,0.12,0.17,0.692,0.205,0.134,0.133
0.075,0.08,0.161,0.051,0.043,0.042,0.641,0.399,0.305,0.12,0.165,0.992,0.166,0.147,0.142
0.072,0.143,0.092,0.048,0.043,0.042,0.545,0.311,0.484,0.136,0.162,1.533,0.251,0.158,0.285
0.074,0.076,0.117,0.05,0.044,0.041,0.542,0.274,0.314,0.115,0.177,1.468,0.18,0.198,0.162
0.071,0.08,0.245,0.059,0.047,0.054,0.625,0.551,0.573,0.115,0.159,1.311,0.175,0.142,0.141
0.07,0.076,0.116,0.051,0.042,0.04,0.56,0.345,0.377,0.17,0.159,1.643,0.166,0.147,0.148
0.176,0.141,0.139,0.051,0.043,0.043,0.626,0.292,0.288,0.169,0.193,1.922,0.25,0.155,0.239
0.075,0.076,0.098,0.051,0.043,0.041,0.641,0.3,0.295,0.113,0.158,0.623,0.187,0.199,0.178
0.143,0.116,0.09,0.059,0.166,0.044,1.054,1.573,0.391,0.191,0.4,2.142,0.193,0.172,0.161
0.073,0.084,0.087,0.048,0.041,0.039,0.556,0.272,0.306,0.114,0.16,1.529,0.184,0.174,0.171
0.075,0.079,0.121,0.103,0.043,0.04,0.395,0.501,0.29,0.115,0.157,1.727,0.292,0.145,0.148
0.072,0.077,0.096,0.049,0.04,0.04,0.647,0.513,0.293,0.117,0.157,0.707,0.383,0.241,0.262
0.07,0.078,0.101,0.055,0.047,0.041,0.447,0.299,0.295,0.12,0.158,0.956,0.198,0.174,0.186
0.085,0.077,0.085,0.1,0.085,0.081,0.782,0.302,0.298,0.216,0.169,2.291,0.192,0.163,0.169
0.072,0.076,0.093,0.05,0.06,0.054,0.513,0.291,0.272,0.114,0.168,0.969,0.171,0.214,0.187
0.07,0.078,0.092,0.059,0.047,0.07,0.809,0.355,0.572,0.191,0.157,0.858,0.316,0.179,0.176
0.071,0.078,0.097,0.075,0.076,0.041,0.532,0.279,0.301,0.116,0.157,1.368,0.198,0.344,0.162
0.073,0.079,0.087,0.048,0.3,0.046,0.719,0.489,0.291,0.121,0.158,0.834,0.176,0.154,0.149
0.076,0.078,0.087,0.131,0.049,0.042,0.545,0.274,0.301,0.115,0.159,1.412,0.256,0.18,0.338
0.071,0.076,0.09,0.079,0.047,0.039,0.626,0.361,0.294,0.121,0.223,2.434,0.265,0.168,0.178
0.074,0.077,0.088,0.048,0.042,0.042,0.606,0.286,0.287,0.173,0.195,0.601,0.217,0.2,0.282
0.078,0.076,0.089,0.049,0.04,0.055,0.645,0.346,0.565,0.115,0.158,1.433,0.191,0.157,0.158
0.078,0.079,0.086,0.047,0.042,0.04,0.543,0.272,0.289,0.113,0.243,1.415,0.19,0.233,0.172
0.072,0.075,0.087,0.048,0.041,0.073,0.667,0.273,0.41,0.114,0.167,1.092,0.192,0.171,0.172
0.073,0.075,0.088,0.049,0.209,0.049,0.857,0.29,0.294,0.119,0.169,1.002,0.191,0.177,0.174
0.069,0.076,0.092,0.055,0.044,0.057,0.924,0.539,0.522,0.115,0.158,0.878,0.275,0.391,0.435
0.08,0.081,0.089,0.057,0.043,0.043,0.677,0.28,0.385,0.121,0.16,0.957,0.187,0.167,0.159
0.688,0.139,0.164,0.058,0.049,0.041,0.822,0.339,0.494,0.116,0.158,0.869,0.341,0.259,0.157
0.123,0.08,0.096,0.081,0.047,0.045,1.089,0.359,0.296,0.122,0.17,0.999,0.404,0.267,0.179
0.074,0.08,0.097,0.052,0.048,0.06,0.827,0.489,0.42,0.125,0.171,1.13,0.326,0.324,1.448
0.07,0.078,0.092,0.049,0.042,0.041,0.561,0.272,0.278,0.114,0.157,1.499,0.19,0.203,0.197
0.098,0.103,0.087,0.048,0.047,0.041,1.729,0.329,0.313,0.123,0.253,0.827,0.211,0.186,0.369
0.077,0.137,0.095,0.055,0.043,0.057,0.51,0.282,0.394,0.115,0.161,1.046,0.253,0.257,0.255
0.071,0.077,0.083,0.049,0.042,0.059,0.578,0.356,0.3,0.126,0.157,1.612,0.273,0.367,0.469
0.079,0.148,0.101,0.087,0.05,0.044,0.559,0.302,0.312,0.123,0.17,1.484,0.204,0.36,0.173
0.074,0.147,0.097,0.054,0.044,0.045,0.748,0.298,0.297,0.124,0.337,2.394,0.195,0.174,0.174
0.074,0.146,0.091,0.053,0.071,0.05,0.71,0.294,0.509,0.124,0.172,2.569,0.198,0.174,0.363
0.156,0.078,0.118,0.052,0.087,0.044,1.166,0.44,0.382,0.121,0.178,2.468,0.316,0.162,0.162
0.077,0.076,0.099,0.055,0.043,0.043,0.77,0.29,0.298,0.26,0.159,2.438,0.368,0.166,0.17
0.112,0.08,0.324,0.054,0.051,0.045,0.777,0.275,0.28,0.114,0.21,2.582,0.19,0.181,0.169
0.151,0.077,0.094,0.047,0.043,0.043,0.437,0.461,0.276,0.223,0.157,0.852,0.171,0.153,0.24
0.101,0.116,0.158,0.056,0.048,0.047,6.577,0.528,0.501,0.383,0.413,1.394,0.22,0.317,0.295
0.094,0.157,0.157,0.079,0.048,0.047,0.452,0.424,0.318,0.122,0.287,1.05,0.39,0.236,0.151
0.069,0.081,0.125,0.05,0.042,0.04,0.501,0.985,0.651,0.139,0.163,3.071,0.306,0.202,0.307
0.082,0.206,0.165,0.07,0.046,0.071,0.804,0.584,0.474,0.141,0.305,0.63,0.36,0.256,0.343
0.082,0.144,0.119,0.073,0.053,0.18,0.984,0.432,0.515,0.251,0.305,1.901,0.576,0.379,0.407
0.071,0.078,0.094,0.071,0.044,0.04,0.521,0.466,0.762,0.114,0.156,0.909,0.181,0.158,0.171
0.13,0.079,0.162,0.061,0.045,0.046,0.837,0.595,0.285,0.146,0.18,1.603,0.193,0.175,0.253
0.132,0.136,0.1,0.061,0.051,0.044,0.855,0.465,0.47,0.129,0.176,1.314,0.205,0.395,0.179
0.144,0.559,0.095,0.878,0.084,0.092,2.41,0.568,0.563,0.127,0.321,3.022,0.212,0.418,0.31
0.071,0.184,0.094,0.067,0.046,0.079,1.035,0.296,0.541,0.168,0.351,2.505,0.353,0.343,0.171
0.071,0.082,0.145,0.056,0.051,0.048,1.946,0.524,1.507,0.222,0.167,1.587,0.206,0.172,0.212
0.127,0.121,0.141,0.059,0.109,0.049,0.789,0.495,0.531,0.136,0.193,1.346,0.291,0.182,0.448
0.079,0.08,0.092,0.053,0.044,0.043,0.732,0.315,0.597,0.233,0.311,2.803,0.26,0.387,1.144
0.078,0.145,0.166,0.053,0.045,0.063,0.62,0.518,0.622,0.127,0.186,1.35,0.379,0.167,0.166
0.08,0.082,0.135,0.06,0.043,0.042,1.238,0.34,0.289,0.122,0.169,1.226,0.208,0.183,0.18
0.08,0.147,0.123,0.057,0.045,0.044,1.057,0.685,0.5,0.127,0.177,1.252,0.512,0.173,0.378
0.078,0.139,0.091,0.052,0.043,0.043,0.716,0.296,0.295,0.128,0.176,2.685,0.195,0.172,0.17
0.075,0.08,0.1,0.105,0.045,0.061,0.441,0.395,0.284,0.12,0.298,3.525,0.584,0.168,0.353
0.126,0.141,0.321,0.082,0.078,0.047,0.559,0.295,0.716,0.119,0.168,3.252,0.664,0.343,0.34
0.073,0.233,0.097,0.054,0.046,0.045,0.663,0.426,0.534,0.233,0.291,1.662,0.303,0.177,0.615
0.127,0.185,0.145,0.053,0.047,0.043,0.568,0.55,0.525,0.263,0.184,0.825,0.179,0.379,0.328
0.077,0.15,0.173,0.093,0.049,0.044,0.643,0.689,0.58,0.126,0.29,2.882,0.212,0.182,0.362
0.073,0.138,0.112,0.058,0.046,0.044,0.724,0.31,0.458,0.126,0.274,1.799,0.174,0.276,0.386
